# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.24200084, P max: 2.4416847371999997,
Time,Power,
0,1.85268472,
0.02,1.78655535,
0.04,1.75007542,
0.06,1.85327722,
0.08,1.85327722,
0.1,1.85327722,
0.12,1.85327722,
0.14,1.85327722,
0.16,1.85370327,
0.18,1.85370327,
0.2,1.85370327,
0.22,1.85370327,
0.24,1.85370327,
0.26,1.85367396,
0.28,1.85367396,
0.3,1.80029698,
0.32,1.85367396,
0.34,1.94110091,
0.36,1.85366733,
0.38,1.85366733,
0.4,1.85366733,
0.42,1.85366733,
0.44,1.85366733,
0.46,1.79281512,
0.48,1.85403616,
0.5,1.85403616,
0.52,1.85403616,
0.54,1.78780613,
0.56,1.85337841,
0.58,1.96630846,
0.6,1.85337841,
0.62,1.85337841,
0.64,1.85337841,
0.66,1.85640606,
0.68,1.85640606,
0.7,1.85640606,
0.72,1.85640606,
0.74,1.93735694,
0.76,1.85752567,
0.78,2.07178745,
0.8,1.85752567,
0.82,1.97373802,
0.84,1.85752567,
0.86,1.85814298,
0.88,1.85814298,
0.9,1.85814298,
0.92,1.80400954,
0.94,1.85814298,
0.96,1.85874189,
0.98,1.85874189,
1,1.79135547,
1.02,1.85874189,
1.04,1.85874189,
1.06,1.85837957,
1.08,1.78629053,
1.1,1.85837957,
1.12,1.79757183,
1.14,1.85837957,
1.16,1.7837893,
1.18,1.85840896,
1.2,1.85840896,
1.22,1.85840896,
1.24,1.798865,
1.26,1.85812662,
1.28,1.77996693,
1.3,1.76362675,
1.32,1.85812662,
1.34,1.85812662,
1.36,1.85768152,
1.38,1.85768152,
1.4,1.85768152,
1.42,1.85768152,
1.44,1.96725448,
1.46,1.85794097,
1.48,1.85794097,
1.5,1.85794097,
1.52,1.85794097,
1.54,1.85794097,
1.56,1.85832278,
1.58,1.85832278,
1.6,2.32410485,
1.62,1.85832278,
1.64,1.85832278,
1.66,1.85646136,
1.68,1.85646136,
1.7,1.91053502,
1.72,1.79737995,
1.74,1.85646136,
1.76,1.85670613,
1.78,1.7973231,
1.8,1.85670613,
1.82,1.85670613,
1.84,1.85670613,
1.86,1.85667023,
1.88,1.79106512,
1.9,1.80487406,
1.92,1.85667023,
1.94,1.78226382,
1.96,1.85604857,
1.98,1.85604857,
2,1.85604857,
2.02,1.85604857,
2.04,1.85604857,
2.06,1.7873079,
2.08,1.79858764,
2.1,1.85690846,
2.12,1.85690846,
2.14,1.85690846,
2.16,1.85720543,
2.18,1.41536973,
2.2,1.39565388,
2.22,1.42035999,
2.24,1.40442682,
2.26,1.41446024,
2.28,1.81809334,
2.3,1.81809334,
2.32,1.81809334,
2.34,1.81809334,
2.36,1.93122049,
2.38,1.81835696,
2.4,1.81835696,
2.42,1.88348609,
2.44,1.81835696,
2.46,1.82217824,
2.48,1.82217824,
2.5,1.82217824,
2.52,1.9224524,
2.54,1.76412744,
2.56,1.82217092,
2.58,1.82217092,
2.6,1.82217092,
2.62,1.82217092,
2.64,1.82217092,
2.66,1.82240202,
2.68,1.93259165,
2.7,1.82240202,
2.72,1.82240202,
2.74,2.25805309,
2.76,2.2467612,
2.78,2.20655829,
2.8,2.21156469,
2.82,2.19649492,
2.84,2.29075684,
2.86,2.19885381,
2.88,2.22019258,
2.9,2.23531175,
2.92,2.21392242,
2.94,2.18125691,
2.96,2.17603141,
2.98,2.18604243,
3,2.27775953,
3.02,2.17603141,
3.04,2.24388387,
3.06,2.20976969,
