# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.200454826, P max: 2.4485620845,
Time,Power,
0,1.9328933,
0.02,1.87570411,
0.04,1.88115511,
0.06,1.88115511,
0.08,1.88115511,
0.1,1.88115511,
0.12,1.88115511,
0.14,1.85970487,
0.16,1.85970487,
0.18,1.97444023,
0.2,1.91532647,
0.22,1.85970487,
0.24,1.79961527,
0.26,1.8593359,
0.28,1.8593359,
0.3,1.8593359,
0.32,1.8593359,
0.34,1.85938651,
0.36,1.85938651,
0.38,1.85938651,
0.4,1.85938651,
0.42,1.79961527,
0.44,1.86034811,
0.46,1.91910713,
0.48,1.86034811,
0.5,1.86034811,
0.52,1.91283141,
0.54,1.86009506,
0.56,1.86009506,
0.58,1.86009506,
0.6,1.86009506,
0.62,1.86009506,
0.64,1.86032691,
0.66,1.86032691,
0.68,1.86032691,
0.7,1.86032691,
0.72,1.97319055,
0.74,1.86022568,
0.76,1.86022568,
0.78,1.86022568,
0.8,1.86022568,
0.82,1.86022568,
0.84,1.86037752,
0.86,1.86037752,
0.88,1.78709206,
0.9,1.9694453,
0.92,1.86037752,
0.94,1.78712031,
0.96,1.86060937,
0.98,1.86060937,
1,1.86060937,
1.02,1.86060937,
1.04,1.86050815,
1.06,1.86050815,
1.08,1.76571131,
1.1,1.8084787,
1.12,1.86050815,
1.14,1.80098017,
1.16,1.8607041,
1.18,1.8607041,
1.2,1.8607041,
1.22,1.7947041,
1.24,1.91541729,
1.26,1.86065349,
1.28,1.86065349,
1.3,1.86065349,
1.32,1.86065349,
1.34,1.94808282,
1.36,1.86026979,
1.38,1.86026979,
1.4,1.86026979,
1.42,2.19962794,
1.44,1.93043909,
1.46,1.92542851,
1.48,1.96191969,
1.5,1.860291,
1.52,1.860291,
1.54,1.8612591,
1.56,1.93039332,
1.58,1.8612591,
1.6,1.8612591,
1.62,2.04234419,
1.64,1.86145699,
1.66,1.86145699,
1.68,1.86145699,
1.7,1.86145699,
1.72,1.86145699,
1.74,1.86157939,
1.76,1.86157939,
1.78,1.93911145,
1.8,1.86157939,
1.82,1.86157939,
1.84,1.79327222,
1.86,1.86123984,
1.88,1.86123984,
1.9,1.91903509,
1.92,1.86123984,
1.94,1.86072553,
1.96,1.98435892,
1.98,1.78941998,
2,1.86072553,
2.02,1.86072553,
2.04,1.86192539,
2.06,1.86192539,
2.08,1.86192539,
2.1,1.86192539,
2.12,1.7831306,
2.14,1.95285467,
2.16,1.8616641,
2.18,1.8616641,
2.2,1.8616641,
2.22,1.8616641,
2.24,2.05092755,
2.26,1.86156289,
2.28,1.86156289,
2.3,1.80569475,
2.32,1.97046528,
2.34,1.86184535,
2.36,1.79443815,
2.38,1.86184535,
2.4,1.86184535,
2.42,1.86184535,
2.44,1.86204777,
2.46,1.86204777,
2.48,1.86204777,
2.5,1.78310241,
2.52,1.68254391,
2.54,1.60908361,
2.56,1.65377602,
2.58,1.69340914,
2.6,1.74473525,
2.62,1.72131512,
2.64,1.69172998,
2.66,1.75979871,
2.68,1.60994403,
2.7,1.64710161,
2.72,1.64793746,
2.74,1.71095462,
2.76,1.82334542,
2.78,1.88689582,
2.8,1.82334542,
2.82,1.82334542,
2.84,1.87304924,
2.86,1.77006667,
2.88,1.82203824,
2.9,1.82203824,
2.92,1.90070338,
2.94,1.8225256,
2.96,1.8225256,
2.98,1.8225256,
3,1.8225256,
3.02,1.93218655,
3.04,1.82217169,
3.06,2.25884373,
3.08,1.82217169,
3.1,1.82217169,
3.12,1.82217169,
3.14,1.82202712,
3.16,1.89705801,
3.18,1.89705801,
3.2,1.91091142,
3.22,1.82202712,
3.24,1.82222936,
3.26,1.82222936,
3.28,1.8860708,
3.3,1.89205258,
3.32,1.87572173,
3.34,1.87570689,
3.36,1.9372378,
3.38,1.82186102,
3.4,1.82186102,
3.42,1.82186102,
3.44,1.82220763,
3.46,1.90462157,
3.48,1.82220763,
3.5,1.82220763,
3.52,1.76264712,
3.54,1.91973922,
3.56,1.82382557,
3.58,1.82382557,
3.6,1.82382557,
3.62,1.82382557,
3.64,1.84027866,
3.66,1.84027866,
3.68,1.84027866,
3.7,1.78109433,
3.72,1.84027866,
3.74,1.85688748,
3.76,1.85688748,
3.78,1.85688748,
3.8,1.85688748,
3.82,1.85688748,
3.84,1.86234303,
3.86,1.86234303,
3.88,1.86234303,
3.9,1.97966952,
3.92,1.98468045,
3.94,1.86457011,
3.96,1.81365101,
3.98,2.19346897,
4,1.86457011,
4.02,1.92055074,
4.04,1.44594258,
4.06,1.45076206,
4.08,1.46620081,
4.1,1.39908837,
4.12,1.55253353,
4.14,1.93354708,
4.16,1.87824794,
4.18,1.82305,
4.2,1.94988891,
4.22,1.82305,
4.24,1.82420633,
4.26,1.82420633,
4.28,1.82420633,
4.3,1.82420633,
4.32,1.96501249,
4.34,1.93104791,
4.36,1.82464726,
4.38,1.82464726,
4.4,1.82464726,
4.42,1.82464726,
4.44,1.89705388,
4.46,1.82495814,
4.48,1.82495814,
4.5,1.82495814,
4.52,1.82495814,
4.54,1.82517494,
4.56,1.82517494,
4.58,1.88826554,
4.6,1.88452159,
4.62,1.82517494,
4.64,1.82480636,
4.66,1.91466041,
4.68,1.82480636,
4.7,1.82480636,
4.72,1.82480636,
4.74,1.82514608,
4.76,1.82514608,
4.78,1.90963656,
4.8,2.05418105,
4.82,1.82514608,
4.84,1.88197701,
4.86,2.01023154,
4.88,1.82495814,
4.9,1.82495814,
4.92,1.82495814,
4.94,1.82375123,
4.96,1.82375123,
4.98,1.82375123,
5,1.82375123,
5.02,1.82375123,
5.04,1.97489744,
5.06,1.82236739,
5.08,1.82236739,
5.1,1.82236739,
5.12,1.89572347,
5.14,1.86569978,
5.16,1.86569978,
5.18,1.86569978,
5.2,1.86569978,
5.22,1.86569978,
5.24,1.86763815,
5.26,1.86763815,
5.28,1.78463201,
5.3,1.86763815,
5.32,1.86763815,
5.34,1.95563957,
5.36,1.86772462,
5.38,1.86772462,
5.4,1.86772462,
5.42,1.86772462,
5.44,1.86786169,
5.46,1.86786169,
5.48,1.92044829,
5.5,1.86786169,
5.52,1.86786169,
5.54,1.86778156,
5.56,1.86778156,
5.58,2.02103439,
5.6,1.86778156,
5.62,2.24737081,
5.64,1.86731971,
5.66,1.86731971,
5.68,1.86731971,
5.7,1.86731971,
5.72,1.92673949,
5.74,1.80725624,
5.76,1.96071638,
5.78,1.86738508,
5.8,1.78964275,
5.82,1.86738508,
5.84,1.8682355,
5.86,1.8682355,
5.88,1.8682355,
5.9,1.8682355,
5.92,1.8682355,
5.94,1.81613117,
5.96,1.86851811,
5.98,1.86851811,
6,1.81486578,
6.02,1.86851811,
6.04,1.86908334,
6.06,1.86908334,
6.08,1.86908334,
6.1,1.86908334,
6.12,1.86908334,
6.14,1.86564605,
6.16,1.86564605,
6.18,1.86564605,
6.2,1.86564605,
6.22,1.86564605,
6.24,1.86485089,
6.26,1.86485089,
6.28,1.86485089,
6.3,2.05021731,
6.32,1.92068354,
6.34,1.86515461,
6.36,1.86515461,
6.38,1.86515461,
6.4,1.86515461,
6.42,1.86515461,
6.44,2.28667718,
6.46,1.80868952,
6.48,1.97598267,
6.5,1.86528067,
6.52,1.79613621,
6.54,2.14335627,
6.56,1.86499634,
6.58,1.86499634,
6.6,1.86499634,
6.62,1.86499634,
6.64,1.86485922,
6.66,2.38741464,
6.68,2.18989345,
6.7,2.20249796,
6.72,2.2213794,
6.74,2.25260556,
6.76,2.25888192,
6.78,2.25134017,
6.8,2.23625666,
6.82,2.20229346,
6.84,2.3404091,
6.86,2.24485534,
6.88,2.28883639,
6.9,2.26621322,
6.92,2.28003006,
6.94,2.22322279,
6.96,2.23076309,
6.98,2.2207431,
7,2.16791043,
7.02,2.36532444,
7.04,2.19154526,
7.06,2.2519113,
7.08,2.22802801,
7.1,2.23050742,
7.12,2.23430243,
7.14,2.22655617,
7.16,2.27932727,
7.18,2.18506786,
7.2,2.33715793,
7.22,2.23283001,
7.24,2.16596026,
7.26,2.23258729,
7.28,2.22757888,
7.3,2.27533584,
7.32,2.28788216,
7.34,2.25126599,
7.36,2.36063228,
7.38,2.11741623,
7.4,2.21605835,
7.42,2.1808507,
7.44,2.25111023,
7.46,2.26117609,
7.48,2.28752941,
7.5,2.22344177,
7.52,2.15404299,
7.54,2.31626551,
7.56,2.19052885,
7.58,2.25218331,
7.6,2.19052885,
7.62,2.19052885,
7.64,2.22719088,
7.66,2.22719088,
7.68,2.22719088,
7.7,2.14759055,
7.72,2.33233007,
7.74,2.2392086,
7.76,2.2392086,
7.78,2.2392086,
7.8,2.2392086,
7.82,2.2392086,
7.84,2.23944116,
7.86,2.23944116,
7.88,2.23944116,
7.9,2.30447122,
7.92,2.23944116,
7.94,2.18755736,
7.96,2.23979255,
7.98,2.23979255,
8,2.23979255,
8.02,2.23979255,
8.04,2.2404997,
8.06,2.2404997,
8.08,2.17865969,
8.1,2.2404997,
8.12,2.2404997,
8.14,2.24063106,
8.16,2.29417685,
8.18,2.24063106,
8.2,2.24063106,
8.22,2.24063106,
8.24,2.30041073,
8.26,2.31294978,
8.28,2.23983901,
8.3,2.23983901,
8.32,2.23983901,
8.34,2.24050879,
8.36,2.24050879,
8.38,2.24050879,
8.4,2.24050879,
8.42,2.17968667,
8.44,2.29522754,
8.46,2.24077669,
8.48,2.24077669,
8.5,2.24077669,
8.52,2.24077669,
8.54,2.24016919,
8.56,2.24016919,
8.58,2.24016919,
8.6,2.24016919,
8.62,2.32778205,
8.64,2.24045217,
8.66,2.24045217,
8.68,2.1807479,
8.7,2.12296468,
8.72,1.85290521,
8.74,1.8919216,
8.76,1.85799826,
8.78,1.85926217,
8.8,1.93711902,
8.82,1.8090091,
8.84,1.85692165,
8.86,1.82678699,
8.88,1.86698339,
8.9,1.92387025,
8.92,1.86192724,
8.94,1.83575169,
8.96,1.77669049,
8.98,1.93248464,
9,1.9010831,
9.02,1.87089513,
9.04,1.82588762,
9.06,1.85228599,
9.08,1.86108545,
9.1,2.16896535,
9.12,1.90255416,
9.14,1.38349283,
9.16,1.4067328,
9.18,1.3934783,
9.2,1.38131353,
9.22,1.4602587,
9.24,1.42348888,
9.26,1.404775,
9.28,1.43644904,
9.3,1.52568004,
9.32,1.4644048,
9.34,1.4520746,
9.36,1.41642269,
9.38,1.42015556,
9.4,1.44042186,
9.42,1.41446024,
9.44,1.44667229,
9.46,1.46546613,
9.48,1.44540302,
9.5,1.4166299,
9.52,1.53344955,
9.54,1.82423762,
9.56,1.84055749,
9.58,1.86693201,
9.6,1.88720281,
9.62,1.86693201,
9.64,1.81182519,
9.66,1.78549875,
9.68,1.81061246,
9.7,1.81687825,
9.72,1.85204755,
9.74,1.88560179,
9.76,1.95011092,
9.78,1.84459572,
9.8,1.77682949,
9.82,1.88229416,
9.84,1.79065365,
9.86,1.97199165,
9.88,1.89521474,
9.9,1.86221106,
9.92,1.93255565,
9.94,1.85621855,
9.96,1.88486562,
9.98,1.82457701,
10,1.96895636,
10.02,1.87898447,
10.04,1.90498468,
10.06,1.84221797,
10.08,1.84469427,
10.1,1.84595769,
10.12,1.84095455,
10.14,1.86751225,
10.16,1.86984066,
10.18,1.95398577,
10.2,1.88869119,
10.22,1.82466005,
10.24,1.80892323,
10.26,1.82525217,
10.28,1.89309564,
10.3,1.85791005,
10.32,1.89183179,
10.34,1.89244551,
10.36,1.78048264,
10.38,1.78048264,
10.4,1.83464354,
10.42,1.78048264,
10.44,1.82155092,
10.46,1.90193652,
10.48,1.82155092,
10.5,1.82155092,
10.52,1.9056801,
10.54,1.8621637,
10.56,1.8621637,
10.58,1.8621637,
10.6,1.80700272,
10.62,1.93275963,
10.64,1.86460115,
10.66,1.86460115,
10.68,1.86460115,
10.7,1.86460115,
10.72,1.94162653,
10.74,2.26860482,
10.76,1.86525906,
10.78,1.79071347,
10.8,1.86525906,
10.82,1.86525906,
10.84,1.94033066,
10.86,1.86836722,
10.88,1.96801279,
10.9,1.94159584,
10.92,1.86836722,
10.94,1.81328553,
10.96,1.86844519,
10.98,1.86844519,
