# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1708981968999999, P max: 2.9574098143999996,
Time,Power,
0,1.85665418,
0.02,1.85665418,
0.04,1.85649136,
0.06,1.80193928,
0.08,1.85649136,
0.1,1.96539311,
0.12,1.85649136,
0.14,1.85618773,
0.16,1.85618773,
0.18,1.85618773,
0.2,1.85618773,
0.22,1.85618773,
0.24,1.85586943,
0.26,1.85586943,
0.28,1.85586943,
0.3,1.95282766,
0.32,1.80319015,
0.34,1.85527684,
0.36,2.05592527,
0.38,2.25212047,
0.4,2.22317447,
0.42,2.28381071,
0.44,2.24688236,
0.46,2.26074701,
0.48,2.28964012,
0.5,2.14254331,
0.52,2.17943498,
0.54,2.22407475,
0.56,2.27816251,
0.58,2.24041745,
0.6,2.28190666,
0.62,2.18258553,
0.64,2.22259017,
0.66,2.14088474,
0.68,2.24899899,
0.7,2.22385496,
0.72,2.22259017,
0.74,2.31418492,
0.76,2.23627987,
0.78,2.20987309,
0.8,2.24002336,
0.82,2.15958891,
0.84,2.24610529,
0.86,2.18955305,
0.88,2.28636968,
0.9,2.20715608,
0.92,2.23229603,
0.94,2.22711214,
0.96,2.22711214,
0.98,2.25599298,
1,2.28365991,
1.02,2.17683622,
1.04,2.20054001,
1.06,2.33876285,
1.08,2.15527493,
1.1,2.19548246,
1.12,2.22694042,
1.14,2.2844862,
1.16,2.2228923,
1.18,2.24928969,
1.2,2.13783407,
1.22,2.19523068,
1.24,2.17370214,
1.26,2.25794592,
1.28,2.17370214,
1.3,2.17370214,
1.32,2.24161295,
1.34,2.2097398,
1.36,2.2097398,
1.38,2.2097398,
1.4,2.2097398,
1.42,2.2097398,
1.44,2.41467116,
1.46,2.32295623,
1.48,2.1684464,
1.5,2.22406185,
1.52,2.22406185,
1.54,2.22402888,
1.56,2.22402888,
1.58,2.22402888,
1.6,2.22402888,
1.62,2.16967699,
1.64,2.2953365,
1.66,2.22424872,
1.68,2.22424872,
1.7,2.22424872,
1.72,2.28153354,
1.74,2.2238948,
1.76,2.2238948,
1.78,2.2238948,
1.8,2.2238948,
1.82,2.29786451,
1.84,2.3154595,
1.86,2.22343975,
1.88,2.22343975,
1.9,2.22343975,
1.92,2.22343975,
1.94,2.22406185,
1.96,2.22406185,
1.98,2.22406185,
2,2.22406185,
2.02,2.37821776,
2.04,2.2243652,
2.06,2.2243652,
2.08,2.2243652,
2.1,2.2243652,
2.12,2.2243652,
2.14,2.2248532,
2.16,2.2248532,
2.18,2.2248532,
2.2,2.2248532,
2.22,2.2248532,
2.24,2.16709668,
2.26,2.22498502,
2.28,2.27761537,
2.3,2.22498502,
2.32,2.22498502,
2.34,2.22486845,
2.36,2.22486845,
2.38,2.22486845,
2.4,2.22486845,
2.42,1.91576906,
2.44,1.85673435,
2.46,1.85299317,
2.48,1.84793753,
2.5,1.85299317,
2.52,1.84419636,
2.54,1.79030383,
2.56,1.82675809,
2.58,1.83676911,
2.6,1.91094166,
2.62,1.83803313,
2.64,1.83444763,
2.66,1.90104174,
2.68,1.90857593,
2.7,1.87085443,
2.72,1.89977761,
2.74,1.78304531,
2.76,1.82451148,
2.78,1.94137528,
2.8,1.84084511,
2.82,1.84837981,
2.84,1.89376968,
2.86,1.87237773,
2.88,1.84850774,
2.9,1.85356494,
2.92,1.79449685,
2.94,1.82732172,
2.96,1.87005869,
2.98,2.03741567,
3,1.81098557,
3.02,1.82226409,
3.04,1.84879285,
3.06,1.83372007,
3.08,1.89026829,
3.1,1.43039093,
3.12,1.59273395,
3.14,1.41446024,
3.16,1.42358603,
3.18,1.94064885,
3.2,1.40659896,
3.22,1.42555315,
3.24,1.49052612,
3.26,1.45166255,
3.28,1.51528135,
3.3,1.3676349,
3.32,1.36560403,
3.34,1.1845307,
3.36,1.1917515,
3.38,1.2083974,
3.4,1.78567505,
3.42,1.89819204,
3.44,1.62914046,
3.46,1.60868449,
3.48,2.09871269,
3.5,1.71169313,
3.52,1.71084355,
3.54,1.69698535,
3.56,1.69825213,
3.58,1.92683086,
3.6,1.77118706,
3.62,1.87914253,
3.64,1.79466878,
3.66,1.85366108,
3.68,1.8900767,
3.7,1.88502599,
3.72,1.86157905,
3.74,1.8460385,
3.76,1.83479287,
3.78,1.79090289,
3.8,2.28535957,
3.82,1.82223616,
3.84,1.85863819,
3.86,1.86111293,
3.88,1.84978341,
3.9,1.86111935,
3.92,1.84732504,
3.94,1.78819481,
3.96,1.81635381,
3.98,1.83470255,
4,1.99164101,
4.02,1.82719869,
4.04,1.86578551,
4.06,1.85732384,
4.08,1.85861242,
4.1,1.84982466,
4.12,1.89755632,
4.14,1.82210143,
4.16,1.82969247,
4.18,1.95841397,
4.2,1.7733267,
4.22,1.81835652,
4.24,1.86179097,
4.26,1.87937315,
4.28,1.87563441,
4.3,1.85678915,
4.32,1.80030388,
4.34,1.78561706,
4.36,1.78561706,
4.38,1.88002784,
4.4,1.78970828,
4.42,1.78561706,
4.44,1.83565233,
4.46,1.83565233,
4.48,1.83565233,
4.5,1.83565233,
4.52,1.83565233,
4.54,1.85134314,
4.56,1.85134314,
4.58,1.90910435,
4.6,1.85134314,
4.62,1.85134314,
4.64,1.8602724,
4.66,1.8602724,
4.68,1.8602724,
4.7,1.8602724,
4.72,1.8602724,
4.74,1.86064127,
4.76,1.86064127,
4.78,1.86064127,
4.8,1.86064127,
4.82,1.86064127,
4.84,1.85748976,
4.86,1.85748976,
4.88,1.85748976,
4.9,1.79525975,
4.92,1.85748976,
4.94,1.95362166,
4.96,1.77255182,
4.98,1.85693978,
5,1.85693978,
5.02,1.85693978,
5.04,1.85688472,
5.06,1.85688472,
5.08,1.85688472,
5.1,1.85688472,
5.12,1.85688472,
5.14,1.85736126,
5.16,1.85736126,
5.18,1.80267347,
5.2,1.92085171,
5.22,1.85736126,
5.24,1.85707447,
5.26,1.85707447,
5.28,1.85707447,
5.3,1.85707447,
5.32,1.80385621,
5.34,1.85730456,
5.36,1.85730456,
5.38,1.85730456,
5.4,1.85730456,
5.42,1.85730456,
5.44,2.24993018,
5.46,2.24866558,
5.48,2.17198009,
5.5,2.18705415,
5.52,2.30273998,
5.54,2.33133772,
5.56,2.25971942,
5.58,2.23078886,
5.6,2.24838997,
5.62,2.2320533,
5.64,2.23302191,
5.66,2.18148985,
5.68,2.22922907,
5.7,2.29456706,
5.72,2.34483483,
5.74,2.20269416,
5.76,2.22024088,
5.78,2.23536038,
5.8,2.21649893,
5.82,2.30443477,
5.84,2.26029991,
5.86,2.18991677,
5.88,2.21004068,
5.9,2.2313781,
5.92,2.16099496,
5.94,2.17838824,
5.96,2.20983525,
5.98,2.27889734,
6,2.23117068,
6.02,2.22990674,
6.04,2.2271894,
6.06,2.20711962,
6.08,2.16440183,
6.1,2.24730973,
6.12,2.30635634,
6.14,2.19311458,
6.16,2.24083274,
6.18,2.24083274,
6.2,2.22950978,
6.22,2.23830529,
6.24,2.15460181,
6.26,2.27823023,
6.28,2.2066612,
6.3,2.2506337,
6.32,2.22298662,
6.34,2.1909422,
6.36,2.24795087,
6.38,2.2441604,
6.4,2.26801509,
6.42,2.1909422,
6.44,2.22759602,
6.46,2.22759602,
6.48,2.36075654,
6.5,2.22759602,
6.52,2.22759602,
6.54,2.23276388,
6.56,2.31806797,
6.58,2.23276388,
6.6,2.23276388,
6.62,2.23276388,
6.64,2.23318584,
6.66,2.23318584,
6.68,2.37711237,
6.7,2.23318584,
6.72,2.17496837,
6.74,2.2330842,
6.76,2.2330842,
6.78,2.2330842,
6.8,2.2330842,
6.82,2.2330842,
6.84,2.23407467,
6.86,2.1823298,
6.88,2.23407467,
6.9,2.17606382,
6.92,2.23407467,
6.94,2.23402414,
6.96,2.2915802,
