# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2408974225, P max: 2.4685435854,
Time,Power,
0,2.14391605,
0.02,2.378881,
0.04,2.23368419,
0.06,2.23368419,
0.08,2.2335329,
0.1,2.2335329,
0.12,2.2335329,
0.14,2.2335329,
0.16,2.2335329,
0.18,1.77200526,
0.2,1.75819782,
0.22,1.73179678,
0.24,1.73179678,
0.26,1.77954119,
0.28,1.81126487,
0.3,1.80246324,
0.32,1.84267759,
0.34,1.82886814,
0.36,1.89923062,
0.38,2.24894564,
0.4,2.27909752,
0.42,2.20493199,
0.44,2.26154265,
0.46,2.22253745,
0.48,2.26663622,
0.5,2.22889437,
0.52,1.93348593,
0.54,1.85931762,
0.56,1.81783193,
0.58,1.82676497,
0.6,1.89213487,
0.62,1.8707834,
0.64,1.82170538,
0.66,1.84437234,
0.68,1.84704865,
0.7,1.84330416,
0.72,1.81188075,
0.74,1.94010444,
0.76,1.85585328,
0.78,1.84844518,
0.8,1.79313403,
0.82,1.9126122,
0.84,1.8497103,
0.86,1.85477079,
0.88,1.88130694,
0.9,1.85114368,
0.92,1.91400068,
0.94,1.78950131,
0.96,1.84734797,
0.98,1.79472892,
1,1.9205052,
1.02,1.87267479,
1.04,1.90289146,
1.06,1.8538463,
1.08,1.77348378,
1.1,1.94589175,
1.12,1.77854567,
1.14,1.80744906,
1.16,1.89046406,
1.18,1.91085883,
1.2,1.91085883,
1.22,1.84535293,
1.24,1.85036459,
1.26,1.7786827,
1.28,1.90992121,
1.3,1.90992121,
1.32,1.83272251,
1.34,1.90992121,
1.36,1.84659296,
1.38,1.85538655,
1.4,1.85412101,
1.42,1.85032438,
1.44,2.01261755,
1.46,1.81261121,
1.48,1.88843613,
1.5,1.79007059,
1.52,1.88843613,
1.54,1.88843613,
1.56,1.88843613,
1.58,1.86600725,
1.6,1.86600725,
1.62,1.9990078,
1.64,2.17640936,
1.66,1.86600725,
1.68,1.80275826,
1.7,1.86634691,
1.72,1.86634691,
1.74,1.93104936,
1.76,1.86634691,
1.78,1.75871199,
1.8,1.94112431,
1.82,1.78387406,
1.84,1.8667013,
1.86,1.8667013,
1.88,1.86748184,
1.9,1.86748184,
1.92,1.86748184,
1.94,1.86748184,
1.96,1.77377108,
1.98,1.9209833,
2,1.86742014,
2.02,1.86742014,
2.04,1.86742014,
2.06,1.86742014,
2.08,1.86697725,
2.1,1.86697725,
2.12,1.86697725,
2.14,1.98629896,
2.16,1.86697725,
2.18,1.86740336,
2.2,1.86740336,
2.22,1.86740336,
2.24,1.86740336,
2.26,1.86740336,
2.28,1.86757634,
2.3,1.86757634,
2.32,1.96360779,
2.34,1.81138503,
2.36,1.86757634,
2.38,1.86848755,
2.4,1.80004552,
2.42,1.86848755,
2.44,1.86848755,
2.46,2.16863013,
2.48,1.86881607,
2.5,1.86881607,
2.52,1.79374349,
2.54,1.86881607,
2.56,1.86881607,
2.58,1.86876544,
2.6,1.86876544,
2.62,1.86876544,
2.64,1.86876544,
2.66,1.86876544,
2.68,1.86883083,
2.7,1.8050971,
2.72,1.86883083,
2.74,1.86883083,
2.76,1.86883083,
2.78,1.86939876,
2.8,1.86939876,
2.82,1.86939876,
2.84,1.86939876,
2.86,1.86939876,
2.88,1.86916041,
2.9,1.86916041,
2.92,1.86916041,
2.94,1.86916041,
2.96,1.86916041,
2.98,1.86875068,
3,1.86875068,
3.02,1.95723741,
3.04,1.86875068,
3.06,1.86875068,
3.08,1.86865418,
3.1,1.81514546,
3.12,1.86865418,
3.14,1.86865418,
3.16,1.86865418,
3.18,1.86794546,
3.2,1.95354929,
3.22,1.86794546,
3.24,1.86794546,
3.26,1.86794546,
3.28,2.02906054,
3.3,1.86812685,
3.32,1.92588883,
3.34,1.86812685,
3.36,1.86812685,
3.38,2.05540317,
3.4,1.97238112,
3.42,1.8682492,
3.44,1.8139305,
3.46,1.8682492,
3.48,1.86775772,
3.5,1.86775772,
3.52,2.24034742,
3.54,2.25796443,
3.56,2.1585903,
3.58,2.26160483,
3.6,2.23892702,
3.62,2.21883084,
3.64,2.21756534,
3.66,2.22257673,
3.68,2.2211556,
3.7,2.2211556,
3.72,2.21108313,
3.74,2.34688425,
3.76,2.27394746,
3.78,2.20578188,
3.8,2.21585325,
3.82,2.18315926,
3.84,2.21964899,
3.86,2.26742474,
3.88,2.23578834,
3.9,2.22070799,
3.92,2.28102939,
3.94,2.21944286,
3.96,2.19677173,
3.98,2.20667209,
4,2.16264896,
4.02,2.28839319,
4.04,2.23936053,
4.06,2.25069522,
4.08,2.1976807,
4.1,2.29700261,
4.12,2.20648457,
4.14,2.19894562,
4.16,2.21154427,
4.18,2.27289619,
4.2,2.29551082,
4.22,2.23267555,
4.24,2.22260774,
4.26,2.20879613,
4.28,2.2902532,
4.3,2.27011977,
4.32,2.22363078,
4.34,2.23997022,
4.36,2.25256626,
4.38,2.25859339,
4.4,2.23972668,
4.42,2.23219011,
4.44,2.33901718,
4.46,2.41949155,
4.48,2.21616783,
4.5,2.21616783,
4.52,2.21616783,
4.54,2.21616783,
4.56,2.21616783,
4.58,2.23519894,
4.6,2.23519894,
4.62,2.23519894,
4.64,2.34367673,
4.66,2.14760754,
4.68,2.23696837,
4.7,2.23696837,
4.72,2.17264321,
4.74,2.29451715,
4.76,2.23696837,
4.78,2.23750442,
4.8,2.18137338,
4.82,2.23750442,
4.84,2.23750442,
4.86,2.23750442,
4.88,2.23731732,
4.9,2.23731732,
4.92,2.23731732,
4.94,2.23731732,
4.96,2.23731732,
4.98,2.23807583,
5,2.23807583,
5.02,2.29193043,
5.04,2.36100591,
5.06,2.23807583,
5.08,2.23820728,
5.1,2.23820728,
5.12,2.23820728,
5.14,2.23820728,
5.16,2.33832816,
5.18,2.23787102,
5.2,2.23787102,
5.22,2.23787102,
5.24,2.17875879,
5.26,2.23787102,
5.28,2.23827556,
5.3,2.23827556,
5.32,2.23827556,
5.34,2.34840939,
5.36,2.3056807,
5.38,1.78168596,
5.4,1.87467647,
5.42,1.78168596,
5.44,1.79801872,
5.46,1.84198833,
5.48,2.19573357,
5.5,2.19573357,
5.52,2.19573357,
5.54,2.19573357,
5.56,2.19573357,
5.58,1.85225669,
5.6,1.84345737,
5.62,1.88366116,
5.64,1.87739038,
5.66,1.85473466,
5.68,1.86498631,
5.7,1.84991469,
5.72,1.86245752,
5.74,1.8700439,
5.76,1.94666639,
5.78,1.89786471,
5.8,1.80990365,
5.82,1.86518913,
5.84,2.02103042,
5.86,1.85638796,
5.88,1.88925402,
5.9,1.8754439,
5.92,1.87164991,
5.94,2.08350618,
5.96,1.94206632,
5.98,1.82658083,
6,1.84292166,
6.02,1.88567089,
6.04,1.92589057,
6.06,1.86806529,
6.08,1.8556699,
6.1,1.85819971,
6.12,1.88461098,
6.14,2.0115065,
6.16,1.87327741,
6.18,1.85583861,
6.2,1.87471274,
6.22,1.87850781,
6.24,1.8495641,
6.26,1.86717321,
6.28,1.83724379,
6.3,2.03213212,
6.32,1.82337742,
6.34,1.9392679,
6.36,2.19938891,
6.38,2.23351845,
6.4,2.23478373,
6.42,2.23852895,
6.44,2.2309879,
6.46,2.30518377,
6.48,2.37169331,
6.5,2.1755367,
6.52,2.20569907,
6.54,2.1793323,
6.56,2.26480922,
6.58,2.23591205,
6.6,2.29623678,
6.62,2.26480922,
6.64,2.14658893,
6.66,2.41698747,
6.68,2.17663415,
6.7,2.2105895,
6.72,2.21559931,
6.74,2.26215508,
6.76,2.3426156,
6.78,2.23558511,
6.8,2.22050613,
6.82,2.15007009,
6.84,2.26700808,
6.86,2.16894412,
6.88,2.24040416,
6.9,2.278149,
6.92,2.25801168,
6.94,2.22785628,
6.96,2.22907059,
6.98,2.23142398,
7,2.17865621,
7.02,2.24650049,
7.04,2.29051579,
7.06,2.22641535,
7.08,2.22752604,
7.1,2.2426015,
7.12,2.23126961,
7.14,2.21492943,
7.16,2.22874017,
7.18,2.38819541,
7.2,2.16658472,
7.22,2.16658472,
7.24,2.16658472,
7.26,2.16658472,
7.28,2.20293519,
7.3,2.20293519,
7.32,2.20293519,
7.34,2.20293519,
7.36,2.28492439,
7.38,2.23752588,
7.4,2.23752588,
7.42,2.23752588,
7.44,2.18164083,
7.46,2.23752588,
7.48,2.23754357,
7.5,2.23754357,
7.52,2.23754357,
7.54,2.23754357,
7.56,2.3412731,
7.58,2.23801835,
7.6,2.23801835,
7.62,2.31231214,
7.64,2.23801835,
7.66,2.23801835,
7.68,2.2375126,
7.7,2.2375126,
7.72,2.2375126,
7.74,2.2375126,
7.76,2.2375126,
7.78,2.2386891,
7.8,2.2386891,
7.82,2.2386891,
7.84,2.2386891,
7.86,2.2386891,
7.88,2.23884337,
7.9,2.43052603,
7.92,2.23884337,
7.94,2.23884337,
7.96,2.15908517,
7.98,2.23923213,
8,2.23923213,
8.02,2.23923213,
8.04,2.23923213,
8.06,2.23923213,
