# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.1920468901999999, P max: 2.7741923100999997,
Time,Power,
0,2.23338639,
0.02,2.23335107,
0.04,2.23335107,
0.06,2.23335107,
0.08,2.34649808,
0.1,2.23335107,
0.12,2.2338922,
0.14,2.2338922,
0.16,2.2338922,
0.18,2.2338922,
0.2,2.2338922,
0.22,2.23422859,
0.24,2.23422859,
0.26,2.23422859,
0.28,2.3277008,
0.3,2.16427618,
0.32,2.16306299,
0.34,2.23777172,
0.36,2.23777172,
0.38,2.23777172,
0.4,2.23777172,
0.42,2.29128684,
0.44,2.17312869,
0.46,2.16812113,
0.48,2.23868218,
0.5,2.18693741,
0.52,2.2393549,
0.54,2.2393549,
0.56,2.29625808,
0.58,2.2393549,
0.6,2.16176426,
0.62,2.23928661,
0.64,2.17813515,
0.66,2.23928661,
0.68,2.31009889,
0.7,2.23928661,
0.72,2.23962552,
0.74,2.23962552,
0.76,2.23962552,
0.78,2.16557493,
0.8,2.321415,
0.82,2.24023249,
0.84,2.24023249,
0.86,2.24023249,
0.88,2.24023249,
0.9,2.24023249,
0.92,2.2404651,
0.94,2.2404651,
0.96,2.30252603,
0.98,2.30500442,
1,2.33894319,
1.02,2.24059912,
1.04,2.18182632,
1.06,2.24059912,
1.08,2.24059912,
1.1,2.24059912,
1.12,2.29871439,
1.14,2.24085202,
1.16,2.24085202,
1.18,2.18056185,
1.2,2.24085202,
1.22,2.18177887,
1.24,2.24115733,
1.26,2.24115733,
1.28,2.24115733,
1.3,2.24115733,
1.32,2.23759918,
1.34,2.35898518,
1.36,2.18676879,
1.38,2.23759918,
1.4,2.23759918,
1.42,2.2381353,
1.44,2.2381353,
1.46,2.2381353,
1.48,1.85618611,
1.5,1.80591366,
1.52,2.00583422,
1.54,1.82739398,
1.56,1.88646943,
1.58,1.80099211,
1.6,1.84873802,
1.62,1.85270354,
1.64,1.85017439,
1.66,1.88285101,
1.68,1.81496862,
1.7,1.92432907,
1.72,1.78747398,
1.74,1.8364923,
1.76,1.82136693,
1.78,1.87797323,
1.8,1.91313084,
1.82,1.94476094,
1.84,1.89447369,
1.86,1.82278652,
1.88,1.91961732,
1.9,1.82658083,
1.92,1.82676497,
1.94,1.82049108,
1.96,1.90220346,
1.98,1.89840876,
2,1.8745275,
2.02,1.84706325,
2.04,1.8961469,
2.06,1.82570934,
2.08,1.89488186,
2.1,1.84584881,
2.12,1.85855596,
2.14,1.39886811,
2.16,1.19204689,
2.18,1.28197381,
2.2,1.20238316,
2.22,1.19986033,
2.24,1.35312972,
2.26,1.28450686,
2.28,1.2731987,
2.3,1.2471824,
2.32,1.25096572,
2.34,1.24687335,
2.36,1.23871199,
2.38,1.2941817,
2.4,1.48889368,
2.42,1.45544306,
2.44,1.85980645,
2.46,1.86354872,
2.48,1.89373973,
2.5,1.91760933,
2.52,1.87230738,
2.54,1.94270096,
2.56,1.81829852,
2.58,1.85597324,
2.6,1.90123348,
2.62,1.84968792,
2.64,1.85595856,
2.66,1.9288295,
2.68,2.04696032,
2.7,2.24428329,
2.72,1.85977703,
2.74,1.8007108,
2.76,1.85598425,
2.78,1.85851277,
2.8,1.89871624,
2.82,1.89369853,
2.84,1.95276441,
2.86,2.05451145,
2.88,1.80444231,
2.9,1.79690736,
2.92,1.8572632,
2.94,1.86479825,
2.96,1.9213364,
2.98,1.87486184,
3,1.91425914,
3.02,1.89121117,
3.04,1.80448156,
3.06,1.85353562,
3.08,1.78187623,
3.1,1.8811475,
3.12,1.91010444,
3.14,1.8698997,
3.16,1.8661068,
3.18,1.8673711,
3.2,1.91511107,
3.22,1.80243829,
3.24,1.94068272,
3.26,1.80871063,
3.28,1.91427819,
3.3,1.86025512,
3.32,1.85085838,
3.34,1.84584881,
3.36,1.90115647,
3.38,1.95519909,
3.4,1.89108673,
3.42,1.84807463,
3.44,1.84807463,
3.46,1.84807463,
3.48,1.84807463,
3.5,1.84807463,
3.52,1.92110093,
3.54,1.97643941,
3.56,2.04058749,
3.58,1.8668763,
3.6,1.8668763,
3.62,2.22685704,
3.64,1.86676866,
3.66,1.86676866,
3.68,1.86676866,
3.7,1.86676866,
3.72,1.93244864,
3.74,1.98151047,
3.76,1.86743793,
3.78,1.79154146,
3.8,1.86743793,
3.82,1.86736617,
3.84,1.86736617,
3.86,1.86736617,
3.88,1.86736617,
3.9,1.86736617,
3.92,1.86717839,
3.94,1.86717839,
3.96,1.86717839,
3.98,1.86717839,
4,1.86717839,
4.02,1.86709826,
4.04,1.86709826,
4.06,1.86709826,
4.08,1.94881798,
4.1,1.86709826,
4.12,1.86688098,
4.14,1.86688098,
4.16,1.86688098,
4.18,1.86688098,
4.2,1.86688098,
4.22,1.86680454,
4.24,1.8015922,
4.26,1.92740949,
4.28,1.86680454,
4.3,1.86680454,
4.32,1.86749862,
4.34,1.86749862,
4.36,1.86749862,
4.38,1.86749862,
4.4,1.86749862,
4.42,1.86748386,
4.44,2.06200394,
4.46,1.86748386,
4.48,1.86748386,
4.5,1.80536097,
4.52,1.86716533,
4.54,1.86716533,
4.56,1.86716533,
4.58,1.86716533,
4.6,1.86716533,
4.62,1.86665067,
4.64,1.86665067,
4.66,1.86665067,
4.68,1.81531398,
4.7,1.92102504,
4.72,1.86625573,
4.74,1.86625573,
4.76,1.86625573,
4.78,1.86625573,
4.8,1.968775,
4.82,1.86713751,
4.84,1.86713751,
4.86,1.86713751,
4.88,1.86713751,
4.9,1.86713751,
4.92,1.86724512,
4.94,1.86724512,
4.96,1.86724512,
4.98,2.02782699,
5,1.86724512,
5.02,1.8673105,
5.04,1.80392775,
5.06,1.8673105,
5.08,1.8673105,
5.1,1.91839133,
5.12,1.86742651,
5.14,1.81523151,
5.16,1.96118512,
5.18,1.7863243,
5.2,1.79386751,
5.22,1.86765012,
5.24,1.86765012,
5.26,2.29451844,
5.28,1.86765012,
5.3,1.86765012,
5.32,1.79383916,
5.34,1.78756169,
5.36,1.86734637,
5.38,1.86734637,
5.4,1.86734637,
5.42,1.86756998,
5.44,1.86756998,
5.46,1.86756998,
5.48,1.75984211,
5.5,1.92214266,
5.52,1.8673886,
5.54,1.8673886,
5.56,1.8673886,
5.58,1.8673886,
5.6,1.8673886,
5.62,1.86827398,
5.64,1.86827398,
5.66,1.80003485,
5.68,1.86827398,
5.7,1.86827398,
5.72,1.86873591,
5.74,1.86873591,
5.76,1.80753476,
5.78,1.86873591,
5.8,1.86873591,
5.82,1.86856084,
5.84,1.86856084,
5.86,1.96721786,
5.88,1.79617524,
5.9,1.86856084,
5.92,1.86825238,
5.94,1.86825238,
5.96,1.86825238,
5.98,1.86825238,
6,1.86825238,
6.02,1.77717135,
6.04,1.86822918,
6.06,1.86822918,
6.08,1.80986916,
6.1,1.86822918,
6.12,1.86897517,
6.14,1.86897517,
6.16,1.86897517,
6.18,1.86897517,
6.2,1.96569604,
6.22,1.7921026,
