# 50.0 sps, start/stop: 50/0 mA (360 s), channels: 1
# P min: 1.2289754892, P max: 2.8111239462,
Time,Power,
0,2.25481765,
0.02,2.22593567,
0.04,2.16179845,
0.06,2.18933229,
0.08,2.22954204,
0.1,2.23207096,
0.12,2.24840775,
0.14,2.266009,
0.16,2.23574055,
0.18,2.15026796,
0.2,2.20306878,
0.22,2.1464748,
0.24,2.18420412,
0.26,2.25060288,
0.28,2.27194376,
0.3,2.30587677,
0.32,2.1215462,
0.34,2.29960599,
0.36,2.15718458,
0.38,2.21781573,
0.4,2.23541343,
0.42,2.25548896,
0.44,2.24168387,
0.46,2.26286698,
0.48,2.19399799,
0.5,2.19399799,
0.52,2.25406874,
0.54,2.19399799,
0.56,2.23007875,
0.58,2.23007875,
0.6,2.23007875,
0.62,2.23007875,
0.64,2.23007875,
0.66,2.23010112,
0.68,2.16487278,
0.7,2.30185229,
0.72,2.23010112,
0.74,2.23010112,
0.76,2.23015404,
0.78,2.23015404,
0.8,2.23015404,
0.82,2.23015404,
0.84,2.23015404,
0.86,2.22988621,
0.88,2.35352717,
0.9,2.22988621,
0.92,2.22988621,
0.94,2.16758533,
0.96,2.22985122,
0.98,2.22985122,
1,2.22985122,
1.02,2.28451782,
1.04,2.22985122,
1.06,2.2301417,
1.08,2.2301417,
1.1,2.2301417,
1.12,2.2301417,
1.14,2.28961484,
1.16,2.22923139,
1.18,2.22923139,
1.2,2.22923139,
1.22,2.22923139,
1.24,2.28334386,
1.26,2.23004289,
1.28,2.23004289,
1.3,2.23004289,
1.32,2.23004289,
1.34,2.23004289,
1.36,2.22979002,
1.38,2.22979002,
1.4,2.22979002,
1.42,2.40907344,
1.44,2.22979002,
1.46,2.3010477,
1.48,2.23186151,
1.5,2.23186151,
1.52,2.23186151,
1.54,2.23186151,
1.56,2.23400332,
1.58,2.32620172,
1.6,2.00823607,
1.62,2.05223641,
1.64,1.79708503,
1.66,2.07998201,
1.68,1.90654902,
1.7,1.95682385,
1.72,1.90154177,
1.74,1.90907793,
1.76,1.84763063,
1.78,1.97585752,
1.8,1.79234385,
1.82,1.81621884,
1.84,1.81121116,
1.86,1.8967914,
1.88,1.89051868,
1.9,1.88798935,
1.92,1.84150036,
1.94,1.87797323,
1.96,1.96862424,
1.98,1.85671827,
2,1.865521,
2.02,1.84665078,
2.04,1.87811801,
2.06,1.85310278,
2.08,1.85436762,
2.1,1.86064127,
2.12,1.84556428,
2.14,2.06959407,
2.16,1.82936346,
2.18,1.88340191,
2.2,1.8582548,
2.22,1.85698986,
2.24,1.86078469,
2.26,1.85711831,
2.28,1.85838334,
2.3,1.79174143,
2.32,1.99799233,
2.34,1.82695994,
2.36,1.80573756,
2.38,1.85356061,
2.4,1.87238619,
2.42,1.90006789,
2.44,2.2559321,
2.46,1.92397075,
2.48,1.77821539,
2.5,1.80336831,
2.52,1.83353158,
2.54,1.81971518,
2.56,1.88620429,
2.58,1.88620429,
2.6,1.88620429,
2.62,1.88620429,
2.64,1.81727088,
2.66,1.93045435,
2.68,1.78205908,
2.7,1.86627795,
2.72,1.86627795,
2.74,1.86627795,
2.76,1.86221425,
2.78,1.86221425,
2.8,1.86221425,
2.82,1.79464736,
2.84,1.86221425,
2.86,1.8625897,
2.88,1.8625897,
2.9,1.8625897,
2.92,1.8625897,
2.94,1.8625897,
2.96,1.8628492,
2.98,1.42106444,
3,1.4531025,
3.02,1.4708289,
3.04,1.53085628,
3.06,1.4871143,
3.08,1.41355012,
3.1,1.41263938,
3.12,1.42323318,
3.14,1.44648743,
3.16,1.44275456,
3.18,1.84704455,
3.2,1.78343569,
3.22,1.85479334,
3.24,1.86612156,
3.26,1.88210655,
3.28,1.88711229,
3.3,1.851971,
3.32,1.833111,
3.34,1.95455133,
3.36,2.18989944,
3.38,1.78191305,
3.4,1.84187982,
3.42,1.88834648,
3.44,1.90220053,
3.46,1.87952264,
3.48,1.85818569,
3.5,1.95870195,
3.52,1.78183782,
3.54,1.78183782,
3.56,1.86316179,
3.58,1.85315078,
3.6,1.89708802,
3.62,1.92221669,
3.64,1.84056116,
3.66,1.78494439,
3.68,1.92221669,
3.7,1.78494439,
3.72,1.86948188,
3.74,1.8594203,
3.76,1.88199116,
3.78,1.85559889,
3.8,1.83674005,
3.82,1.84306003,
3.84,1.78430943,
3.86,1.93720715,
3.88,1.88947974,
3.9,1.83922439,
3.92,1.78457043,
3.94,1.84428026,
3.96,1.84549367,
3.98,1.84301629,
4,1.89574902,
4.02,1.86561603,
4.04,1.9485323,
4.06,1.88743326,
4.08,1.81294129,
4.1,1.81294129,
4.12,1.81294129,
4.14,1.81294129,
4.16,1.85354573,
4.18,2.0478144,
4.2,1.85354573,
4.22,1.85354573,
4.24,1.85354573,
4.26,1.86549903,
4.28,1.86549903,
4.3,1.86549903,
4.32,1.86549903,
4.34,1.86549903,
4.36,1.86534722,
4.38,1.9188872,
4.4,1.86534722,
4.42,1.86534722,
4.44,1.86534722,
4.46,1.8660815,
4.48,1.8660815,
4.5,1.8660815,
4.52,1.8660815,
4.54,1.8660815,
4.56,1.86347305,
4.58,2.02587284,
4.6,1.86347305,
4.62,1.93154027,
4.64,1.80704557,
