# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.1395691968, P max: 3.6455620264
Time,Power
0.00000000,2.74721120
0.02000000,2.87525169
0.04000000,2.76389304
0.06000000,2.64019386
0.08000000,2.85804086
0.10000000,2.79148547
0.12000000,2.68227804
0.14000000,2.84331317
0.16000000,2.80692329
0.18000000,2.93125538
0.20000000,2.83451894
0.22000000,2.80565975
0.24000000,2.93026431
0.26000000,2.77953554
0.28000000,2.87122634
0.30000000,2.87623042
0.32000000,2.84110081
0.34000000,2.83894976
0.36000000,2.85527834
0.38000000,3.07194807
0.40000000,2.85401452
0.42000000,2.79749638
0.44000000,2.81299511
0.46000000,2.68482373
0.48000000,2.83433172
0.50000000,2.80045605
0.52000000,2.66975664
0.54000000,2.83344326
0.56000000,2.80952531
0.58000000,2.99591343
0.60000000,2.84097767
0.62000000,2.80199090
0.64000000,2.95524494
0.66000000,2.95524494
0.68000000,2.85015383
0.70000000,2.95524494
0.72000000,2.84383218
0.74000000,2.83788653
0.76000000,2.91931872
0.78000000,2.68078816
0.80000000,2.83662206
0.82000000,2.91931872
0.84000000,2.77286188
0.86000000,2.88167000
0.88000000,3.02553345
0.90000000,2.97145820
0.92000000,2.88167000
0.94000000,3.02570092
0.96000000,2.85714271
0.98000000,2.63222979
1.00000000,2.85714271
1.02000000,2.85714271
1.04000000,2.85777775
1.06000000,2.85777775
1.08000000,2.85777775
1.10000000,2.74785155
1.12000000,2.70384060
1.14000000,2.85972268
1.16000000,2.74033571
1.18000000,3.08352267
1.20000000,3.15894893
1.22000000,2.80443032
1.24000000,3.00179979
1.26000000,2.85828362
1.28000000,2.85828362
1.30000000,2.98293073
1.32000000,2.56432082
1.34000000,2.85894663
1.36000000,2.85894663
1.38000000,2.85894663
1.40000000,2.85894663
1.42000000,2.85894663
1.44000000,2.62073236
1.46000000,2.85994646
1.48000000,2.85994646
1.50000000,2.76277364
1.52000000,2.73262527
1.54000000,2.85958613
1.56000000,2.77273580
1.58000000,2.74633168
1.60000000,2.85958613
1.62000000,2.85958613
1.64000000,2.94740149
1.66000000,2.86075486
1.68000000,2.80536779
1.70000000,2.86075486
1.72000000,2.86075486
1.74000000,2.85760158
1.76000000,2.75128116
1.78000000,2.85760158
1.80000000,2.85760158
1.82000000,2.85760158
1.84000000,3.07932070
1.86000000,2.85615733
1.88000000,2.80279437
1.90000000,2.98503771
1.92000000,2.85615733
1.94000000,2.84892424
1.96000000,2.84892424
1.98000000,2.58160366
2.00000000,2.84892424
2.02000000,3.31437061
2.04000000,2.64331583
2.06000000,2.84301752
2.08000000,2.84301752
2.10000000,2.76021314
2.12000000,2.76896400
2.14000000,2.84183721
2.16000000,2.84183721
2.18000000,2.75022868
2.20000000,2.84183721
2.22000000,2.84183721
2.24000000,2.94509945
2.26000000,2.84428215
2.28000000,2.84428215
2.30000000,2.76911180
2.32000000,2.77164109
2.34000000,2.84346717
2.36000000,2.74654343
2.38000000,2.84346717
2.40000000,2.84346717
2.42000000,2.84346717
2.44000000,3.05205712
2.46000000,2.84409108
2.48000000,2.84409108
2.50000000,3.08600146
2.52000000,2.64229675
2.54000000,2.84496794
2.56000000,2.90127239
2.58000000,2.68252988
2.60000000,2.84496794
2.62000000,2.84496794
2.64000000,2.78055293
2.66000000,2.84343344
2.68000000,2.84343344
2.70000000,2.78809050
2.72000000,2.75288146
2.74000000,2.84327043
2.76000000,2.78812908
2.78000000,2.75924310
2.80000000,2.84327043
2.82000000,2.84327043
2.84000000,2.84450705
2.86000000,2.84450705
2.88000000,2.84450705
2.90000000,2.84450705
2.92000000,2.84450705
2.94000000,2.91522121
2.96000000,2.41235263
2.98000000,2.38346552
3.00000000,2.42368488
3.02000000,2.13956920
3.04000000,2.16744349
3.06000000,2.38495182
3.08000000,2.46919267
3.10000000,2.38743098
3.12000000,2.16997324
3.14000000,2.37016489
3.16000000,2.38397905
3.18000000,2.35129061
3.20000000,2.17706232
3.22000000,2.56376547
3.24000000,2.47471505
3.26000000,2.41813799
3.28000000,2.90101663
3.30000000,2.80542265
3.32000000,2.83811386
3.34000000,2.89352213
3.36000000,2.99534221
3.38000000,2.85956524
3.40000000,2.81052764
3.42000000,2.84949456
3.44000000,2.64579502
3.46000000,2.85708008
3.48000000,2.84073396
3.50000000,2.55151381
3.52000000,2.83192830
3.54000000,2.88974949
3.56000000,2.60680687
3.58000000,2.84698675
3.60000000,2.87087316
3.62000000,2.75270628
3.64000000,2.89225697
3.66000000,3.05951112
3.68000000,2.99033218
3.70000000,2.83441386
3.72000000,2.85956524
3.74000000,2.80165569
3.76000000,3.42156939
3.78000000,2.85823230
3.80000000,2.86956787
3.82000000,2.95129526
3.84000000,2.84554726
3.86000000,2.80531732
3.88000000,3.00651763
3.90000000,2.56894743
3.92000000,2.85814758
3.94000000,2.89458709
3.96000000,2.71089856
3.98000000,2.85182764
4.00000000,2.89079187
4.02000000,2.77511364
4.04000000,2.73858402
4.06000000,2.84034103
4.08000000,2.80765330
4.10000000,2.73858402
4.12000000,2.83654601
4.14000000,2.78951024
4.16000000,2.73572765
4.18000000,2.78951024
4.20000000,2.85012317
4.22000000,2.78951024
4.24000000,2.75935219
4.26000000,2.83791908
4.28000000,2.83791908
4.30000000,2.83791908
4.32000000,2.83791908
4.34000000,2.80695971
4.36000000,3.03450318
4.38000000,2.85916622
4.40000000,2.80443032
4.42000000,3.01563397
4.44000000,2.85985183
4.46000000,2.85985183
4.48000000,2.85985183
4.50000000,2.62967962
4.52000000,2.85985183
4.54000000,2.85890225
4.56000000,2.75924310
4.58000000,3.25829767
4.60000000,2.85890225
4.62000000,2.78686437
4.64000000,2.72289804
4.66000000,2.85883552
4.68000000,2.85883552
4.70000000,2.71035152
4.72000000,2.85883552
4.74000000,2.84850968
4.76000000,2.66146256
4.78000000,2.78718939
4.80000000,2.84850968
4.82000000,2.75324062
4.84000000,2.84556967
4.86000000,2.84556967
4.88000000,2.77736384
4.90000000,2.74968684
4.92000000,2.84556967
4.94000000,2.84532234
4.96000000,3.01893300
4.98000000,2.84532234
5.00000000,2.84532234
5.02000000,2.84532234
5.04000000,2.84715525
5.06000000,2.84715525
5.08000000,2.90580262
5.10000000,2.69206104
5.12000000,2.84715525
5.14000000,2.84531110
5.16000000,2.84531110
5.18000000,2.84531110
5.20000000,2.84531110
5.22000000,2.84531110
5.24000000,2.75368684
5.26000000,2.84593520
5.28000000,2.84593520
5.30000000,2.84593520
5.32000000,2.84593520
5.34000000,2.84812247
5.36000000,2.75885613
5.38000000,2.73745043
5.40000000,2.90975875
5.42000000,2.77773161
5.44000000,2.73631703
5.46000000,2.84678992
5.48000000,2.77528365
5.50000000,2.84678992
5.52000000,2.84678992
5.54000000,2.84678992
5.56000000,2.96768766
5.58000000,2.84678992
5.60000000,2.84678992
5.62000000,2.90731470
5.64000000,2.84731280
5.66000000,2.84731280
5.68000000,2.84731280
5.70000000,2.84731280
5.72000000,2.84731280
5.74000000,2.84534484
5.76000000,2.98263268
5.78000000,2.84534484
5.80000000,2.84534484
5.82000000,2.84534484
5.84000000,2.72845113
5.86000000,2.84655363
5.88000000,2.84655363
5.90000000,2.59769840
5.92000000,2.84655363
5.94000000,2.90056948
5.96000000,2.75221673
5.98000000,2.76855982
6.00000000,2.84759359
6.02000000,2.75596097
6.04000000,2.77728150
6.06000000,2.84614307
6.08000000,2.84614307
6.10000000,2.79362411
6.12000000,2.90928725
6.14000000,2.84943737
6.16000000,2.95199445
6.18000000,2.84943737
6.20000000,2.84943737
6.22000000,3.30651712
6.24000000,2.84944845
6.26000000,2.84944845
6.28000000,2.84944845
6.30000000,2.84944845
6.32000000,3.24731888
6.34000000,2.84759880
6.36000000,3.05861636
6.38000000,2.84759880
6.40000000,3.11770735
6.42000000,3.13905701
6.44000000,2.85831240
6.46000000,3.01321776
6.48000000,2.98933946
6.50000000,2.64740436
6.52000000,2.85831240
6.54000000,2.81196789
6.56000000,2.94900997
6.58000000,2.86473086
6.60000000,2.86473086
6.62000000,2.86473086
6.64000000,2.86399999
6.66000000,2.86399999
6.68000000,2.94271383
6.70000000,2.86399999
6.72000000,2.86399999
6.74000000,2.86777660
6.76000000,2.86777660
6.78000000,2.86777660
6.80000000,2.86777660
6.82000000,3.08468979
6.84000000,2.86675962
6.86000000,2.86675962
6.88000000,2.86675962
6.90000000,2.66486731
6.92000000,2.86675962
6.94000000,2.93007125
6.96000000,2.77421425
6.98000000,2.86602874
7.00000000,2.91752580
7.02000000,2.79181835
7.04000000,2.65600218
7.06000000,2.86679279
7.08000000,2.80558409
7.10000000,2.63212573
7.12000000,2.86679279
7.14000000,3.20030431
7.16000000,2.80811338
7.18000000,2.86679279
7.20000000,2.86679279
7.22000000,2.81438601
7.24000000,2.86600608
7.26000000,2.86600608
7.28000000,2.77672162
7.30000000,2.62961724
7.32000000,2.86600608
7.34000000,2.86584906
7.36000000,3.06081097
7.38000000,2.86584906
7.40000000,2.86584906
7.42000000,2.95523611
7.44000000,2.86022856
7.46000000,2.86022856
7.48000000,2.86022856
7.50000000,2.64604024
7.52000000,2.86022856
7.54000000,2.84976828
7.56000000,2.84976828
7.58000000,2.84976828
7.60000000,2.84976828
7.62000000,2.75673548
7.64000000,2.64744622
7.66000000,2.84965605
7.68000000,2.84965605
7.70000000,2.65371943
7.72000000,2.84965605
7.74000000,2.84695241
7.76000000,2.94302795
7.78000000,2.84695241
7.80000000,2.84695241
7.82000000,2.92289206
7.84000000,2.84996544
7.86000000,2.84996544
7.88000000,2.84996544
7.90000000,2.78960883
7.92000000,2.84996544
7.94000000,2.84765515
7.96000000,2.98456116
7.98000000,2.84765515
8.00000000,2.84765515
8.02000000,2.84765515
8.04000000,2.84794202
8.06000000,3.15065729
8.08000000,2.99224153
8.10000000,2.84794202
8.12000000,2.84794202
8.14000000,2.96709536
8.16000000,2.84804321
8.18000000,2.84804321
8.20000000,2.90046056
8.22000000,2.74958359
8.24000000,2.84832427
8.26000000,2.84832427
8.28000000,2.31580663
8.30000000,2.16999040
8.32000000,2.59615630
8.34000000,2.50080498
8.36000000,2.14957114
8.38000000,2.17261986
8.40000000,2.38260571
8.42000000,2.46938300
8.44000000,2.39710501
8.46000000,2.15585881
8.48000000,2.27727110
8.50000000,2.41936966
8.52000000,2.38414865
8.54000000,2.15429506
8.56000000,2.60574250
8.58000000,2.42966787
8.60000000,2.40577962
8.62000000,2.14548879
8.64000000,2.16203681
8.66000000,2.47018337
8.68000000,2.78713700
8.70000000,2.85000133
8.72000000,2.81603839
8.74000000,2.65414070
8.76000000,2.84749306
8.78000000,3.30657837
8.80000000,2.93804473
8.82000000,2.83995131
8.84000000,2.82231470
8.86000000,2.97704598
8.88000000,3.26003668
8.90000000,2.88143349
8.92000000,2.83992886
8.94000000,2.89157451
8.96000000,2.84753807
8.98000000,3.03623675
9.00000000,2.81230891
9.02000000,2.85386514
9.04000000,2.83625056
9.06000000,2.88023639
9.08000000,2.88023639
9.10000000,2.83873078
9.12000000,2.81230891
9.14000000,2.65662462
9.16000000,2.84132897
9.18000000,3.01995918
9.20000000,2.85894396
9.22000000,3.01869374
9.24000000,3.03878901
9.26000000,2.95830670
9.28000000,2.80108782
9.30000000,2.87782440
9.32000000,2.75451944
9.34000000,2.76701394
9.36000000,2.87771069
9.38000000,2.82613319
9.40000000,2.87771069
9.42000000,2.85382004
9.44000000,2.86228814
9.46000000,2.95536122
9.48000000,2.84472623
9.50000000,2.85100195
9.52000000,3.10000660
9.54000000,2.89842334
9.56000000,2.85065269
9.58000000,2.96380436
9.60000000,2.64443936
9.62000000,2.84685736
9.64000000,2.84230329
9.66000000,2.56613831
9.68000000,2.84230329
9.70000000,3.02880825
9.72000000,2.75724771
9.74000000,2.78852039
9.76000000,2.86567852
9.78000000,2.80612762
9.80000000,2.86567852
9.82000000,2.86567852
9.84000000,2.86491959
9.86000000,3.03618536
9.88000000,2.86491959
9.90000000,2.81113658
9.92000000,3.00476555
9.94000000,2.86335645
9.96000000,2.86335645
9.98000000,2.86335645
10.00000000,2.73945003
10.02000000,2.86335645
10.04000000,2.86323795
10.06000000,2.75071800
10.08000000,2.86323795
10.10000000,2.86323795
10.12000000,2.86323795
10.14000000,2.86475464
10.16000000,2.86475464
10.18000000,2.78072332
10.20000000,2.63866436
10.22000000,2.86475464
10.24000000,2.85541248
10.26000000,2.65506816
10.28000000,2.85541248
10.30000000,2.85541248
10.32000000,2.94799584
10.34000000,2.84981367
10.36000000,2.84981367
10.38000000,2.95302196
10.40000000,2.84981367
10.42000000,2.84981367
10.44000000,2.85205635
10.46000000,2.64746715
10.48000000,2.85205635
10.50000000,2.85205635
10.52000000,2.92025275
10.54000000,2.85090979
10.56000000,2.85090979
10.58000000,2.78832749
10.60000000,2.85090979
10.62000000,3.10260499
10.64000000,2.79222675
10.66000000,2.84949904
10.68000000,2.84949904
10.70000000,2.78342341
10.72000000,2.70672306
10.74000000,2.85043227
10.76000000,2.85043227
10.78000000,3.01476255
10.80000000,2.85043227
10.82000000,2.85043227
10.84000000,3.02471125
10.86000000,2.84930774
10.88000000,2.84930774
10.90000000,2.90905725
10.92000000,2.61111920
10.94000000,2.84990348
10.96000000,3.04978931
10.98000000,2.61607095
11.00000000,2.84990348
11.02000000,2.93287305
11.04000000,2.84930745
11.06000000,2.62732029
11.08000000,2.84930745
11.10000000,2.77311951
11.12000000,2.73416552
11.14000000,2.84837432
11.16000000,2.84837432
11.18000000,2.74921948
11.20000000,2.84837432
11.22000000,2.84837432
11.24000000,2.93393484
11.26000000,2.75794023
11.28000000,2.84970632
11.30000000,2.75166735
11.32000000,2.84970632
11.34000000,2.84923955
11.36000000,2.84923955
11.38000000,2.84923955
11.40000000,2.84923955
11.42000000,2.84923955
11.44000000,3.17635251
11.46000000,2.84745209
11.48000000,2.90734414
11.50000000,2.84745209
11.52000000,2.75650116
11.54000000,2.84850300
11.56000000,2.84850300
11.58000000,2.65213825
11.60000000,2.84850300
11.62000000,2.91481784
11.64000000,2.61301446
11.66000000,2.84857018
11.68000000,2.84857018
11.70000000,2.76258248
11.72000000,2.74624481
11.74000000,2.84751352
