# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.114597896, P max: 3.6937189800000003
Time,Power
0.00000000,2.95307801
0.02000000,3.12884896
0.04000000,3.03897061
0.06000000,2.89320280
0.08000000,2.86300731
0.10000000,2.71016927
0.12000000,2.98784437
0.14000000,2.89360321
0.16000000,2.85212294
0.18000000,2.84453508
0.20000000,2.92375229
0.22000000,3.24101961
0.24000000,2.84876820
0.26000000,2.81355513
0.28000000,2.87264834
0.30000000,3.11529476
0.32000000,3.01167330
0.34000000,2.89063763
0.36000000,2.85294048
0.38000000,2.69451125
0.40000000,2.90318647
0.42000000,2.86708293
0.44000000,2.82811631
0.46000000,2.91738529
0.48000000,2.97300129
0.50000000,2.83439145
0.52000000,2.80954559
0.54000000,2.83844475
0.56000000,2.83090364
0.58000000,2.68124544
0.60000000,2.86486396
0.62000000,2.89386201
0.64000000,2.76570483
0.66000000,2.69777950
0.68000000,2.89386201
0.70000000,2.89386201
0.72000000,2.88066917
0.74000000,2.88066917
0.76000000,2.96200941
0.78000000,2.88066917
0.80000000,2.88066917
0.82000000,2.87221627
0.84000000,3.04375457
0.86000000,2.68777084
0.88000000,2.61356749
0.90000000,2.87221627
0.92000000,2.67639882
0.94000000,2.67513345
0.96000000,2.87399822
0.98000000,2.87399822
1.00000000,2.87399822
1.02000000,2.87319358
1.04000000,3.28756877
1.06000000,2.87319358
1.08000000,2.87319358
1.10000000,2.87319358
1.12000000,2.92655502
1.14000000,2.70517682
1.16000000,2.62343796
1.18000000,2.87164068
1.20000000,2.87164068
1.22000000,2.69504909
1.24000000,2.87532297
1.26000000,2.87532297
1.28000000,2.87532297
1.30000000,2.92643938
1.32000000,2.87392710
1.34000000,2.87392710
1.36000000,2.87392710
1.38000000,2.87392710
1.40000000,2.87392710
1.42000000,2.68481317
1.44000000,2.71750543
1.46000000,2.87246467
1.48000000,2.87246467
1.50000000,2.87246467
1.52000000,2.87215961
1.54000000,2.87215961
1.56000000,2.87215961
1.58000000,3.12730750
1.60000000,2.92357378
1.62000000,2.87894061
1.64000000,2.98642457
1.66000000,2.87894061
1.68000000,2.87894061
1.70000000,2.64443936
1.72000000,2.87728089
1.74000000,2.87728089
1.76000000,2.87728089
1.78000000,2.87728089
1.80000000,2.87728089
1.82000000,2.87678511
1.84000000,2.87678511
1.86000000,3.33331004
1.88000000,2.97869613
1.90000000,2.87678511
1.92000000,3.14097355
1.94000000,3.04164163
1.96000000,3.51942666
1.98000000,2.70842680
2.00000000,2.94104465
2.02000000,2.88355565
2.04000000,2.88355565
2.06000000,2.88355565
2.08000000,2.88355565
2.10000000,2.88355565
2.12000000,2.88270043
2.14000000,2.88270043
2.16000000,2.88270043
2.18000000,2.88270043
2.20000000,3.13591334
2.22000000,3.04037658
2.24000000,2.88148598
2.26000000,2.63925373
2.28000000,3.02777665
2.30000000,2.94357476
2.32000000,2.88403888
2.34000000,2.88403888
2.36000000,2.88403888
2.38000000,2.88403888
2.40000000,2.88403888
2.42000000,2.97876676
2.44000000,3.15860805
2.46000000,3.01272104
2.48000000,3.21265152
2.50000000,3.25541063
2.52000000,2.90354380
2.54000000,2.90354380
2.56000000,2.79272345
2.58000000,2.90354380
2.60000000,2.90354380
2.62000000,3.08196774
2.64000000,2.90040167
2.66000000,2.90040167
2.68000000,2.90040167
2.70000000,3.11091306
2.72000000,2.90050288
2.74000000,2.84180258
2.76000000,2.76255719
2.78000000,3.48558286
2.80000000,2.90050288
2.82000000,2.90109491
2.84000000,2.83055126
2.86000000,2.84062169
2.88000000,2.90109491
2.90000000,2.90109491
2.92000000,2.90224162
2.94000000,2.90224162
2.96000000,2.84440022
2.98000000,3.01665930
3.00000000,3.03674944
3.02000000,2.83428504
3.04000000,2.63055293
3.06000000,2.89769197
3.08000000,2.89769197
3.10000000,2.89769197
3.12000000,2.84428780
3.14000000,2.89782567
3.16000000,2.83922751
3.18000000,2.89782567
3.20000000,2.89782567
3.22000000,2.89840999
3.24000000,2.83040023
3.26000000,3.09196456
3.28000000,3.00644633
3.30000000,2.89840999
3.32000000,2.65694727
3.34000000,2.89817511
3.36000000,2.89817511
3.38000000,2.89817511
3.40000000,2.89817511
3.42000000,2.83798487
3.44000000,2.89349669
3.46000000,2.83424023
3.48000000,2.95619418
3.50000000,2.89349669
3.52000000,2.88140251
3.54000000,3.11716328
3.56000000,3.03918359
3.58000000,2.88140251
3.60000000,3.23911723
3.62000000,2.76508738
3.64000000,2.87975536
3.66000000,2.87975536
3.68000000,2.87975536
3.70000000,2.87975536
3.72000000,2.87791088
3.74000000,2.87791088
3.76000000,2.87791088
3.78000000,2.94364456
3.80000000,2.87791088
3.82000000,3.12842309
3.84000000,3.07058397
3.86000000,2.87753391
3.88000000,2.87753391
3.90000000,2.70720455
3.92000000,2.87452562
3.94000000,2.87452562
3.96000000,2.87452562
3.98000000,2.87452562
4.00000000,2.87452562
4.02000000,3.39776145
4.04000000,3.23772418
4.06000000,3.21009587
4.08000000,3.27795221
4.10000000,3.54578489
4.12000000,3.34064496
4.14000000,3.31423270
4.16000000,3.22745679
4.18000000,3.10425017
4.20000000,3.34691914
4.22000000,3.31779805
4.24000000,3.24737022
4.26000000,3.27631039
4.28000000,3.34167875
4.30000000,3.24989996
4.32000000,3.29867193
4.34000000,3.26219597
4.36000000,3.36782956
4.38000000,3.08872011
4.40000000,3.21696779
4.42000000,3.28455547
4.44000000,3.13618644
4.46000000,3.11858248
4.48000000,3.32851479
4.50000000,3.30590281
4.52000000,3.25397601
4.54000000,3.29545177
4.56000000,3.33945654
4.58000000,3.26024795
4.60000000,3.21376475
4.62000000,3.23857653
4.64000000,3.30139080
4.66000000,3.12179862
4.68000000,3.40572723
4.70000000,3.31271963
4.72000000,3.27345314
4.74000000,3.16169322
4.76000000,3.33499695
4.78000000,3.32498407
4.80000000,3.26839613
4.82000000,3.27180713
4.84000000,3.37733461
4.86000000,3.20283756
4.88000000,3.20283756
4.90000000,3.20283756
4.92000000,3.29405098
4.94000000,3.11062402
4.96000000,3.04156083
4.98000000,3.29657892
5.00000000,3.24232943
5.02000000,3.09021601
5.04000000,3.34894729
5.06000000,3.28135766
5.08000000,3.28135766
