# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.1170454960000002, P max: 3.7244765195999996
Time,Power
0.00000000,2.84596124
0.02000000,3.15583030
0.04000000,2.93015380
0.06000000,2.91382095
0.08000000,2.98415839
0.10000000,2.88645238
0.12000000,2.82237867
0.14000000,2.93171361
0.16000000,2.77964601
0.18000000,2.75076985
0.20000000,2.91558088
0.22000000,2.92938777
0.24000000,2.72456024
0.26000000,2.83010964
0.28000000,2.88417399
0.30000000,2.53513977
0.32000000,2.84555782
0.34000000,2.89962934
0.36000000,2.91723166
0.38000000,2.92097469
0.40000000,2.56055712
0.42000000,2.58944224
0.44000000,2.94016121
0.46000000,2.91249018
0.48000000,2.89240718
0.50000000,2.59722097
0.52000000,2.61735643
0.54000000,2.57207694
0.56000000,2.59595618
0.58000000,3.29245074
0.60000000,2.92202320
0.62000000,2.60616299
0.64000000,2.92202320
0.66000000,3.02483082
0.68000000,3.22847288
0.70000000,2.88366481
0.72000000,2.95217532
0.74000000,2.88366481
0.76000000,2.53600183
0.78000000,2.88366481
0.80000000,2.84824040
0.82000000,2.84824040
0.84000000,3.07180048
0.86000000,2.91589541
0.88000000,2.84824040
0.90000000,2.93002822
0.92000000,2.67977364
0.94000000,2.58923664
0.96000000,2.90487624
0.98000000,2.60183793
1.00000000,2.81056589
1.02000000,2.93384698
1.04000000,2.54148315
1.06000000,3.02311949
1.08000000,2.58424691
1.10000000,2.86961323
1.12000000,2.91865044
1.14000000,2.90984500
1.16000000,2.62311140
1.18000000,2.59295023
1.20000000,2.91623539
1.22000000,2.69993680
1.24000000,2.56035994
1.26000000,2.80530266
1.28000000,3.04326147
1.30000000,2.90618737
1.32000000,2.90745258
1.34000000,2.92759472
1.36000000,2.61442994
1.38000000,2.52768715
1.40000000,2.80139952
1.42000000,2.80139952
1.44000000,2.89993485
1.46000000,2.85717041
1.48000000,2.64967433
1.50000000,3.09364251
1.52000000,2.92504118
1.54000000,2.59305270
1.56000000,2.57164552
1.58000000,2.80256982
1.60000000,2.80336142
1.62000000,2.99552570
1.64000000,2.92006693
1.66000000,2.54535419
1.68000000,2.80336142
1.70000000,2.80248445
1.72000000,2.92764100
1.74000000,2.89742731
1.76000000,2.90370285
1.78000000,2.55409450
1.80000000,2.89119176
1.82000000,2.88866126
1.84000000,2.61956842
1.86000000,2.57427256
1.88000000,2.54658895
1.90000000,2.61200690
1.92000000,2.94147475
1.94000000,2.90625054
1.96000000,2.56544616
1.98000000,3.04335167
2.00000000,2.93012085
2.02000000,2.74150036
2.04000000,2.65349097
2.06000000,2.62454250
2.08000000,2.58304296
2.10000000,2.84969164
2.12000000,2.88112039
2.14000000,2.53403769
2.16000000,2.57806831
2.18000000,2.97545724
2.20000000,2.91887537
2.22000000,2.62457880
2.24000000,2.91507963
2.26000000,2.89119176
2.28000000,2.65352767
2.30000000,2.80385494
2.32000000,2.96044568
2.34000000,2.91388347
2.36000000,2.59194626
2.38000000,2.90259720
2.40000000,2.89512478
2.42000000,2.95798526
2.44000000,3.07241967
2.46000000,2.80250428
2.48000000,2.90388071
2.50000000,2.61844803
2.52000000,2.62725464
2.54000000,2.55052579
2.56000000,2.93538476
2.58000000,2.89762769
2.60000000,2.64987852
2.62000000,2.98442847
2.64000000,2.95800864
2.66000000,2.93158881
2.68000000,2.90516898
2.70000000,2.89135171
2.72000000,2.80627176
2.74000000,2.80627176
2.76000000,2.86366657
2.78000000,2.56813901
2.80000000,2.60085537
2.82000000,3.14165634
2.84000000,2.87629186
2.86000000,2.54553525
2.88000000,2.80381390
2.90000000,2.80682850
2.92000000,2.80682850
2.94000000,2.80682850
2.96000000,2.80682850
2.98000000,2.90516898
3.00000000,2.42858757
3.02000000,2.62603083
3.04000000,2.63736826
3.06000000,2.12166731
3.08000000,2.16696639
3.10000000,2.38354276
3.12000000,2.42251932
3.14000000,2.55838044
3.16000000,2.41249677
3.18000000,2.41729137
3.20000000,2.13799868
3.22000000,2.20901488
3.24000000,2.50968270
3.26000000,2.21043042
3.28000000,2.19013139
3.30000000,2.91501192
3.32000000,2.53254761
3.34000000,2.81435809
3.36000000,2.88610179
3.38000000,2.67112384
3.40000000,2.58279291
3.42000000,2.67210264
3.44000000,2.59033664
3.46000000,2.92372927
3.48000000,2.88975714
3.50000000,2.94774264
3.52000000,2.88739037
3.54000000,2.91002247
3.56000000,2.67104368
3.58000000,2.58416071
3.60000000,2.57540685
3.62000000,2.90628828
3.64000000,2.67236752
3.66000000,2.57920427
3.68000000,2.56912846
3.70000000,2.81706210
3.72000000,2.92526653
3.74000000,2.89002540
3.76000000,2.84850569
3.78000000,2.83088512
3.80000000,2.54032738
3.82000000,2.85867214
3.84000000,3.35317746
3.86000000,3.16192755
3.88000000,3.27261654
3.90000000,3.31155179
3.92000000,3.28132341
3.94000000,3.02719237
3.96000000,3.00577427
3.98000000,3.20836010
4.00000000,3.30888939
4.02000000,3.03461693
4.04000000,3.54544116
4.06000000,3.29754787
4.08000000,3.29754787
4.10000000,3.08313101
4.12000000,3.22026818
4.14000000,3.06551428
4.16000000,2.98502402
4.18000000,3.40013098
4.20000000,3.29493444
4.22000000,3.50876634
4.24000000,3.21319752
4.26000000,3.31760822
4.28000000,3.30627133
4.30000000,2.98535190
4.32000000,2.98535190
4.34000000,3.37725587
4.36000000,3.29427039
4.38000000,2.98535190
4.40000000,3.28106912
4.42000000,3.35690856
4.44000000,3.29654634
4.46000000,2.97722867
4.48000000,3.13058818
4.50000000,3.07080083
4.52000000,3.31764066
4.54000000,3.30883760
4.56000000,3.28743706
4.58000000,3.17178306
4.60000000,2.98800385
4.62000000,3.40034989
4.64000000,3.33372497
4.66000000,3.31106137
4.68000000,3.00060036
4.70000000,3.05439328
4.72000000,2.98023640
4.74000000,3.37995512
4.76000000,3.35860846
4.78000000,3.00284767
4.80000000,3.18989102
4.82000000,3.18989102
4.84000000,3.28412044
4.86000000,3.28659883
4.88000000,3.34066821
4.90000000,3.02380250
4.92000000,3.26257699
4.94000000,3.33672302
4.96000000,3.29024266
4.98000000,3.30030751
5.00000000,3.26637027
5.02000000,3.51394518
5.04000000,3.47621466
5.06000000,3.38699666
5.08000000,3.32165104
5.10000000,3.03768212
5.12000000,3.27524839
5.14000000,3.29279906
5.16000000,3.06534845
5.18000000,3.03515320
5.20000000,3.21290488
5.22000000,3.37213135
5.24000000,3.05539814
5.26000000,3.53803441
5.28000000,2.98377658
5.30000000,3.28672879
5.32000000,2.95744388
5.34000000,2.99512702
5.36000000,3.55824975
5.38000000,3.53311079
5.40000000,3.47529625
5.42000000,3.35840263
5.44000000,3.02780260
5.46000000,2.98632586
5.48000000,3.52430963
5.50000000,3.35081542
5.52000000,3.34454333
5.54000000,3.01272935
5.56000000,3.51677300
5.58000000,3.31692589
5.60000000,3.30554337
5.62000000,3.20928849
5.64000000,3.27539733
5.66000000,3.55940740
5.68000000,3.49157882
5.70000000,3.21639463
5.72000000,3.21639463
5.74000000,3.40601680
5.76000000,3.21639463
5.78000000,3.29539965
5.80000000,3.06405976
5.82000000,3.27770081
5.84000000,3.02385033
5.86000000,3.22292494
5.88000000,3.34684080
5.90000000,2.95339918
5.92000000,3.32291547
5.94000000,3.31912219
5.96000000,3.04388161
5.98000000,3.03260292
6.00000000,2.99868940
6.02000000,3.36567974
6.04000000,3.02256198
6.06000000,2.97982399
6.08000000,3.48504264
6.10000000,3.45357938
6.12000000,3.34929023
6.14000000,3.27388037
6.16000000,3.22178637
6.18000000,2.94963314
6.20000000,3.21667812
6.22000000,3.35176849
6.24000000,3.34296814
6.26000000,3.04891521
6.28000000,3.03758603
6.30000000,3.53405224
6.32000000,3.34554989
6.34000000,3.28647537
6.36000000,2.94462205
6.38000000,3.55291764
6.40000000,3.29024266
6.42000000,3.38072510
6.44000000,3.33045146
6.46000000,3.30152136
6.48000000,3.15575815
6.50000000,3.22322841
6.52000000,3.33677580
6.54000000,3.22322841
6.56000000,3.34056914
6.58000000,3.10806253
6.60000000,3.00756124
6.62000000,3.22358287
6.64000000,3.31548436
6.66000000,3.33055682
6.68000000,3.30162580
6.70000000,3.01764430
6.72000000,2.96736877
6.74000000,3.31676850
6.76000000,3.22021319
6.78000000,3.22021319
6.80000000,3.05666265
6.82000000,2.97871856
6.84000000,3.42240807
6.86000000,3.34572849
6.88000000,3.31932562
6.90000000,3.21194408
6.92000000,3.06804114
6.94000000,3.43379235
6.96000000,2.98129472
6.98000000,3.29550389
7.00000000,3.05804807
7.02000000,2.95121846
7.04000000,3.52310081
7.06000000,3.28551622
7.08000000,3.32198598
7.10000000,2.94115260
7.12000000,3.35966972
7.14000000,2.94363113
7.16000000,2.65455386
7.18000000,2.91348414
7.20000000,2.61580723
7.22000000,2.88730283
7.24000000,2.65981714
7.26000000,2.60700525
7.28000000,2.98786800
7.30000000,3.00839372
7.32000000,2.53818517
7.34000000,2.71672680
7.36000000,2.59727744
7.38000000,2.58423155
7.40000000,2.57991083
7.42000000,2.97472234
7.44000000,2.96718333
7.46000000,2.62519550
7.48000000,2.91435964
7.50000000,2.96867707
7.52000000,2.62539785
7.54000000,2.63921200
7.56000000,2.62539785
7.58000000,2.95233285
7.60000000,3.02689943
7.62000000,2.90099370
7.64000000,2.64822072
7.66000000,2.70985785
7.68000000,2.61806002
7.70000000,2.91375105
7.72000000,2.98789294
7.74000000,3.08101314
7.76000000,2.98789294
7.78000000,2.91000600
7.80000000,2.61726028
7.82000000,2.58582886
7.84000000,2.53799844
7.86000000,3.04737975
7.88000000,2.94559460
7.90000000,2.62001356
7.92000000,2.70302790
7.94000000,2.60867502
7.96000000,2.97970862
7.98000000,2.90297098
8.00000000,2.86607676
8.02000000,2.62517000
8.04000000,2.86607676
8.06000000,2.96605383
8.08000000,2.86607676
8.10000000,2.58887148
8.12000000,2.82589866
8.14000000,2.82589866
8.16000000,2.88953454
8.18000000,2.62410662
8.20000000,2.54739907
8.22000000,2.68201360
8.24000000,2.80366788
8.26000000,3.37265349
8.28000000,2.80366788
8.30000000,2.11704550
8.32000000,2.17996964
8.34000000,2.19023411
8.36000000,2.49691899
8.38000000,2.47175946
8.40000000,2.39395166
8.42000000,2.32099960
8.44000000,2.63169136
8.46000000,2.34109812
8.48000000,2.38767404
8.50000000,2.61670301
8.52000000,2.93373492
8.54000000,2.90356069
8.56000000,2.65821789
8.58000000,2.56511318
8.60000000,3.10091925
8.62000000,2.89082301
8.64000000,2.61784978
8.66000000,2.60149771
8.68000000,2.83923552
8.70000000,2.92973528
8.72000000,2.64669426
8.74000000,2.57374450
8.76000000,2.85050809
8.78000000,2.88948888
8.80000000,2.56107328
8.82000000,2.93339883
8.84000000,2.90069695
8.86000000,2.81767671
8.88000000,3.12712961
8.90000000,2.93201743
8.92000000,2.73044819
8.94000000,2.57104550
8.96000000,2.85654286
8.98000000,2.90559374
9.00000000,2.65402052
9.02000000,3.12062923
9.04000000,2.93070561
9.06000000,2.78856662
9.08000000,2.59990849
9.10000000,2.81629988
9.12000000,2.41255397
9.14000000,3.04900048
9.16000000,2.91819814
9.18000000,3.09050897
9.20000000,2.90058235
9.22000000,2.57980278
9.24000000,2.91819814
9.26000000,2.93328293
9.28000000,2.88924345
9.30000000,2.65404149
9.32000000,2.60620587
9.34000000,2.82381996
9.36000000,2.91564410
9.38000000,2.54460170
9.40000000,2.85382004
9.42000000,2.90914311
9.44000000,2.84248210
9.46000000,2.76458438
9.48000000,2.58591061
9.50000000,2.53908821
9.52000000,2.57557852
9.54000000,2.58058898
9.56000000,2.62208976
9.58000000,2.93147297
9.60000000,2.88744166
9.62000000,2.89123746
9.64000000,2.56176180
9.66000000,2.88243120
9.68000000,2.80327606
9.70000000,2.89629370
9.72000000,2.65482623
9.74000000,2.59950786
9.76000000,2.74289024
9.78000000,2.86233338
9.80000000,2.85736801
9.82000000,2.92402441
9.84000000,2.90140071
9.86000000,2.66494004
9.88000000,2.90388071
9.90000000,2.59956950
9.92000000,3.08879186
9.94000000,2.90390366
9.96000000,2.66121577
9.98000000,3.11900764
10.00000000,3.01834188
10.02000000,2.59325253
10.04000000,2.54167901
10.06000000,2.69761427
10.08000000,2.86114132
10.10000000,2.85732284
10.12000000,2.89001787
10.14000000,2.80018246
10.16000000,2.85858813
10.18000000,2.91896765
10.20000000,2.55921104
10.22000000,2.85852035
10.24000000,2.58309910
10.26000000,2.58937478
10.28000000,2.57302765
10.30000000,3.02454604
10.32000000,2.96168755
10.34000000,2.88997219
10.36000000,2.62335502
10.38000000,2.57056806
10.40000000,2.57176239
10.42000000,2.98175643
10.44000000,2.62333429
10.46000000,2.59691571
10.48000000,2.63087522
10.50000000,3.12384547
10.52000000,2.95911024
10.54000000,2.61324219
10.56000000,3.13766197
10.58000000,2.88618138
10.60000000,2.61703793
10.62000000,2.87357951
10.64000000,2.89372225
10.66000000,2.98046762
10.68000000,2.86983438
10.70000000,2.65354864
10.72000000,3.10499252
10.74000000,2.90128606
10.76000000,2.81403390
10.78000000,2.93144980
10.80000000,2.88872975
10.82000000,2.67995897
10.84000000,2.95411930
10.86000000,2.90006664
10.88000000,2.89126031
10.90000000,2.61840665
10.92000000,3.05731304
10.94000000,3.02461776
10.96000000,2.90512306
10.98000000,2.81462898
11.00000000,2.62351571
11.02000000,2.59081919
11.04000000,2.86499415
11.06000000,2.88260775
11.08000000,2.93291787
11.10000000,2.92278220
11.12000000,2.67882899
11.14000000,2.60837611
11.16000000,2.95674332
11.18000000,2.89008640
11.20000000,2.75424191
11.22000000,3.01585895
11.24000000,3.07370927
11.26000000,3.15924473
11.28000000,2.89889301
11.30000000,2.62090734
11.32000000,2.65613350
11.34000000,2.82775981
11.36000000,2.92655502
11.38000000,2.64105104
11.40000000,2.59961059
11.42000000,2.60214126
11.44000000,2.62350016
11.46000000,3.14168117
11.48000000,2.82656152
11.50000000,2.62359864
11.52000000,2.58209402
11.54000000,3.56939801
11.56000000,3.30280670
11.58000000,3.31789009
11.60000000,3.09008159
11.62000000,3.02722012
11.64000000,3.25482723
11.66000000,3.36678341
11.68000000,3.34917005
11.70000000,3.05330599
11.72000000,3.00806208
11.74000000,3.34759383
11.76000000,3.30234993
11.78000000,3.06464227
11.80000000,2.99275013
11.82000000,3.55228409
11.84000000,3.37501652
11.86000000,3.36115089
11.88000000,3.07948624
11.90000000,2.97054932
11.92000000,2.97054932
11.94000000,3.10069586
11.96000000,3.29935656
11.98000000,3.32951494
12.00000000,3.01079829
12.02000000,3.01079829
12.04000000,3.53923753
12.06000000,3.31918944
12.08000000,3.31544523
12.10000000,3.30765125
12.12000000,3.26237007
12.14000000,3.37048838
12.16000000,3.05169873
12.18000000,3.56284486
12.20000000,3.50859601
12.22000000,3.26844338
12.24000000,3.30238954
12.26000000,2.99191626
12.28000000,3.18046668
12.30000000,3.30104487
12.32000000,3.31986375
12.34000000,3.33372497
12.36000000,3.17027385
12.38000000,3.00307919
12.40000000,2.98777349
12.42000000,3.24798016
12.44000000,3.31960781
12.46000000,3.34854215
12.48000000,3.09212932
12.50000000,3.06033297
12.52000000,3.02138714
12.54000000,3.19654222
12.56000000,3.34944254
12.58000000,3.30290986
12.60000000,2.97097651
12.62000000,3.21622293
12.64000000,3.34423256
12.66000000,3.21622293
12.68000000,3.28642339
12.70000000,3.02632865
12.72000000,3.46873354
12.74000000,3.37698523
12.76000000,3.32043913
12.78000000,3.31290303
12.80000000,3.35817025
12.82000000,3.20921833
12.84000000,2.98991256
12.86000000,3.33424690
12.88000000,3.30410247
12.90000000,3.00233715
12.92000000,3.04133117
12.94000000,3.02620898
12.96000000,3.36931588
12.98000000,3.31530082
13.00000000,3.06389013
13.02000000,3.26624111
13.04000000,3.36425565
13.06000000,3.37305572
13.08000000,3.02995424
13.10000000,3.30513819
13.12000000,3.30766691
13.14000000,3.09651879
13.16000000,3.30640255
13.18000000,3.30134511
13.20000000,3.37928026
13.22000000,3.27873835
13.24000000,3.31894500
13.26000000,3.03871225
13.28000000,3.20500088
13.30000000,3.38430720
13.32000000,3.07140153
13.34000000,3.01233028
13.36000000,3.45217845
13.38000000,3.31016469
13.40000000,3.20572807
13.42000000,3.30268130
13.44000000,3.29514555
13.46000000,2.94450561
13.48000000,3.01490671
13.50000000,2.59685759
13.52000000,2.58929270
13.54000000,2.50474953
13.56000000,2.62163414
13.58000000,2.84286012
13.60000000,2.88080804
13.62000000,2.59299532
13.64000000,3.15703743
13.66000000,3.02658594
13.68000000,2.89967520
13.70000000,2.63349449
13.72000000,2.59074788
13.74000000,2.80822440
13.76000000,2.85223570
13.78000000,2.91253624
13.80000000,2.91544594
13.82000000,2.87648833
13.84000000,2.95192443
13.86000000,2.64512060
13.88000000,2.95819813
13.90000000,2.89190263
13.92000000,2.61026192
13.94000000,3.04061662
13.96000000,3.13832560
13.98000000,3.04061662
14.00000000,3.23420976
14.02000000,2.76894831
14.04000000,3.01544478
14.06000000,2.85821536
14.08000000,2.58408861
14.10000000,2.59445631
14.12000000,2.57304799
14.14000000,2.85980821
14.16000000,2.87863539
14.18000000,2.88744166
14.20000000,3.34299310
14.22000000,2.88265331
14.24000000,2.58205320
14.26000000,3.00716523
14.28000000,2.94161932
14.30000000,3.21880548
14.32000000,2.90081253
14.34000000,3.09428102
14.36000000,2.84143562
14.38000000,2.90081253
14.40000000,2.69444915
14.42000000,2.61390828
14.44000000,2.86231436
14.46000000,2.95105613
14.48000000,2.61142776
14.50000000,2.94875797
14.52000000,2.82350726
14.54000000,2.88208247
14.56000000,2.67076621
14.58000000,3.00915574
14.60000000,2.82462105
14.62000000,2.90096627
14.64000000,2.58773826
14.66000000,3.04186065
14.68000000,3.13997539
14.70000000,2.94873467
14.72000000,2.64679882
14.74000000,2.58265517
14.76000000,2.99779165
14.78000000,2.92483901
14.80000000,2.89461993
14.82000000,2.89208865
14.84000000,2.63040492
14.86000000,3.00027556
14.88000000,2.90464380
14.90000000,2.63662896
14.92000000,2.60392611
14.94000000,2.93601693
14.96000000,2.83097296
14.98000000,2.89323999
15.00000000,2.54722295
15.02000000,2.88563437
15.04000000,2.82524173
15.06000000,2.82524173
15.08000000,2.60888116
15.10000000,2.80961602
15.12000000,3.30450452
15.14000000,2.88312033
15.16000000,2.62398222
15.18000000,3.07685378
15.20000000,2.81466776
15.22000000,2.91449376
15.24000000,2.58494649
15.26000000,2.57613831
15.28000000,2.81466776
15.30000000,2.89554808
15.32000000,2.91690959
15.34000000,2.59613255
15.36000000,2.86279713
15.38000000,2.94206758
15.40000000,2.60243945
15.42000000,2.61625852
15.44000000,2.57854714
15.46000000,2.70180514
15.48000000,3.07036426
15.50000000,2.96968616
15.52000000,2.86399473
15.54000000,2.62375933
15.56000000,2.59232524
15.58000000,2.94953999
15.60000000,2.62368158
15.62000000,2.80899042
15.64000000,3.06642848
15.66000000,2.98468202
15.68000000,2.88658628
15.70000000,2.89403673
15.72000000,2.80738316
15.74000000,2.93554135
15.76000000,2.88522965
15.78000000,2.60097356
15.80000000,3.05874151
15.82000000,3.12914642
15.84000000,2.94430190
15.86000000,2.89019489
15.88000000,2.59212551
15.90000000,2.92162656
15.92000000,2.89647110
15.94000000,2.94177117
15.96000000,2.60973939
15.98000000,2.63109875
16.00000000,2.80391915
16.02000000,2.86632745
16.04000000,2.91410801
16.06000000,2.57954286
16.08000000,2.88895235
16.10000000,2.90780877
16.12000000,2.88644941
16.14000000,2.62355718
16.16000000,2.62983339
16.18000000,2.58711466
16.20000000,2.93665008
16.22000000,2.89261703
16.24000000,2.62725464
16.26000000,2.68510496
16.28000000,2.92404752
16.30000000,2.58324201
16.32000000,2.57317000
16.34000000,2.95049066
16.36000000,2.80558536
16.38000000,2.80558536
16.40000000,2.97184939
16.42000000,2.97564538
16.44000000,2.64736881
16.46000000,2.59705939
16.48000000,2.80295348
16.50000000,2.87877190
16.52000000,2.90144657
16.54000000,2.63608209
16.56000000,2.60966205
16.58000000,2.87376120
16.60000000,2.80305470
16.62000000,2.58951804
16.64000000,2.57944603
16.66000000,3.07626422
16.68000000,2.86621985
16.70000000,2.93402669
16.72000000,2.80425983
16.74000000,2.97805835
16.76000000,3.16041014
16.78000000,3.08494899
16.80000000,2.82144661
16.82000000,2.94513256
16.84000000,2.92757158
16.86000000,3.32241520
16.88000000,2.92124558
16.90000000,2.63708166
16.92000000,2.58424691
16.94000000,2.81901742
16.96000000,2.93759197
16.98000000,2.63829626
17.00000000,3.10482687
17.02000000,2.91874272
17.04000000,2.90487624
17.06000000,2.67602867
17.08000000,2.58043092
17.10000000,3.06452116
17.12000000,2.89600185
17.14000000,2.58543037
17.16000000,3.01548356
17.18000000,2.93501938
17.20000000,2.89986609
17.22000000,2.82466319
