# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.235441656, P max: 3.5676350080000003
Time,Power
0.00000000,2.84016140
0.02000000,2.83889648
0.04000000,2.84142633
0.06000000,2.83889648
0.08000000,2.84016140
0.10000000,2.84160603
0.12000000,2.84287104
0.14000000,2.84160603
0.16000000,2.84535045
0.18000000,2.83781102
0.20000000,2.84311262
0.22000000,2.84184751
0.24000000,2.84184751
0.26000000,2.84559224
0.28000000,2.84559224
0.30000000,2.84339354
0.32000000,2.84587340
0.34000000,2.84086306
0.36000000,2.83706735
0.38000000,2.84212830
0.40000000,2.84112689
0.42000000,2.84112689
0.44000000,2.84239224
0.46000000,2.84365760
0.48000000,2.84740305
0.50000000,2.84265619
0.52000000,2.84392166
0.54000000,2.84893293
0.56000000,2.85146387
0.58000000,2.84766746
0.60000000,2.86651073
0.62000000,2.86651073
0.64000000,2.86651073
0.66000000,2.86651073
0.68000000,2.86651073
0.70000000,2.86498132
0.72000000,2.86498132
0.74000000,2.86498132
0.76000000,2.86498132
0.78000000,2.86498132
0.80000000,2.86401944
0.82000000,2.86401944
0.84000000,2.86401944
0.86000000,2.86401944
0.88000000,2.86401944
0.90000000,2.86161204
0.92000000,2.86161204
0.94000000,2.86161204
0.96000000,2.86161204
0.98000000,2.86161204
1.00000000,2.85301151
1.02000000,2.85301151
1.04000000,2.85301151
1.06000000,2.85301151
1.08000000,2.85301151
1.10000000,2.85356287
1.12000000,2.85356287
1.14000000,2.85356287
1.16000000,2.85356287
1.18000000,2.85356287
1.20000000,2.85422657
1.22000000,2.85422657
1.24000000,2.85422657
1.26000000,2.85422657
1.28000000,2.85422657
1.30000000,2.85471029
1.32000000,2.85471029
1.34000000,2.85471029
1.36000000,2.85471029
1.38000000,2.85471029
1.40000000,2.85464274
1.42000000,3.20163883
1.44000000,3.07583123
1.46000000,2.85464274
1.48000000,2.85464274
1.50000000,2.86199443
1.52000000,2.86199443
1.54000000,2.86199443
1.56000000,2.86199443
1.58000000,2.86199443
1.60000000,3.24679658
1.62000000,2.86250068
1.64000000,2.86250068
1.66000000,2.86250068
1.68000000,3.08327718
1.70000000,2.86556618
1.72000000,2.86556618
1.74000000,2.86556618
1.76000000,2.86556618
1.78000000,2.86556618
1.80000000,2.86610041
1.82000000,2.86610041
1.84000000,2.86610041
1.86000000,2.86610041
1.88000000,2.86610041
1.90000000,2.86602714
1.92000000,3.29455930
1.94000000,3.29703987
1.96000000,3.26939917
1.98000000,3.26185619
2.00000000,3.26408529
2.02000000,3.26408529
2.04000000,3.25907390
2.06000000,3.26408529
2.08000000,3.26033940
2.10000000,3.26249105
2.12000000,3.29898447
2.14000000,3.27635956
2.16000000,3.29645372
2.18000000,3.25494942
2.20000000,3.25598963
2.22000000,3.25097909
2.24000000,3.25978549
2.26000000,3.25472434
2.28000000,3.26732661
2.30000000,3.24933497
2.32000000,3.27069053
2.34000000,3.25561006
2.36000000,3.34239867
2.38000000,3.34993890
2.40000000,3.32569815
2.42000000,3.32944256
2.44000000,3.26907652
2.46000000,3.28041097
2.48000000,3.26907652
2.50000000,3.31913696
2.52000000,3.31913696
2.54000000,3.32166679
2.56000000,3.32040187
2.58000000,3.32293170
2.60000000,3.32125976
2.62000000,3.37534090
2.64000000,3.53621837
2.66000000,3.55255907
2.68000000,3.56763501
2.70000000,3.56081271
2.72000000,3.38610041
2.74000000,3.26920402
2.76000000,3.26672547
2.78000000,3.27046859
2.80000000,3.31909594
2.82000000,3.32036035
2.84000000,3.33295395
2.86000000,3.32789628
2.88000000,3.31909594
2.90000000,3.29529603
2.92000000,3.29529603
2.94000000,3.29529603
2.96000000,3.34642392
2.98000000,3.35522337
3.00000000,3.31322191
3.02000000,3.31322191
3.04000000,3.31322191
3.06000000,3.31322191
3.08000000,3.31322191
3.10000000,3.31648260
3.12000000,3.31648260
3.14000000,3.31648260
3.16000000,3.31648260
3.18000000,3.31648260
3.20000000,3.32287842
3.22000000,3.32287842
3.24000000,3.32287842
3.26000000,3.32287842
3.28000000,3.32287842
3.30000000,3.33106819
3.32000000,3.33106819
3.34000000,3.27696203
3.36000000,3.33106819
3.38000000,3.26568570
3.40000000,3.33200689
3.42000000,3.33200689
3.44000000,3.33200689
3.46000000,3.33200689
3.48000000,3.33200689
3.50000000,3.33473316
3.52000000,3.33473316
3.54000000,3.33473316
3.56000000,3.33473316
3.58000000,3.33473316
3.60000000,3.33789467
3.62000000,3.33789467
3.64000000,3.27822620
3.66000000,3.28328285
3.68000000,3.27195595
3.70000000,3.32338811
3.72000000,3.32338811
3.74000000,3.32338811
3.76000000,3.32338811
3.78000000,3.32338811
3.80000000,3.31787802
3.82000000,3.31787802
3.84000000,3.31787802
3.86000000,3.31787802
3.88000000,3.31787802
3.90000000,3.32010113
3.92000000,3.32010113
3.94000000,3.32010113
3.96000000,3.32010113
3.98000000,3.26831858
4.00000000,3.31633469
4.02000000,3.31633469
4.04000000,3.31633469
4.06000000,3.31633469
4.08000000,3.31633469
4.10000000,3.31873383
4.12000000,3.31873383
4.14000000,3.31873383
4.16000000,3.37506670
4.18000000,3.37132466
4.20000000,3.32044922
4.22000000,3.32044922
4.24000000,3.32044922
4.26000000,3.26816346
4.28000000,3.26942762
4.30000000,3.31612674
4.32000000,3.31612674
4.34000000,3.31612674
4.36000000,3.31612674
4.38000000,3.31612674
4.40000000,3.31789736
4.42000000,3.31789736
4.44000000,3.31789736
4.46000000,3.26677655
4.48000000,3.31789736
4.50000000,3.25165685
4.52000000,3.26298314
4.54000000,3.25919086
4.56000000,3.26045495
4.58000000,3.31632795
4.60000000,3.25666170
4.62000000,3.25792578
4.64000000,3.30904497
4.66000000,3.25413355
4.68000000,3.30904497
4.70000000,3.30456929
4.72000000,3.30456929
4.74000000,3.30456929
4.76000000,2.84955645
4.78000000,2.84829238
4.80000000,2.85101785
4.82000000,2.84722539
4.84000000,2.84722539
4.86000000,2.84596124
4.88000000,2.84722539
4.90000000,2.84879937
4.92000000,2.84627079
4.94000000,2.84627079
4.96000000,2.84374221
4.98000000,3.23435725
5.00000000,2.84910920
5.02000000,2.85163805
5.04000000,2.85037362
5.06000000,2.85037362
5.08000000,2.89432512
5.10000000,2.85444927
5.12000000,2.84944156
5.14000000,2.84316926
5.16000000,2.84817698
5.18000000,2.84817698
5.20000000,2.85732861
5.22000000,2.85105554
5.24000000,2.85479915
5.26000000,2.84473189
5.28000000,2.85105554
5.30000000,2.85510952
5.32000000,2.85263038
5.34000000,2.84256203
5.36000000,2.85010064
5.38000000,2.85263038
5.40000000,3.01434621
5.42000000,3.01434621
5.44000000,3.01434621
5.46000000,3.01434621
5.48000000,2.85044990
5.50000000,2.84947204
5.52000000,2.85326749
5.54000000,2.85200234
5.56000000,2.84947204
5.58000000,2.85574719
5.60000000,2.85111462
5.62000000,2.85364525
5.64000000,2.85364525
5.66000000,2.85612527
5.68000000,2.94505179
5.70000000,2.90893600
5.72000000,2.84627265
5.74000000,2.85386514
5.76000000,2.85133431
5.78000000,2.84880348
5.80000000,2.87915241
5.82000000,2.87915241
5.84000000,2.87915241
5.86000000,2.87915241
5.88000000,2.87915241
5.90000000,2.87909668
