# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.192519916, P max: 3.6167776415999997
Time,Power
0.00000000,3.25537551
0.02000000,3.25537551
0.04000000,3.25537551
0.06000000,3.25537551
0.08000000,3.25537551
0.10000000,3.25557867
0.12000000,3.25557867
0.14000000,3.25557867
0.16000000,3.25557867
0.18000000,3.25557867
0.20000000,3.25641316
0.22000000,3.25641316
0.24000000,3.25641316
0.26000000,3.25641316
0.28000000,3.25641316
0.30000000,3.25697017
0.32000000,3.25697017
0.34000000,3.25697017
0.36000000,3.47790936
0.38000000,3.25697017
0.40000000,3.25878985
0.42000000,3.25878985
0.44000000,3.25878985
0.46000000,3.25878985
0.48000000,3.25878985
0.50000000,3.25785626
0.52000000,3.25785626
0.54000000,3.25785626
0.56000000,3.25785626
0.58000000,3.25785626
0.60000000,3.25846283
0.62000000,3.25846283
0.64000000,3.25846283
0.66000000,3.25846283
0.68000000,3.25846283
0.70000000,3.25911557
0.72000000,3.25911557
0.74000000,3.25911557
0.76000000,3.25911557
0.78000000,3.25911557
0.80000000,3.25977271
0.82000000,3.25977271
0.84000000,3.25977271
0.86000000,3.25977271
0.88000000,3.25977271
0.90000000,3.44538576
0.92000000,3.45039006
0.94000000,3.49057612
0.96000000,3.41273143
0.98000000,3.26078264
1.00000000,3.27253852
1.02000000,3.27253852
1.04000000,3.27253852
1.06000000,3.27253852
1.08000000,3.27253852
1.10000000,3.49291696
1.12000000,3.27481184
1.14000000,3.27481184
1.16000000,3.27481184
1.18000000,3.27481184
1.20000000,3.27572166
1.22000000,3.27572166
1.24000000,3.27572166
1.26000000,3.27572166
1.28000000,3.27572166
1.30000000,3.27652776
1.32000000,3.27652776
1.34000000,3.27652776
1.36000000,3.27652776
1.38000000,3.27652776
1.40000000,3.27617781
1.42000000,3.27617781
1.44000000,3.27617781
1.46000000,3.27617781
1.48000000,3.27617781
1.50000000,3.27686080
1.52000000,2.89490660
1.54000000,2.81580664
1.56000000,2.84213960
1.58000000,2.88863925
1.60000000,2.83990457
1.62000000,2.83737720
1.64000000,2.84364508
1.66000000,2.85304754
1.68000000,2.84996351
1.70000000,2.91549568
1.72000000,2.88910790
1.74000000,2.81874049
1.76000000,2.83759612
1.78000000,2.83885991
1.80000000,2.83657360
1.82000000,2.83283249
1.84000000,2.83657360
1.86000000,2.83530971
1.88000000,2.83783749
1.90000000,2.83433172
1.92000000,2.83059023
1.94000000,2.82558472
1.96000000,2.87078599
1.98000000,2.84565732
2.00000000,2.85354073
2.02000000,2.84600627
2.04000000,2.84347792
2.06000000,2.84979878
2.08000000,2.83847180
2.10000000,2.86889899
2.12000000,2.81863042
2.14000000,2.84255098
2.16000000,2.84255098
2.18000000,2.85008620
2.20000000,2.85035108
2.22000000,2.84908666
2.24000000,2.84155074
2.26000000,2.84908666
2.28000000,2.84655783
2.30000000,2.94596589
2.32000000,2.82416780
2.34000000,2.84677733
2.36000000,2.84677733
2.38000000,2.84551281
2.40000000,2.90475038
2.42000000,2.84713191
2.44000000,2.84460256
2.46000000,2.85092592
2.48000000,2.84586723
2.50000000,2.19251992
2.52000000,2.26795482
2.54000000,2.26416031
2.56000000,2.27675809
2.58000000,2.28885667
2.60000000,2.80252052
2.62000000,2.80252052
2.64000000,2.86045729
2.66000000,2.80252052
2.68000000,2.80252052
2.70000000,2.80258370
2.72000000,2.74090449
2.74000000,2.80258370
2.76000000,2.80258370
2.78000000,2.80258370
2.80000000,2.80098039
2.82000000,2.80098039
2.84000000,2.87171835
2.86000000,2.80098039
2.88000000,2.80098039
2.90000000,2.80136304
2.92000000,2.80136304
2.94000000,2.80136304
2.96000000,2.80136304
2.98000000,2.80136304
3.00000000,2.85548196
3.02000000,2.80138917
3.04000000,2.80138917
3.06000000,2.80138917
3.08000000,2.80138917
3.10000000,2.96237532
3.12000000,2.80171493
3.14000000,2.80171493
3.16000000,2.80171493
3.18000000,2.80171493
3.20000000,2.80304644
3.22000000,3.26925096
3.24000000,2.80304644
3.26000000,2.80304644
3.28000000,2.80304644
3.30000000,2.90971275
3.32000000,2.89964261
3.34000000,2.86189225
3.36000000,2.80390041
3.38000000,2.85561739
3.40000000,2.85692765
3.42000000,2.80222419
3.44000000,2.85318292
3.46000000,2.80222419
3.48000000,2.85692765
3.50000000,2.80339842
3.52000000,2.80339842
3.54000000,2.80339842
3.56000000,2.80339842
3.58000000,2.80339842
3.60000000,2.85276612
3.62000000,2.85276612
3.64000000,2.85276612
3.66000000,3.02262965
3.68000000,3.01888527
3.70000000,3.02262965
3.72000000,3.04524776
3.74000000,3.03396401
3.76000000,2.86354388
3.78000000,2.86354388
3.80000000,2.87109366
3.82000000,2.87109366
3.84000000,2.87109366
3.86000000,2.87109366
3.88000000,2.87109366
3.90000000,2.87233073
3.92000000,2.87233073
3.94000000,2.87233073
3.96000000,2.87233073
3.98000000,2.87233073
4.00000000,2.87337058
4.02000000,2.87337058
4.04000000,3.26894731
4.06000000,2.87337058
4.08000000,2.87337058
4.10000000,2.87491125
4.12000000,2.87491125
4.14000000,2.87491125
4.16000000,2.87491125
4.18000000,2.87491125
4.20000000,2.87367417
4.22000000,2.87367417
4.24000000,2.87367417
4.26000000,2.93580876
4.28000000,2.87367417
4.30000000,2.87366384
4.32000000,2.87366384
4.34000000,2.87366384
4.36000000,2.87366384
4.38000000,2.87366384
4.40000000,2.87391168
4.42000000,2.87391168
4.44000000,2.87391168
4.46000000,3.04408150
4.48000000,2.87391168
4.50000000,2.87803818
4.52000000,2.87803818
4.54000000,2.87803818
4.56000000,2.87803818
4.58000000,2.87803818
4.60000000,2.87832590
4.62000000,2.87832590
4.64000000,2.87832590
4.66000000,2.87832590
4.68000000,2.87832590
4.70000000,2.87756687
4.72000000,2.87756687
4.74000000,2.87756687
4.76000000,2.87756687
4.78000000,2.87756687
4.80000000,2.87036053
4.82000000,2.87036053
4.84000000,2.94874752
4.86000000,2.87036053
4.88000000,2.87036053
4.90000000,2.87119812
4.92000000,2.87119812
4.94000000,2.87119812
4.96000000,2.87119812
4.98000000,2.87119812
5.00000000,2.86957878
5.02000000,2.86957878
5.04000000,2.86957878
5.06000000,2.86957878
5.08000000,2.86957878
5.10000000,2.86920838
5.12000000,2.86920838
5.14000000,2.86920838
5.16000000,2.86920838
5.18000000,2.86920838
5.20000000,2.86914202
5.22000000,2.86914202
5.24000000,2.86914202
5.26000000,2.86914202
5.28000000,2.86914202
5.30000000,2.86976109
5.32000000,2.86976109
5.34000000,2.86976109
5.36000000,2.86976109
5.38000000,2.86976109
5.40000000,2.87091465
5.42000000,2.75668539
5.44000000,2.87091465
5.46000000,2.87091465
5.48000000,2.87091465
5.50000000,2.86664741
5.52000000,2.86664741
5.54000000,2.86664741
5.56000000,2.86664741
5.58000000,2.86664741
5.60000000,2.86605173
5.62000000,2.86605173
5.64000000,2.86605173
5.66000000,2.86605173
5.68000000,2.94678201
5.70000000,2.86519793
5.72000000,2.86519793
5.74000000,2.86519793
5.76000000,2.86519793
5.78000000,3.23374322
5.80000000,2.86199261
5.82000000,2.86199261
5.84000000,2.86199261
5.86000000,2.86199261
5.88000000,2.86199261
5.90000000,2.93712586
5.92000000,2.86458611
5.94000000,2.86458611
5.96000000,2.86458611
5.98000000,2.86458611
6.00000000,2.86247406
6.02000000,2.92834096
6.04000000,2.86825348
6.06000000,2.86825348
6.08000000,2.86825348
6.10000000,2.87107083
6.12000000,2.87107083
6.14000000,2.87107083
6.16000000,2.87107083
6.18000000,2.87107083
6.20000000,2.87522686
6.22000000,2.82253217
6.24000000,2.87522686
6.26000000,2.87522686
6.28000000,2.87522686
6.30000000,2.87414114
6.32000000,2.87414114
6.34000000,2.87414114
6.36000000,2.87414114
6.38000000,2.87414114
6.40000000,2.87356163
6.42000000,2.87356163
6.44000000,3.04009649
6.46000000,3.03508526
6.48000000,3.04136195
6.50000000,3.29407771
6.52000000,2.88681655
6.54000000,2.88681655
6.56000000,2.88681655
6.58000000,3.08902986
6.60000000,3.25755740
6.62000000,2.82990113
6.64000000,2.89231090
6.66000000,2.89231090
6.68000000,2.89231090
6.70000000,2.89183250
6.72000000,2.89183250
6.74000000,2.89183250
6.76000000,2.89183250
6.78000000,2.89183250
6.80000000,2.89294605
6.82000000,2.89294605
6.84000000,2.89294605
6.86000000,2.89294605
6.88000000,2.89294605
6.90000000,2.89682057
6.92000000,2.89682057
6.94000000,2.89682057
6.96000000,2.89682057
6.98000000,2.89682057
7.00000000,2.89651205
7.02000000,2.89651205
7.04000000,2.89651205
7.06000000,2.89651205
7.08000000,2.89651205
7.10000000,2.89372327
7.12000000,2.89372327
7.14000000,2.89372327
7.16000000,2.98088575
7.18000000,2.81739284
7.20000000,2.89416336
7.22000000,2.89416336
7.24000000,2.89416336
7.26000000,2.89416336
7.28000000,2.89416336
7.30000000,2.89314362
7.32000000,2.89314362
7.34000000,2.89314362
