# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 2.0955010769999998, P max: 3.236785344
Time,Power
0.00000000,2.52475957
0.02000000,2.62778105
0.04000000,2.56623115
0.06000000,2.65957001
0.08000000,2.65451187
0.10000000,2.62810838
0.12000000,2.72739967
0.14000000,2.62810838
0.16000000,2.69636172
0.18000000,2.54429299
0.20000000,2.62725797
0.22000000,2.57317897
0.24000000,2.60585907
0.26000000,2.63888863
0.28000000,2.53830557
0.30000000,2.84025713
0.32000000,2.58358819
0.34000000,2.64769218
0.36000000,2.67304397
0.38000000,2.60893504
0.40000000,2.66803467
0.42000000,2.63534772
0.44000000,2.64415194
0.46000000,2.64681437
0.48000000,2.66442404
0.50000000,2.56762145
0.52000000,2.61412515
0.54000000,2.63299988
0.56000000,2.52385162
0.58000000,2.78038154
0.60000000,2.72395407
0.62000000,2.66094761
0.64000000,2.72395407
0.66000000,2.59961059
0.68000000,2.68125016
0.70000000,2.62223482
0.72000000,2.68125016
0.74000000,2.68125016
0.76000000,2.64810683
0.78000000,2.64810683
0.80000000,2.58351762
0.82000000,2.64810683
0.84000000,2.64810683
0.86000000,2.52570059
0.88000000,2.81124406
0.90000000,2.74705879
0.92000000,2.70681645
0.94000000,2.95965985
0.96000000,2.64910169
0.98000000,2.64910169
1.00000000,2.64910169
1.02000000,2.64910169
1.04000000,2.64910169
1.06000000,2.64918200
1.08000000,2.64918200
1.10000000,2.59365219
1.12000000,2.64918200
1.14000000,2.56221735
1.16000000,2.72196553
1.18000000,2.75719739
1.20000000,2.72829309
1.22000000,2.72323104
1.24000000,2.64917325
1.26000000,2.65007568
1.28000000,2.65007568
1.30000000,2.65007568
1.32000000,2.65007568
1.34000000,2.65007568
1.36000000,2.65025545
1.38000000,2.65025545
1.40000000,2.65025545
1.42000000,2.55731199
1.44000000,2.75732267
1.46000000,2.74105814
1.48000000,2.70207735
1.50000000,2.53729493
1.52000000,2.65033921
1.54000000,2.65033921
1.56000000,2.65173053
1.58000000,2.65173053
1.60000000,2.65173053
1.62000000,2.65173053
1.64000000,2.72230429
1.66000000,2.59149999
1.68000000,2.65205001
1.70000000,2.55125145
1.72000000,2.76008824
1.74000000,2.76383464
1.76000000,3.00793166
1.78000000,2.55127161
1.80000000,2.65191908
1.82000000,2.65191908
1.84000000,2.65191908
1.86000000,2.98272855
1.88000000,2.83682211
1.90000000,2.84684622
1.92000000,2.74371943
1.94000000,2.56885446
1.96000000,2.59013711
1.98000000,2.54862444
2.00000000,2.79643480
2.02000000,2.74737898
2.04000000,2.66637866
2.06000000,2.55378281
2.08000000,2.66739002
2.10000000,2.66739002
2.12000000,2.60785255
2.14000000,2.66739002
2.16000000,2.66756298
2.18000000,2.66756298
2.20000000,2.53238755
2.22000000,2.59405185
2.24000000,2.58144560
2.26000000,2.60783709
2.28000000,2.80411720
2.30000000,2.73744170
2.32000000,2.66767797
2.34000000,2.54116160
2.36000000,2.61654279
2.38000000,3.11094458
2.40000000,3.09206153
