# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.7976200781, P max: 1.2488493894
Time,Power
0.00000000,0.84147297
0.02000000,0.85025461
0.04000000,0.85525784
0.06000000,0.90915937
0.08000000,1.11113871
0.10000000,0.90915937
0.12000000,0.84899961
0.14000000,0.83018103
0.16000000,0.83144278
0.18000000,0.97190079
0.20000000,0.91290136
0.22000000,0.91290136
0.24000000,0.91311590
0.26000000,0.91311590
0.28000000,0.97696134
0.30000000,0.85653825
0.32000000,0.91311590
0.34000000,0.91010209
0.36000000,0.91010209
0.38000000,1.00705784
0.40000000,0.85655183
0.42000000,0.91010209
0.44000000,0.83780963
0.46000000,0.90680690
0.48000000,0.90680690
0.50000000,0.90680690
0.52000000,1.00457407
0.54000000,0.83902099
0.56000000,0.84533018
0.58000000,0.84906522
0.60000000,0.90791732
0.62000000,0.90791732
0.64000000,0.90731164
0.66000000,0.85411257
0.68000000,0.90731164
0.70000000,0.83654779
0.72000000,0.90731164
0.74000000,0.90385583
0.76000000,0.90385583
0.78000000,1.02969000
0.80000000,0.90385583
0.82000000,0.90385583
0.84000000,0.84909045
0.86000000,0.90476438
0.88000000,0.90476438
0.90000000,1.05729983
0.92000000,0.97578270
0.94000000,0.85411934
0.96000000,0.85285749
0.98000000,0.84533688
1.00000000,0.90792451
1.02000000,0.90792451
1.04000000,0.90566036
1.06000000,0.90566036
1.08000000,0.90566036
1.10000000,0.99959304
1.12000000,0.90566036
1.14000000,0.90281731
1.16000000,0.90281731
1.18000000,0.90281731
1.20000000,0.98832400
1.22000000,0.83659254
1.24000000,0.90523300
1.26000000,0.90523300
1.28000000,0.90523300
1.30000000,0.90523300
1.32000000,0.90523300
1.34000000,0.90864375
1.36000000,0.90864375
1.38000000,0.90864375
1.40000000,0.90864375
1.42000000,0.90864375
1.44000000,0.90618486
1.46000000,0.96322206
1.48000000,0.80518358
1.50000000,0.85162095
1.52000000,0.84536200
1.54000000,0.90532677
1.56000000,0.90532677
1.58000000,0.90532677
1.60000000,0.84657341
1.62000000,0.90532677
1.64000000,0.83784780
1.66000000,0.90699965
1.68000000,0.90699965
1.70000000,0.90699965
1.72000000,1.06357558
1.74000000,0.96447630
1.76000000,0.97325895
1.78000000,0.97704457
1.80000000,1.05104093
1.82000000,1.05982358
1.84000000,1.04973121
1.86000000,1.09990108
1.88000000,0.98199685
1.90000000,0.99330274
1.92000000,0.85031358
1.94000000,0.92821400
1.96000000,0.92821400
1.98000000,0.92821400
2.00000000,0.92821400
2.02000000,0.92821400
2.04000000,0.85655183
2.06000000,0.85281694
2.08000000,0.93018974
2.10000000,0.93018974
2.12000000,1.01084320
2.14000000,1.01205887
2.16000000,0.83647652
2.18000000,0.86529443
2.20000000,0.84399643
2.22000000,0.93231753
2.24000000,0.92887826
2.26000000,0.92887826
2.28000000,0.99196426
2.30000000,0.84898615
2.32000000,0.84898615
2.34000000,0.84147964
2.36000000,0.92763125
2.38000000,0.92763125
2.40000000,0.92763125
2.42000000,0.86277781
2.44000000,0.93093273
2.46000000,0.83519493
2.48000000,0.93093273
2.50000000,0.93093273
2.52000000,0.93093273
2.54000000,1.05214852
2.56000000,0.87783343
2.58000000,0.85900902
2.60000000,0.93107675
2.62000000,0.93107675
2.64000000,0.92950489
2.66000000,0.92950489
2.68000000,0.92950489
2.70000000,0.92950489
2.72000000,0.86778350
2.74000000,0.92949016
2.76000000,0.92949016
2.78000000,0.92949016
2.80000000,0.98565926
2.82000000,1.00069825
2.84000000,0.97312398
2.86000000,0.85023440
2.88000000,0.85023440
2.90000000,0.92094006
2.92000000,0.92094006
2.94000000,0.90947481
2.96000000,0.90947481
2.98000000,0.90947481
3.00000000,0.83018596
3.02000000,0.90947481
3.04000000,0.90765248
3.06000000,0.90765248
3.08000000,0.90765248
3.10000000,0.90765248
3.12000000,0.90765248
3.14000000,0.90827979
3.16000000,0.90827979
3.18000000,0.90827979
3.20000000,0.90827979
3.22000000,0.90827979
3.24000000,0.85401950
3.26000000,0.85775413
3.28000000,0.84897270
3.30000000,0.91089693
3.32000000,0.91089693
3.34000000,0.91019759
3.36000000,0.97938977
3.38000000,0.84398305
3.40000000,0.84897942
