# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9093062, P max: 1.7132064084
Time,Power
0.00000000,1.17472320
0.02000000,1.48906800
0.04000000,1.17598320
0.06000000,1.14463440
0.08000000,1.17346320
0.10000000,1.25843760
0.12000000,1.15967639
0.14000000,1.14213761
0.16000000,1.38883973
0.18000000,1.50153145
0.20000000,1.25926442
0.22000000,1.16964607
0.24000000,1.61174083
0.26000000,1.15840722
0.28000000,1.14459806
0.30000000,1.34372214
0.32000000,1.26067595
0.34000000,1.15837045
0.36000000,1.15086132
0.38000000,1.59042221
0.40000000,1.15963037
0.42000000,1.32490295
0.44000000,1.16958341
0.46000000,1.17462298
0.48000000,1.05064955
0.50000000,1.26513365
0.52000000,1.02811104
0.54000000,1.03814016
0.56000000,1.37751760
0.58000000,1.16962750
0.60000000,1.16211826
0.62000000,1.33875395
0.64000000,1.16089517
0.66000000,1.18221403
0.68000000,1.18095405
0.70000000,1.45774646
0.72000000,1.31369512
0.74000000,1.16839538
0.76000000,1.25130141
0.78000000,1.44266565
0.80000000,1.14087764
0.82000000,1.25240024
0.84000000,1.31494465
0.86000000,1.15588730
0.88000000,1.15336738
0.90000000,1.46019284
0.92000000,1.25142281
0.94000000,1.19341517
0.96000000,1.16962750
0.98000000,1.25142281
1.00000000,1.15586896
1.02000000,1.15459069
1.04000000,1.25125175
1.06000000,1.50021194
1.08000000,1.15585061
1.10000000,1.15333077
1.12000000,1.32491347
1.14000000,1.15961426
1.16000000,1.18713053
1.18000000,1.17211249
1.20000000,1.25687873
1.22000000,1.16712328
1.24000000,1.14706563
1.26000000,1.41754150
1.28000000,1.42505052
1.30000000,1.14580573
1.32000000,1.16712328
1.34000000,1.32864278
1.36000000,1.15084534
1.38000000,1.14832553
1.40000000,1.25360299
1.42000000,1.24935980
1.44000000,1.32611245
1.46000000,1.16832351
1.48000000,1.24935980
1.50000000,1.14957631
1.52000000,1.16203755
1.54000000,1.25249496
1.56000000,1.34864690
1.58000000,1.15079967
1.60000000,1.15326898
1.62000000,1.46630549
1.64000000,1.26190864
1.66000000,1.16827715
1.68000000,1.17205667
