# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0345072075, P max: 1.8234758684999999
Time,Power
0.00000000,1.18118369
0.02000000,1.18743440
0.04000000,1.43418646
0.06000000,1.52441857
0.08000000,1.26068907
0.10000000,1.26068907
0.12000000,1.44921275
0.14000000,1.16234424
0.16000000,1.16486461
0.18000000,1.17231949
0.20000000,1.38397008
0.22000000,1.26824020
0.24000000,1.26824020
0.26000000,1.26824020
0.28000000,1.26745647
0.30000000,1.16851361
0.32000000,1.18232428
0.34000000,1.35016927
0.36000000,1.49543331
0.38000000,1.19856669
0.40000000,1.26882750
0.42000000,1.38641607
0.44000000,1.16222664
0.46000000,1.18853664
0.48000000,1.17221250
0.50000000,1.40012311
0.52000000,1.26998928
0.54000000,1.18723182
0.56000000,1.26998928
0.58000000,1.26906193
0.60000000,1.16468436
0.62000000,1.14966528
0.64000000,1.38009225
0.66000000,1.51032481
0.68000000,1.20099387
0.70000000,1.26938450
0.72000000,1.41639663
0.74000000,1.16465663
0.76000000,1.17090603
0.78000000,1.17842474
0.80000000,1.39634915
0.82000000,1.18467419
0.84000000,1.19097404
0.86000000,1.27055375
0.88000000,1.51656233
0.90000000,1.16341513
0.92000000,1.17218459
0.94000000,1.61217826
0.96000000,1.32872451
0.98000000,1.26906197
1.00000000,1.18968575
1.02000000,1.39757585
1.04000000,1.26906197
1.06000000,1.19220563
1.08000000,1.27036222
1.10000000,1.27036222
1.12000000,1.20968399
1.14000000,1.27036222
1.16000000,1.27036222
1.18000000,1.42509294
1.20000000,1.16211826
1.22000000,1.15460902
1.24000000,1.47397861
1.26000000,1.26865878
1.28000000,1.26766089
1.30000000,1.26766089
1.32000000,1.45015205
1.34000000,1.19594454
1.36000000,1.16837683
1.38000000,1.26928373
1.40000000,1.32865069
1.42000000,1.15836125
1.44000000,1.19590657
1.46000000,1.26928373
1.48000000,1.33372209
1.50000000,1.16085832
1.52000000,1.16337820
1.54000000,1.48773715
1.56000000,1.26795322
1.58000000,1.18716587
1.60000000,1.26860839
1.62000000,1.34874057
1.64000000,1.20848405
1.66000000,1.18590593
1.68000000,1.17840604
1.70000000,1.26952562
1.72000000,1.16212748
1.74000000,1.20597374
1.76000000,1.26952562
1.78000000,1.26661259
1.80000000,1.18718471
1.82000000,1.14585802
1.84000000,1.39507811
1.86000000,1.26661259
1.88000000,1.19842639
1.90000000,1.26585678
1.92000000,1.39628266
1.94000000,1.21092470
1.96000000,1.19338675
1.98000000,1.18839751
2.00000000,1.26515123
2.02000000,1.16209059
2.04000000,1.18214835
2.06000000,1.38126453
2.08000000,1.32614140
2.10000000,1.26405254
2.12000000,1.17464861
2.14000000,1.36121757
2.16000000,1.17086885
2.18000000,1.17210319
2.20000000,1.19216068
2.22000000,1.35241901
2.24000000,1.17709236
2.26000000,1.26412574
2.28000000,1.26446847
2.30000000,1.26446847
2.32000000,1.16584487
2.34000000,1.15707609
2.36000000,1.39126305
2.38000000,1.34744855
2.40000000,1.26237942
2.42000000,1.19590657
2.44000000,1.26237942
2.46000000,1.17085956
2.48000000,1.18843524
2.50000000,1.19095514
2.52000000,1.47897971
2.54000000,1.26186512
2.56000000,1.19972439
2.58000000,1.37876660
2.60000000,1.26255065
2.62000000,1.16961822
2.64000000,1.15333992
2.66000000,1.44639964
2.68000000,1.45823161
2.70000000,1.26074636
2.72000000,1.26074636
2.74000000,1.36249912
2.76000000,1.17340732
2.78000000,1.18842581
2.80000000,1.17592720
2.82000000,1.45266042
2.84000000,1.20969359
2.86000000,1.18842581
2.88000000,1.26494944
2.90000000,1.58170339
2.92000000,1.16213671
2.94000000,1.15966718
2.96000000,1.26494944
2.98000000,1.36633316
3.00000000,1.18222342
3.02000000,1.19850249
3.04000000,1.33125503
3.06000000,1.16967392
3.08000000,1.18596240
3.10000000,1.18722240
3.12000000,1.34129520
3.14000000,1.20854160
3.16000000,1.21353120
3.18000000,1.26752720
3.20000000,1.26752720
3.22000000,1.15972011
3.24000000,1.15846009
3.26000000,1.26752720
3.28000000,1.36887607
3.30000000,1.26726503
3.32000000,1.26726503
3.34000000,1.49790595
3.36000000,1.19982675
3.38000000,1.14221692
3.40000000,1.18102669
3.42000000,1.26812187
3.44000000,1.26812187
3.46000000,1.26812187
3.48000000,1.27191207
3.50000000,1.44776011
3.52000000,1.16092972
3.54000000,1.15720007
3.56000000,1.47905894
3.58000000,1.36882446
3.60000000,1.36882446
3.62000000,1.21732086
3.64000000,1.39387346
3.66000000,1.16092281
3.68000000,1.19100240
3.70000000,1.21101120
3.72000000,1.39139280
3.74000000,1.22230080
3.76000000,1.21227120
3.78000000,1.27375920
3.80000000,1.32874560
3.82000000,1.17220320
3.84000000,1.15340400
3.86000000,1.40641200
3.88000000,1.43519040
3.90000000,1.27194480
3.92000000,1.36508400
3.94000000,1.37758320
3.96000000,1.16721360
3.98000000,1.16341513
4.00000000,1.49030434
4.02000000,1.47024546
4.04000000,1.19723300
4.06000000,1.27273100
4.08000000,1.35873008
4.10000000,1.07574531
4.12000000,1.05568691
4.14000000,1.14962878
4.16000000,1.03814840
4.18000000,1.26257040
4.20000000,1.08203760
4.22000000,1.05073920
4.24000000,1.26257040
4.26000000,1.08828720
4.28000000,1.19228842
4.30000000,1.15972931
4.32000000,1.31627513
4.34000000,1.18724831
4.36000000,1.38512303
4.38000000,1.24883846
4.40000000,1.18598828
4.42000000,1.34505416
4.44000000,1.24883846
4.46000000,1.16597905
4.48000000,1.15095952
4.50000000,1.43648175
4.52000000,1.57674801
4.54000000,1.24717522
4.56000000,1.24717522
4.58000000,1.34379413
4.60000000,1.16970873
4.62000000,1.16844870
4.64000000,1.17222878
4.66000000,1.45402133
4.68000000,1.24359674
4.70000000,1.24359674
4.72000000,1.24359674
4.74000000,1.30750534
4.76000000,1.15972931
4.78000000,1.15845319
4.80000000,1.48283017
4.82000000,1.37512451
4.84000000,1.24242026
4.86000000,1.18975184
4.88000000,1.35881366
