# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.905245571, P max: 2.2495246851
Time,Power
0.00000000,1.32520356
0.02000000,1.18330025
0.04000000,1.32520356
0.06000000,1.46504080
0.08000000,1.16823310
0.10000000,1.24089808
0.12000000,1.32505238
0.14000000,1.43248770
0.16000000,1.20835217
0.18000000,1.32667282
0.20000000,1.58150567
0.22000000,1.16199143
0.24000000,1.16199143
0.26000000,1.57649148
0.28000000,1.32477895
0.30000000,1.20333206
0.32000000,1.32477895
0.34000000,1.58777949
0.36000000,1.21837816
0.38000000,1.18582357
0.40000000,1.32375222
0.42000000,1.32079444
0.44000000,1.49892211
0.46000000,1.32718955
0.48000000,1.43881337
0.50000000,1.32718955
0.52000000,1.32718955
0.54000000,1.71054051
0.56000000,1.15830839
0.58000000,1.04310748
0.60000000,1.24846343
0.62000000,1.20336071
0.64000000,1.08689995
0.66000000,1.39131550
0.68000000,1.05068083
0.70000000,1.31748360
0.72000000,1.18216712
0.74000000,1.16336896
0.76000000,1.38887280
0.78000000,1.18223280
0.80000000,1.61804160
0.82000000,1.52036640
0.84000000,1.16721360
0.86000000,1.30077360
0.88000000,1.46527920
0.90000000,1.30077360
0.92000000,1.47026880
0.94000000,1.35757440
0.96000000,1.53659682
0.98000000,1.18592475
1.00000000,1.16213671
1.02000000,1.63678884
1.04000000,1.21097276
1.06000000,1.18217650
1.08000000,1.30171961
1.10000000,1.43890188
1.12000000,1.21095353
1.14000000,1.30171961
1.16000000,1.62171863
1.18000000,1.35869773
1.20000000,1.19591606
1.22000000,1.30694021
1.24000000,1.51402067
1.26000000,1.21969367
1.28000000,1.20845528
1.30000000,1.30541795
1.32000000,1.46638405
1.34000000,1.17211947
1.36000000,1.16458499
1.38000000,1.52400427
1.40000000,1.40628085
1.42000000,1.22969572
1.44000000,1.37619485
1.46000000,1.44999379
1.48000000,1.16200066
1.50000000,1.16326047
1.52000000,1.30178945
1.54000000,1.61528119
1.56000000,1.21960897
1.58000000,1.30094311
1.60000000,1.59029914
1.62000000,1.16326970
1.64000000,1.30094311
1.66000000,1.44618726
1.68000000,1.53759436
1.70000000,1.18446264
1.72000000,1.30635556
1.74000000,1.63902902
1.76000000,1.17442253
1.78000000,1.18193020
1.80000000,1.31822731
1.82000000,1.47367151
1.84000000,1.21820892
1.86000000,1.17684478
1.88000000,1.70770219
1.90000000,1.32704276
1.92000000,1.18939067
1.94000000,1.32704276
1.96000000,1.49861872
1.98000000,1.17056915
2.00000000,1.18432395
2.02000000,1.42470554
2.04000000,1.42470554
2.06000000,1.18429810
2.08000000,1.27695207
2.10000000,1.46477914
2.12000000,1.16177699
2.14000000,1.40966036
2.16000000,1.32877487
2.18000000,1.41467618
2.20000000,1.23561855
2.22000000,1.32877487
2.24000000,1.52360206
2.26000000,1.16299039
2.28000000,1.27443272
2.30000000,1.32944855
2.32000000,1.56109947
2.34000000,1.22808238
2.36000000,1.21553969
2.38000000,1.58481629
2.40000000,1.20173590
2.42000000,1.18299498
2.44000000,1.28062910
2.46000000,1.69756758
2.48000000,1.21054025
2.50000000,1.18303255
2.52000000,1.50974945
2.54000000,1.43463227
2.56000000,1.26312736
2.58000000,1.27814060
2.60000000,1.66747724
2.62000000,1.21803726
2.64000000,1.21179014
2.66000000,1.38833268
2.68000000,1.47468469
2.70000000,1.16424066
2.72000000,1.27316309
2.74000000,1.33543326
2.76000000,1.46847250
2.78000000,1.22311410
2.80000000,1.33516278
2.82000000,1.50227855
2.84000000,1.16426839
2.86000000,1.15678909
2.88000000,1.61874898
2.90000000,1.50982137
2.92000000,1.33474114
2.94000000,1.46724790
2.96000000,1.63005738
2.98000000,1.17559821
3.00000000,1.17181944
3.02000000,1.28699612
3.04000000,1.44726604
3.06000000,1.19310970
3.08000000,1.22318936
3.10000000,1.62006964
3.12000000,1.34239956
3.14000000,1.18313353
3.16000000,1.34098099
3.18000000,1.47112880
3.20000000,1.16311735
3.22000000,1.34098099
3.24000000,1.34098099
3.26000000,1.43864492
3.28000000,1.33781733
3.30000000,1.28586668
3.32000000,1.47996357
3.34000000,1.16065101
3.36000000,1.18953939
3.38000000,1.51758740
3.40000000,1.43872486
3.42000000,1.22461180
3.44000000,1.23086034
3.46000000,1.69419585
3.48000000,1.19208498
3.50000000,1.16578009
3.52000000,1.27971754
3.54000000,1.52890845
3.56000000,1.21337951
3.58000000,1.25596219
3.60000000,1.57903620
3.62000000,1.45506769
3.64000000,1.20088187
3.66000000,1.28355810
3.68000000,1.75439765
3.70000000,1.20211994
3.72000000,1.33486011
3.74000000,1.33486011
3.76000000,1.43504517
3.78000000,1.16331587
3.80000000,1.26602068
3.82000000,1.67794394
3.84000000,1.56027650
3.86000000,1.23091652
3.88000000,1.21962833
3.90000000,1.44503935
3.92000000,1.16076849
3.94000000,1.15703935
3.96000000,1.50137950
3.98000000,1.41122517
4.00000000,1.20959998
4.02000000,1.33286297
4.04000000,1.44131021
4.06000000,1.16455726
4.08000000,1.22215771
4.10000000,1.32899321
4.12000000,1.44757052
4.14000000,1.23218614
4.16000000,1.19333229
4.18000000,1.48264482
4.20000000,1.47009669
4.22000000,1.14827996
4.24000000,1.32707823
4.26000000,1.47133318
4.28000000,1.17829614
4.30000000,1.46755368
4.32000000,1.32589812
4.34000000,1.48383072
4.36000000,1.21080456
4.38000000,1.32554578
4.40000000,1.32554578
4.42000000,1.16197529
4.44000000,1.18701982
4.46000000,1.24213815
4.48000000,1.56015575
4.50000000,1.18202169
4.52000000,1.16196607
4.54000000,1.48880210
4.56000000,1.26838179
4.58000000,1.19450917
4.60000000,1.32139270
4.62000000,1.56518243
4.64000000,1.23210056
4.66000000,1.21328560
4.68000000,1.31895301
4.70000000,1.49123574
4.72000000,1.31895301
4.74000000,1.31895301
4.76000000,1.67030783
4.78000000,1.54886938
4.80000000,1.75306880
4.82000000,0.90524557
4.84000000,1.00023667
4.86000000,1.57651651
4.88000000,1.16706770
4.90000000,1.31406612
4.92000000,1.49765037
4.94000000,1.67045037
4.96000000,1.21211004
4.98000000,1.15829000
5.00000000,1.57025523
5.02000000,1.49889832
5.04000000,1.18958424
5.06000000,1.31681687
5.08000000,1.31681687
5.10000000,1.22338843
5.12000000,1.46003349
5.14000000,1.31681687
5.16000000,1.45129969
5.18000000,1.17332583
5.20000000,1.16077770
5.22000000,1.59222643
5.24000000,1.37994164
5.26000000,1.24591406
5.28000000,1.31827826
5.30000000,1.50513514
5.32000000,1.16200988
5.34000000,1.16578935
5.36000000,1.32041573
5.38000000,1.42498265
5.40000000,1.24220471
5.42000000,1.32041573
5.44000000,1.32041573
5.46000000,1.16710475
5.48000000,0.99676864
5.50000000,1.17587353
5.52000000,1.32212070
5.54000000,1.38748340
5.56000000,1.23722425
5.58000000,1.19217014
5.60000000,1.31906752
5.62000000,1.16460347
5.64000000,1.19217014
5.66000000,1.31861327
5.68000000,1.52655542
5.70000000,1.20219389
5.72000000,1.17593653
5.74000000,1.73318722
5.76000000,1.41643036
5.78000000,1.18973296
5.80000000,1.07451947
5.82000000,1.07577946
5.84000000,1.08701857
5.86000000,1.47032423
5.88000000,1.11715811
5.90000000,1.29855455
5.92000000,1.49159383
5.94000000,1.29855455
5.96000000,1.15975692
5.98000000,1.51040572
6.00000000,1.57804561
6.02000000,1.20229646
6.04000000,1.20607664
6.06000000,1.48169656
6.08000000,1.16606233
6.10000000,1.24368557
6.12000000,1.29751779
6.14000000,1.51551811
6.16000000,1.18110871
6.18000000,1.21866103
6.20000000,1.53808258
6.22000000,1.21493100
6.24000000,1.14854656
6.26000000,1.29721385
6.28000000,1.59073148
6.30000000,1.23123161
6.32000000,1.23375194
6.34000000,1.58569082
6.36000000,1.41666081
6.38000000,1.21623940
6.40000000,1.29447230
6.42000000,1.64082430
6.44000000,1.19244692
6.46000000,1.29537964
6.48000000,1.45043404
6.50000000,1.35148353
6.52000000,1.16986422
6.54000000,1.29537964
6.56000000,1.50303593
6.58000000,1.40282681
6.60000000,1.30639822
6.62000000,1.48302435
6.64000000,1.53186873
6.66000000,1.22244146
6.68000000,1.30883700
6.70000000,1.63077885
6.72000000,1.39906338
6.74000000,1.19360934
6.76000000,1.47416286
6.78000000,1.53298421
6.80000000,1.21614530
6.82000000,1.19356435
6.84000000,1.47038257
6.86000000,1.39146734
6.88000000,1.16848579
6.90000000,1.18980614
6.92000000,1.57931820
6.94000000,1.40648734
6.96000000,1.25737920
6.98000000,1.33454160
7.00000000,1.55917440
7.02000000,1.16595360
7.04000000,1.25107920
7.06000000,1.33618359
7.08000000,1.49655384
7.10000000,1.25609926
7.12000000,1.18347401
7.14000000,1.33618359
7.16000000,1.16590733
7.18000000,1.16716728
7.20000000,1.33353108
7.22000000,1.54661382
7.24000000,1.24478020
7.26000000,1.26856806
7.28000000,1.60794819
7.30000000,1.17714609
7.32000000,1.19095514
7.34000000,1.33206954
7.36000000,1.68184501
7.38000000,1.20850323
7.40000000,1.22478192
7.42000000,1.52530758
7.44000000,1.39008867
7.46000000,1.18593416
7.48000000,1.33133470
7.50000000,1.33133470
7.52000000,1.22353167
7.54000000,1.22852115
7.56000000,1.32798960
7.58000000,1.49783760
7.60000000,1.18470240
7.62000000,1.32798960
7.64000000,1.49909760
7.66000000,1.45274113
7.68000000,1.32613532
7.70000000,1.32613532
7.72000000,1.50661916
7.74000000,1.16092281
7.76000000,1.16596979
7.78000000,1.76336929
7.80000000,1.24862694
7.82000000,1.24862694
7.84000000,1.32236317
7.86000000,1.57672611
7.88000000,1.16722286
7.90000000,1.17221250
7.92000000,1.31968407
7.94000000,1.43021215
7.96000000,1.16722981
7.98000000,1.23234752
8.00000000,1.66191268
8.02000000,1.31591188
8.04000000,1.19348858
8.06000000,1.18224218
8.08000000,1.53428969
8.10000000,1.16843247
8.12000000,1.22357051
8.14000000,1.94446561
8.16000000,1.57421546
8.18000000,1.20351832
8.20000000,1.31621428
8.22000000,1.36883261
8.24000000,1.16969945
8.26000000,1.15972931
8.28000000,1.31899679
8.30000000,1.50784971
8.32000000,1.19228842
8.34000000,1.31899679
8.36000000,1.60674533
8.38000000,1.16472826
8.40000000,1.31885605
8.42000000,1.31885605
8.44000000,1.48286253
8.46000000,1.20351115
8.48000000,1.20603117
8.50000000,1.76708842
8.52000000,1.23984984
8.54000000,1.19600149
8.56000000,1.31918859
8.58000000,1.46272437
8.60000000,1.23855051
8.62000000,1.31918859
8.64000000,1.59673478
8.66000000,1.44763659
8.68000000,1.17085956
8.70000000,1.32245193
8.72000000,1.65799116
8.74000000,1.32245193
8.76000000,1.25728939
8.78000000,1.38751368
8.80000000,1.46013490
8.82000000,1.18214835
8.84000000,1.27356742
8.86000000,1.58788977
8.88000000,1.22095358
8.90000000,1.19716648
8.92000000,1.32618127
8.94000000,1.68303817
8.96000000,1.16334357
8.98000000,1.18713053
9.00000000,1.53904650
9.02000000,1.49646179
9.04000000,1.20844808
9.06000000,1.22598592
9.08000000,1.52276856
9.10000000,1.25975131
9.12000000,1.14706563
9.14000000,1.33091060
9.16000000,1.43637060
9.18000000,1.16961822
9.20000000,1.25730935
9.22000000,1.54910913
9.24000000,1.42387209
9.26000000,1.21720734
9.28000000,1.32802749
9.30000000,1.54150367
9.32000000,1.32802749
9.34000000,1.16711402
9.36000000,1.32906470
9.38000000,1.50015538
9.40000000,1.20841931
9.42000000,1.32906470
9.44000000,1.64917310
9.46000000,1.16458499
9.48000000,1.19089133
9.50000000,1.33043592
9.52000000,1.62413973
9.54000000,1.21089827
9.56000000,1.33206972
9.58000000,1.54403571
9.60000000,1.43381944
9.62000000,1.19337965
9.64000000,1.33206972
9.66000000,1.60419327
9.68000000,1.20469467
9.70000000,1.33068767
9.72000000,1.33068767
9.74000000,1.40507394
9.76000000,1.16338743
9.78000000,1.32753372
9.80000000,1.61424794
9.82000000,1.42137479
9.84000000,1.24105075
9.86000000,1.32669801
9.88000000,1.47774321
9.90000000,1.17217529
9.92000000,1.16592584
9.94000000,1.62551250
9.96000000,1.32775639
9.98000000,1.22227170
10.00000000,1.32775639
10.02000000,1.52159017
10.04000000,1.32775639
10.06000000,1.32756533
10.08000000,1.32756533
10.10000000,1.43017810
10.12000000,1.18594358
10.14000000,1.26108878
10.16000000,1.51535275
10.18000000,1.26486872
10.20000000,1.19224348
10.22000000,1.33063968
10.24000000,1.46898548
10.26000000,1.16596285
10.28000000,1.18723182
10.30000000,1.46025079
10.32000000,1.48781981
10.34000000,1.18849183
10.36000000,1.33043784
10.38000000,1.62185700
10.40000000,1.15846928
10.42000000,1.19102839
10.44000000,1.24611680
10.46000000,1.41647251
10.48000000,1.32857300
10.50000000,1.15594923
10.52000000,1.66318590
10.54000000,1.15846928
10.56000000,1.17221948
10.58000000,1.32962087
10.60000000,1.52038752
10.62000000,1.21732811
10.64000000,1.19101894
10.66000000,1.44775149
10.68000000,1.41141280
10.70000000,1.20104153
10.72000000,1.32598412
10.74000000,1.65439313
10.76000000,1.32546960
10.78000000,1.20854160
10.80000000,1.32546960
10.82000000,1.46401920
10.84000000,1.16968320
10.86000000,1.16088596
10.88000000,1.52783962
10.90000000,1.07072251
10.92000000,1.08075187
10.94000000,1.38631979
10.96000000,1.17847852
10.98000000,1.31229344
11.00000000,1.16345899
11.02000000,1.31229344
11.04000000,1.23986706
11.06000000,1.49537397
11.08000000,1.23988674
11.10000000,1.30843332
11.12000000,1.75963113
11.14000000,1.24782739
11.16000000,1.31119599
11.18000000,1.31119599
11.20000000,1.72951267
11.22000000,1.20223206
11.24000000,1.31119599
11.26000000,1.60548830
11.28000000,1.65447128
11.30000000,1.63798822
11.32000000,2.18392027
11.34000000,1.65056356
11.36000000,1.68295601
11.38000000,1.92481947
11.40000000,2.24952469
11.42000000,1.78951987
11.44000000,1.97807190
11.46000000,1.89061682
11.48000000,1.52264801
11.50000000,1.51918656
11.52000000,1.58458976
11.54000000,1.42710000
11.56000000,1.99183125
11.58000000,1.66461701
11.60000000,0.97025440
11.62000000,1.77696160
11.64000000,1.02292420
11.66000000,1.37073079
11.68000000,1.48104891
11.70000000,1.48104891
11.72000000,1.48104891
11.74000000,1.48104891
11.76000000,1.49682184
11.78000000,1.39769289
11.80000000,1.42902067
11.82000000,1.57567097
11.84000000,1.64967716
11.86000000,1.58690825
11.88000000,1.59122597
11.90000000,1.44109986
11.92000000,1.50866759
11.94000000,1.34123964
11.96000000,1.53234714
11.98000000,1.68831071
12.00000000,1.39000264
12.02000000,1.42384855
12.04000000,1.46394914
12.06000000,1.54899835
12.08000000,1.34104289
12.10000000,1.44164221
12.12000000,1.46759158
12.14000000,1.54899835
12.16000000,1.56082650
12.18000000,1.56082650
12.20000000,1.36230607
12.22000000,1.56082650
12.24000000,1.56082650
12.26000000,1.40618635
12.28000000,1.33476741
12.30000000,1.56546671
12.32000000,1.13549043
12.34000000,1.34228254
12.36000000,1.53548763
12.38000000,1.47836189
12.40000000,1.53241787
12.42000000,1.44831163
12.44000000,1.66254578
12.46000000,1.49068145
12.48000000,1.34727208
12.50000000,1.49068145
12.52000000,1.49068145
12.54000000,1.35352042
12.56000000,1.62597843
12.58000000,1.46447874
12.60000000,1.46447874
12.62000000,1.38065607
12.64000000,1.56588201
12.66000000,1.40313992
12.68000000,1.45431888
12.70000000,1.67349181
12.72000000,1.60840989
12.74000000,1.54584662
12.76000000,1.36805858
12.78000000,1.58334936
12.80000000,1.45762035
12.82000000,1.56959775
12.84000000,1.36055312
12.86000000,1.45774832
12.88000000,1.34929869
12.90000000,1.38682538
12.92000000,1.63843053
12.94000000,1.51824437
12.96000000,1.32298381
12.98000000,1.58203980
13.00000000,1.68343582
13.02000000,1.34298094
13.04000000,1.36675586
13.06000000,1.65837859
13.08000000,1.59707842
13.10000000,1.45871230
13.12000000,1.38426559
13.14000000,1.54449224
13.16000000,1.34422152
13.18000000,1.33797565
13.20000000,1.40431281
13.22000000,1.60831091
13.24000000,1.52948201
13.26000000,1.36050991
13.28000000,1.45777553
13.30000000,1.34801800
13.32000000,1.45777553
13.34000000,1.45777553
13.36000000,1.45777553
13.38000000,1.51696099
13.40000000,1.37431145
13.42000000,1.45777553
13.44000000,1.45777553
13.46000000,1.33928542
13.48000000,1.51825642
13.50000000,1.57331280
13.52000000,1.45670208
13.54000000,1.35681480
13.56000000,1.45952291
13.58000000,1.34427223
13.60000000,1.36432020
13.62000000,1.67471123
13.64000000,1.59084219
13.66000000,1.57333779
13.68000000,1.36182324
13.70000000,1.66723231
13.72000000,1.45879050
13.74000000,1.45879050
13.76000000,1.39937305
13.78000000,1.51956398
13.80000000,1.39816409
13.82000000,1.45961964
13.84000000,1.53835326
13.86000000,1.45853459
13.88000000,1.45853459
13.90000000,1.35562010
13.92000000,1.45853459
13.94000000,1.34060858
13.96000000,1.45946852
13.98000000,1.51331768
14.00000000,1.63345824
14.02000000,1.40566973
14.04000000,1.45946852
14.06000000,1.45800769
14.08000000,1.45800769
14.10000000,1.45800769
14.12000000,1.45800769
14.14000000,1.45800769
14.16000000,1.59593006
14.18000000,1.46007300
14.20000000,1.66851813
14.22000000,1.46007300
14.24000000,1.46007300
14.26000000,1.45347408
14.28000000,1.45347408
14.30000000,1.63597691
14.32000000,1.45347408
14.34000000,1.45347408
14.36000000,1.64346950
14.38000000,1.45527597
14.40000000,1.45527597
14.42000000,1.35306915
14.44000000,1.63097699
14.46000000,1.37185828
14.48000000,1.33553935
14.50000000,1.63596392
14.52000000,1.45421814
14.54000000,1.35558780
14.56000000,1.45561702
14.58000000,1.53706952
14.60000000,1.54205640
14.62000000,1.45561702
14.64000000,1.58210262
14.66000000,1.45655097
14.68000000,1.36557950
14.70000000,1.45655097
14.72000000,1.53578581
14.74000000,1.37681241
14.76000000,1.45617524
14.78000000,1.55203125
14.80000000,1.34928798
14.82000000,1.51571376
14.84000000,1.36555781
14.86000000,1.53823416
14.88000000,1.45582966
14.90000000,1.45582966
14.92000000,1.68465830
14.94000000,1.39926471
14.96000000,1.55575039
14.98000000,1.45667437
15.00000000,1.45667437
15.02000000,1.45667437
15.04000000,1.38051629
15.06000000,1.64589666
15.08000000,1.45595063
15.10000000,1.45595063
15.12000000,1.35923985
15.14000000,1.39429751
15.16000000,1.45674089
15.18000000,1.36053151
15.20000000,1.53703290
15.22000000,1.35801294
15.24000000,1.38808467
15.26000000,1.63340636
15.28000000,1.46184001
15.30000000,1.36432020
15.32000000,1.46184001
15.34000000,1.58459608
15.36000000,1.62590096
15.38000000,1.37555311
15.40000000,1.60963087
15.42000000,1.46244447
15.44000000,1.54077262
15.46000000,1.35926143
15.48000000,1.46438571
15.50000000,1.39557893
15.52000000,1.58708947
15.54000000,1.61459203
15.56000000,1.40434348
15.58000000,1.38182764
15.60000000,1.55953653
15.62000000,1.34052342
15.64000000,1.46232050
15.66000000,1.46221583
15.68000000,1.46221583
15.70000000,1.53329157
15.72000000,1.46221583
15.74000000,1.46221583
15.76000000,1.46160741
15.78000000,1.33683052
15.80000000,1.53087194
15.82000000,1.63222483
15.84000000,1.39818630
15.86000000,1.46147660
15.88000000,1.89080346
15.90000000,1.52212798
15.92000000,1.17786591
15.94000000,1.72334564
15.96000000,1.16801518
15.98000000,1.27321363
16.00000000,1.23064050
16.02000000,1.04533404
16.04000000,1.05536013
16.06000000,1.10685356
16.08000000,1.16943720
16.10000000,1.38107268
16.12000000,1.28462736
16.14000000,1.17321640
16.16000000,1.18577651
16.18000000,1.41339762
16.20000000,1.16325124
16.22000000,1.15574281
16.24000000,1.30475225
16.26000000,1.16711402
16.28000000,1.28730776
16.30000000,1.19966964
16.32000000,1.30358557
16.34000000,1.16459423
16.36000000,1.16210903
16.38000000,1.48772534
16.40000000,1.37276933
16.42000000,1.15087046
16.44000000,1.21220385
16.46000000,1.45150128
16.48000000,1.20226784
16.50000000,1.18598828
16.52000000,1.35533598
16.54000000,1.41143240
16.56000000,1.21364437
16.58000000,1.23617527
16.60000000,1.46037537
16.62000000,1.24620580
16.64000000,1.15104173
16.66000000,1.18864747
16.68000000,1.48927481
16.70000000,1.16737571
16.72000000,1.16107484
16.74000000,1.45545172
16.76000000,1.52193133
16.78000000,1.22254575
16.80000000,1.17868896
16.82000000,1.39540198
16.84000000,1.16865735
16.86000000,1.16499171
16.88000000,1.38418700
16.90000000,1.35041035
16.92000000,1.19881876
16.94000000,1.15621986
16.96000000,1.31648928
16.98000000,1.16490851
17.00000000,1.32773055
17.02000000,1.18119072
17.04000000,1.42542378
17.06000000,1.26400593
17.08000000,1.15860490
17.10000000,1.47047300
17.12000000,1.54562984
17.14000000,1.18239700
17.16000000,1.18860030
17.18000000,1.27312949
17.20000000,1.27312949
17.22000000,1.27312949
17.24000000,1.18481993
17.26000000,1.27308919
17.28000000,1.17358893
17.30000000,1.17731893
17.32000000,1.36270999
17.34000000,1.17232879
17.36000000,1.27435944
17.38000000,1.20490024
17.40000000,1.27435944
17.42000000,1.16482763
17.44000000,1.15857731
17.46000000,1.45915868
17.48000000,1.40028424
17.50000000,1.19739928
17.52000000,1.27235330
17.54000000,1.37649251
17.56000000,1.17487703
17.58000000,1.17613720
17.60000000,1.27185933
17.62000000,1.32392935
17.64000000,1.17235670
17.66000000,1.21495028
17.68000000,1.53185657
17.70000000,1.38028393
17.72000000,1.19362829
17.74000000,1.18364778
17.76000000,1.26995396
17.78000000,1.17110583
17.80000000,1.16737571
