# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0392866704, P max: 1.6993566744
Time,Power
0.00000000,1.15583455
0.02000000,1.18461073
0.04000000,1.47514424
0.06000000,1.17710171
0.08000000,1.18461073
0.10000000,1.61793887
0.12000000,1.27357753
0.14000000,1.19339622
0.16000000,1.45888657
0.18000000,1.27357753
0.20000000,1.19221509
0.22000000,1.18843524
0.24000000,1.27259990
0.26000000,1.27259990
0.28000000,1.33872207
0.30000000,1.34370081
0.32000000,1.16715802
0.34000000,1.17839668
0.36000000,1.39757585
0.38000000,1.48647721
0.40000000,1.17465794
0.42000000,1.34872987
0.44000000,1.39252503
0.46000000,1.16961822
0.48000000,1.05944994
0.50000000,1.41003248
0.52000000,1.03936917
0.54000000,1.20844808
0.56000000,1.13456740
0.58000000,1.34744053
0.60000000,1.51647807
0.62000000,1.17710871
0.64000000,1.18713760
0.66000000,1.38625377
0.68000000,1.17211947
0.70000000,1.17335377
0.72000000,1.53025328
0.74000000,1.18711169
0.76000000,1.32111279
0.78000000,1.18212255
0.80000000,1.25958013
0.82000000,1.19089133
0.84000000,1.18459192
0.86000000,1.47890047
0.88000000,1.19336070
0.90000000,1.26121280
0.92000000,1.35993876
0.94000000,1.47766405
0.96000000,1.26121280
0.98000000,1.18587063
1.00000000,1.47145873
1.02000000,1.26366942
1.04000000,1.26366942
1.06000000,1.44016182
1.08000000,1.18590593
1.10000000,1.17090603
1.12000000,1.26469745
1.14000000,1.52157809
1.16000000,1.19222455
1.18000000,1.26469745
1.20000000,1.38630879
1.22000000,1.26661259
1.24000000,1.16591659
1.26000000,1.48776077
1.28000000,1.17841539
1.30000000,1.19849298
1.32000000,1.20973200
1.34000000,1.51782231
1.36000000,1.26688469
1.38000000,1.18347401
1.40000000,1.37134448
1.42000000,1.17095249
1.44000000,1.16843247
1.46000000,1.44523147
1.48000000,1.26681405
1.50000000,1.26432163
1.52000000,1.26432163
1.54000000,1.33004518
1.56000000,1.17223809
1.58000000,1.16472826
1.60000000,1.40264313
1.62000000,1.27694453
1.64000000,1.27694453
1.66000000,1.55167711
1.68000000,1.39639348
1.70000000,1.20353742
1.72000000,1.27591397
1.74000000,1.27591397
1.76000000,1.16598830
1.78000000,1.22359722
1.80000000,1.39642396
1.82000000,1.19350752
1.84000000,1.20605749
1.86000000,1.18473766
1.88000000,1.32626507
1.90000000,1.19476756
1.92000000,1.18473766
1.94000000,1.41522372
1.96000000,1.20479746
1.98000000,1.21855707
2.00000000,1.44151042
2.02000000,1.39766181
2.04000000,1.19726863
2.06000000,1.19600861
2.08000000,1.27130726
2.10000000,1.33501374
2.12000000,1.20477833
2.14000000,1.37513270
2.16000000,1.16969945
2.18000000,1.17599953
2.20000000,1.36257481
2.22000000,1.52536811
2.24000000,1.21480084
2.26000000,1.27034208
2.28000000,1.27034208
2.30000000,1.38012237
2.32000000,1.16470978
2.34000000,1.27050085
2.36000000,1.17095946
2.38000000,1.18849891
2.40000000,1.51661950
2.42000000,1.26990612
2.44000000,1.21607774
2.46000000,1.18351863
2.48000000,1.26990612
2.50000000,1.26877967
2.52000000,1.16722286
2.54000000,1.36756445
2.56000000,1.26877967
2.58000000,1.19852151
2.60000000,1.50406333
2.62000000,1.26829587
2.64000000,1.18972352
2.66000000,1.18347401
2.68000000,1.32373499
2.70000000,1.19596352
2.72000000,1.18719413
2.74000000,1.39135967
2.76000000,1.20473292
2.78000000,1.19722349
2.80000000,1.18094468
2.82000000,1.43641620
2.84000000,1.26909218
2.86000000,1.26909218
2.88000000,1.56664670
2.90000000,1.28268917
2.92000000,1.34240891
2.94000000,1.46013490
2.96000000,1.59040959
2.98000000,1.28268917
3.00000000,1.29640775
3.02000000,1.62910167
3.04000000,1.29640775
3.06000000,1.29640775
3.08000000,1.52640094
3.10000000,1.30847194
3.12000000,1.30847194
3.14000000,1.51055682
3.16000000,1.57513476
3.18000000,1.61897388
3.20000000,1.41605658
3.22000000,1.50367835
3.24000000,1.32213651
3.26000000,1.32213651
3.28000000,1.52554071
3.30000000,1.33220084
3.32000000,1.33220084
3.34000000,1.54360372
3.36000000,1.63998448
3.38000000,1.33220084
3.40000000,1.34380411
3.42000000,1.44587156
3.44000000,1.34380411
3.46000000,1.28813554
3.48000000,1.52471438
3.50000000,1.35666069
3.52000000,1.35666069
3.54000000,1.35666069
3.56000000,1.42330986
3.58000000,1.35666069
3.60000000,1.31185444
3.62000000,1.44081828
3.64000000,1.36953553
3.66000000,1.36953553
3.68000000,1.53215087
3.70000000,1.46203072
3.72000000,1.27927059
3.74000000,1.31559089
3.76000000,1.45200612
3.78000000,1.38037301
3.80000000,1.32677445
3.82000000,1.66351795
3.84000000,1.39160450
3.86000000,1.31675022
3.88000000,1.56962268
3.90000000,1.39568471
3.92000000,1.32430617
3.94000000,1.39568471
3.96000000,1.39568471
3.98000000,1.39568471
4.00000000,1.28302069
4.02000000,1.55337687
4.04000000,1.28800769
4.06000000,1.29425404
4.08000000,1.55337687
4.10000000,1.58594038
4.12000000,1.39265343
4.14000000,1.39265343
4.16000000,1.39265343
4.18000000,1.29175330
4.20000000,1.29555197
4.22000000,1.45952357
4.24000000,1.39292742
4.26000000,1.39292742
4.28000000,1.53589252
4.30000000,1.64360979
4.32000000,1.30310962
4.34000000,1.33691279
4.36000000,1.52844728
4.38000000,1.29560340
4.40000000,1.30313031
