# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9805960192000001, P max: 1.7620431464999997
Time,Power
0.00000000,1.19922210
0.02000000,1.48719398
0.04000000,1.26688574
0.06000000,1.29817123
0.08000000,1.36426874
0.10000000,1.21801792
0.12000000,1.45468367
0.14000000,1.15799349
0.16000000,1.22807263
0.18000000,1.45720269
0.20000000,1.19930542
0.22000000,1.22937118
0.24000000,1.44344430
0.26000000,1.19556486
0.28000000,1.15928982
0.30000000,1.34252915
0.32000000,1.16559965
0.34000000,1.16056118
0.36000000,1.53869835
0.38000000,1.16685927
0.40000000,1.22444898
0.42000000,1.31816646
0.44000000,1.18438977
0.46000000,1.18438977
0.48000000,1.08800001
0.50000000,1.24324144
0.52000000,1.36727683
0.54000000,1.23580984
0.56000000,1.22457292
0.58000000,1.46246317
0.60000000,1.20078893
0.62000000,1.29298103
0.64000000,1.38615750
0.66000000,1.23215680
0.68000000,1.29298103
0.70000000,1.21960897
0.72000000,1.27963746
0.74000000,1.47890047
0.76000000,1.16831424
0.78000000,1.19336070
0.80000000,1.46761193
0.82000000,1.19722349
0.84000000,1.26611865
0.86000000,1.43641620
0.88000000,1.19344358
0.90000000,1.15715645
0.92000000,1.36001162
0.94000000,1.17091532
0.96000000,1.18971407
0.98000000,1.41262797
1.00000000,1.17716477
1.02000000,1.20345384
1.04000000,1.33494222
1.06000000,1.18969519
1.08000000,1.18465539
1.10000000,1.48149961
1.12000000,1.20098434
1.14000000,1.25894204
1.16000000,1.47519986
1.18000000,1.25894204
1.20000000,1.38130838
1.22000000,1.16590733
1.24000000,1.16963678
1.26000000,1.36502983
1.28000000,1.19095514
1.30000000,1.25788368
1.32000000,1.46639569
1.34000000,1.25825691
1.36000000,1.16335973
1.38000000,1.39377390
1.40000000,1.16713949
1.42000000,1.16714875
1.44000000,1.52280180
1.46000000,1.25735974
1.48000000,1.19718549
1.50000000,1.35870851
1.52000000,1.16834901
1.54000000,1.31989219
1.56000000,1.35244852
1.58000000,1.15963037
1.60000000,1.26027278
1.62000000,1.53904650
1.64000000,1.25990250
1.66000000,1.18587063
1.68000000,1.25990250
1.70000000,1.20592828
1.72000000,1.18212255
1.74000000,1.26194871
1.76000000,1.26194871
1.78000000,1.47512083
1.80000000,1.26194871
1.82000000,1.18836214
1.84000000,1.35365741
1.86000000,1.16457574
1.88000000,1.19587098
1.90000000,1.40500981
1.92000000,1.26207705
1.94000000,1.26207705
1.96000000,1.35747743
1.98000000,1.14833237
2.00000000,1.18839751
2.02000000,1.32990268
2.04000000,1.13204759
2.06000000,1.26554686
2.08000000,1.46763522
2.10000000,1.26554686
2.12000000,1.19968630
2.14000000,1.49269097
2.16000000,1.18088844
2.18000000,1.18839751
2.20000000,1.53154660
2.22000000,1.19339622
2.24000000,1.41756119
2.26000000,1.34367948
2.28000000,1.17711806
2.30000000,1.41509175
2.32000000,1.16836756
2.34000000,1.17592720
2.36000000,1.68307825
2.38000000,1.21221347
2.40000000,1.18343644
2.42000000,1.41004088
2.44000000,1.16959965
2.46000000,1.19464666
2.48000000,1.32492136
2.50000000,1.16713023
2.52000000,1.26929635
2.54000000,1.34115947
2.56000000,1.26929635
2.58000000,1.26929635
2.60000000,1.46387106
2.62000000,1.19964107
2.64000000,1.19087243
2.66000000,1.50891212
2.68000000,1.26621221
2.70000000,1.49515442
2.72000000,1.26657502
2.74000000,1.20962878
2.76000000,1.33611998
2.78000000,1.16583562
2.80000000,1.19461110
2.82000000,1.35616639
2.84000000,1.21213891
2.86000000,1.09567722
2.88000000,1.14576935
2.90000000,1.06690196
2.92000000,1.13205433
2.94000000,1.06568227
2.96000000,1.17589920
2.98000000,1.07571116
3.00000000,1.25849890
3.02000000,1.11460485
3.04000000,1.24327707
3.06000000,1.11586486
3.08000000,1.31373683
3.10000000,1.33001616
3.12000000,1.12211451
3.14000000,1.24131145
3.16000000,1.44775149
3.18000000,1.35506515
3.20000000,1.24131145
3.22000000,1.35757440
3.24000000,1.16343360
3.26000000,1.18596240
3.28000000,1.49909760
3.30000000,1.24346880
3.32000000,1.47776667
3.34000000,1.17718346
3.36000000,1.17718346
3.38000000,1.31996552
3.40000000,1.16720434
3.42000000,1.17473252
3.44000000,1.36882446
3.46000000,1.19101185
3.48000000,1.24231946
3.50000000,1.53665780
3.52000000,1.13340420
3.54000000,1.18723182
3.56000000,1.32124649
3.58000000,1.17347251
3.60000000,1.31998648
3.62000000,1.49406946
3.64000000,1.38636380
3.66000000,1.38263417
3.68000000,1.65938277
3.70000000,1.24720830
3.72000000,1.19100240
3.74000000,1.56668400
3.76000000,1.25717760
3.78000000,1.25717760
3.80000000,1.25717760
3.82000000,1.25720504
3.84000000,1.48658044
3.86000000,1.16844870
3.88000000,1.19349805
3.90000000,1.46531118
3.92000000,1.26049400
3.94000000,1.20475204
3.96000000,1.43018945
3.98000000,1.18469300
4.00000000,1.26049400
4.02000000,1.32866124
4.04000000,1.17086885
4.06000000,1.18588710
4.08000000,1.38878462
4.10000000,1.27534142
4.12000000,1.21089827
4.14000000,1.28160287
4.16000000,1.19714035
4.18000000,1.18963145
4.20000000,1.28160287
4.22000000,1.22092693
4.24000000,1.27736967
4.26000000,1.52647364
4.28000000,1.21840717
4.30000000,1.39373242
4.32000000,1.18214132
4.34000000,1.15835436
4.36000000,1.42384101
4.38000000,1.20592828
4.40000000,1.21721700
4.42000000,1.39500337
4.44000000,1.20213903
4.46000000,1.16207445
4.48000000,1.27929484
4.50000000,1.16711402
4.52000000,1.15711053
4.54000000,1.37124653
4.56000000,1.13831252
4.58000000,1.28194340
4.60000000,1.28194340
4.62000000,1.35873008
4.64000000,1.18843524
4.66000000,1.27834527
4.68000000,1.27834527
4.70000000,1.27834527
4.72000000,1.47900318
4.74000000,1.26591706
4.76000000,1.42391730
