# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.1678598531, P max: 1.8474508071999998
Time,Power
0.00000000,1.19826944
0.02000000,1.36356964
0.04000000,1.30768646
0.06000000,1.30768646
0.08000000,1.30768646
0.10000000,1.30768646
0.12000000,1.30828076
0.14000000,1.30828076
0.16000000,1.30828076
0.18000000,1.30828076
0.20000000,1.30828076
0.22000000,1.41989506
0.24000000,1.30777686
0.26000000,1.30777686
0.28000000,1.30777686
0.30000000,1.30777686
0.32000000,1.30774723
0.34000000,1.30774723
0.36000000,1.30774723
0.38000000,1.30774723
0.40000000,1.30774723
0.42000000,1.30817998
0.44000000,1.30817998
0.46000000,1.30817998
0.48000000,1.30817998
0.50000000,1.30817998
0.52000000,1.30828076
0.54000000,1.30828076
0.56000000,1.30828076
0.58000000,1.30828076
0.60000000,1.30828076
0.62000000,1.30837116
0.64000000,1.30837116
0.66000000,1.30837116
0.68000000,1.30837116
0.70000000,1.30837116
0.72000000,1.30881428
0.74000000,1.30881428
0.76000000,1.30881428
0.78000000,1.30881428
0.80000000,1.30881428
0.82000000,1.30911661
0.84000000,1.30911661
0.86000000,1.30911661
0.88000000,1.30911661
0.90000000,1.17573587
0.92000000,1.17447614
0.94000000,1.61019328
0.96000000,1.30936856
0.98000000,1.30936856
1.00000000,1.30936856
1.02000000,1.30862311
1.04000000,1.43867918
1.06000000,1.30862311
1.08000000,1.30862311
1.10000000,1.30862311
1.12000000,1.31221992
1.14000000,1.31221992
1.16000000,1.31221992
1.18000000,1.31221992
1.20000000,1.31221992
1.22000000,1.31236067
1.24000000,1.31236067
1.26000000,1.31236067
1.28000000,1.31236067
1.30000000,1.31236067
1.32000000,1.31241106
1.34000000,1.31241106
1.36000000,1.31241106
1.38000000,1.31241106
1.40000000,1.31241106
1.42000000,1.31223034
1.44000000,1.31223034
1.46000000,1.31223034
1.48000000,1.31223034
1.50000000,1.31223034
1.52000000,1.31223034
1.54000000,1.31223034
1.56000000,1.31223034
1.58000000,1.31223034
1.60000000,1.31223034
1.62000000,1.31223034
1.64000000,1.31223034
1.66000000,1.31223034
1.68000000,1.31223034
1.70000000,1.31223034
1.72000000,1.31216953
1.74000000,1.31216953
1.76000000,1.31216953
1.78000000,1.31216953
1.80000000,1.31216953
1.82000000,1.18442503
1.84000000,1.18321571
1.86000000,1.49244810
1.88000000,1.31190718
1.90000000,1.31190718
1.92000000,1.31028597
1.94000000,1.31028597
1.96000000,1.44366777
1.98000000,1.31028597
2.00000000,1.31028597
2.02000000,1.31115135
2.04000000,1.31115135
2.06000000,1.31115135
2.08000000,1.31115135
2.10000000,1.31115135
2.12000000,1.31100019
2.14000000,1.31100019
2.16000000,1.31100019
2.18000000,1.31100019
2.20000000,1.31100019
2.22000000,1.31072744
2.24000000,1.31072744
2.26000000,1.31072744
2.28000000,1.31072744
2.30000000,1.31072744
2.32000000,1.53003769
2.34000000,1.31115135
2.36000000,1.31115135
2.38000000,1.31115135
2.40000000,1.31115135
2.42000000,1.31268384
2.44000000,1.31268384
2.46000000,1.31268384
2.48000000,1.31268384
2.50000000,1.31268384
2.52000000,1.31242318
2.54000000,1.31242318
2.56000000,1.31242318
2.58000000,1.43119382
2.60000000,1.31242318
2.62000000,1.31319988
2.64000000,1.31319988
2.66000000,1.31319988
2.68000000,1.41992887
2.70000000,1.31319988
2.72000000,1.31301656
2.74000000,1.16949986
2.76000000,1.18829611
2.78000000,1.47628696
2.80000000,1.31301656
2.82000000,1.31124407
2.84000000,1.31124407
2.86000000,1.31124407
2.88000000,1.37494171
2.90000000,1.31124407
2.92000000,1.31318858
2.94000000,1.31318858
2.96000000,1.31318858
2.98000000,1.31318858
3.00000000,1.31318858
3.02000000,1.31413562
3.04000000,1.31413562
3.06000000,1.31413562
3.08000000,1.31413562
3.10000000,1.31413562
3.12000000,1.31333976
3.14000000,1.31333976
3.16000000,1.31333976
3.18000000,1.31333976
3.20000000,1.31333976
3.22000000,1.31345097
3.24000000,1.31345097
3.26000000,1.31345097
3.28000000,1.31345097
3.30000000,1.31345097
3.32000000,1.31360215
3.34000000,1.31360215
3.36000000,1.31360215
3.38000000,1.31360215
3.40000000,1.31360215
3.42000000,1.31144659
3.44000000,1.31144659
3.46000000,1.31144659
3.48000000,1.31144659
3.50000000,1.31144659
3.52000000,1.31177851
3.54000000,1.31177851
3.56000000,1.31177851
3.58000000,1.31177851
3.60000000,1.44123299
3.62000000,1.31090105
3.64000000,1.31090105
3.66000000,1.17449478
3.68000000,1.17071552
3.70000000,1.54889397
3.72000000,1.30823037
3.74000000,1.30823037
3.76000000,1.30823037
3.78000000,1.30823037
3.80000000,1.30823037
3.82000000,1.31011400
3.84000000,1.31011400
3.86000000,1.31011400
3.88000000,1.31011400
3.90000000,1.31011400
3.92000000,1.30987085
3.94000000,1.30987085
3.96000000,1.30987085
3.98000000,1.30987085
4.00000000,1.30987085
4.02000000,1.30900647
4.04000000,1.30900647
4.06000000,1.30900647
4.08000000,1.30900647
4.10000000,1.30900647
4.12000000,1.30901529
4.14000000,1.30901529
4.16000000,1.30901529
4.18000000,1.30901529
4.20000000,1.30901529
4.22000000,1.30945836
4.24000000,1.30945836
4.26000000,1.30945836
4.28000000,1.30945836
4.30000000,1.30945836
4.32000000,1.44475833
4.34000000,1.30977986
4.36000000,1.30977986
4.38000000,1.30977986
4.40000000,1.30977986
4.42000000,1.31020471
4.44000000,1.31020471
4.46000000,1.31020471
4.48000000,1.31020471
4.50000000,1.31020471
4.52000000,1.39960085
4.54000000,1.31027427
4.56000000,1.31027427
4.58000000,1.18930805
4.60000000,1.17802257
4.62000000,1.31064611
4.64000000,1.31064611
4.66000000,1.31064611
4.68000000,1.31064611
4.70000000,1.31064611
4.72000000,1.31247892
4.74000000,1.31247892
4.76000000,1.31247892
4.78000000,1.31247892
4.80000000,1.31247892
4.82000000,1.31322418
4.84000000,1.31322418
4.86000000,1.31322418
4.88000000,1.31322418
4.90000000,1.31322418
4.92000000,1.31334664
4.94000000,1.39828344
4.96000000,1.31334664
4.98000000,1.31334664
5.00000000,1.31334664
5.02000000,1.31438370
5.04000000,1.31438370
5.06000000,1.31438370
5.08000000,1.31438370
5.10000000,1.31438370
5.12000000,1.31441501
5.14000000,1.31441501
5.16000000,1.31441501
5.18000000,1.31441501
5.20000000,1.31441501
5.22000000,1.31435419
5.24000000,1.31435419
5.26000000,1.31435419
5.28000000,1.31435419
5.30000000,1.31435419
5.32000000,1.31418219
5.34000000,1.44082972
5.36000000,1.31418219
5.38000000,1.31418219
5.40000000,1.31418219
5.42000000,1.31389036
5.44000000,1.31389036
5.46000000,1.31389036
5.48000000,1.31389036
5.50000000,1.51968163
5.52000000,1.17038793
5.54000000,1.20293089
5.56000000,1.31365756
5.58000000,1.31365756
5.60000000,1.31365756
5.62000000,1.31211674
5.64000000,1.31211674
5.66000000,1.31211674
5.68000000,1.31211674
5.70000000,1.31211674
5.72000000,1.31295229
5.74000000,1.31295229
5.76000000,1.31295229
5.78000000,1.31295229
5.80000000,1.31295229
5.82000000,1.31335614
5.84000000,1.31335614
5.86000000,1.43697443
5.88000000,1.31335614
5.90000000,1.31335614
5.92000000,1.31436363
5.94000000,1.31436363
5.96000000,1.44699890
5.98000000,1.31436363
6.00000000,1.31436363
6.02000000,1.31427070
6.04000000,1.31427070
6.06000000,1.31427070
6.08000000,1.31427070
6.10000000,1.31427070
6.12000000,1.31440356
6.14000000,1.31440356
6.16000000,1.44320937
6.18000000,1.31440356
6.20000000,1.31440356
6.22000000,1.31459462
6.24000000,1.31459462
6.26000000,1.31459462
6.28000000,1.31459462
6.30000000,1.31459462
6.32000000,1.31519910
6.34000000,1.31519910
6.36000000,1.31519910
6.38000000,1.31519910
6.40000000,1.31519910
6.42000000,1.31502632
6.44000000,1.19286816
6.46000000,1.19412752
6.48000000,1.31502632
6.50000000,1.31502632
6.52000000,1.31361584
6.54000000,1.31361584
6.56000000,1.31361584
6.58000000,1.31361584
6.60000000,1.31361584
6.62000000,1.31461550
6.64000000,1.31461550
6.66000000,1.31461550
6.68000000,1.31461550
6.70000000,1.31461550
6.72000000,1.31461550
6.74000000,1.31461550
6.76000000,1.31461550
6.78000000,1.31461550
6.80000000,1.31461550
6.82000000,1.31475539
6.84000000,1.31475539
6.86000000,1.31475539
6.88000000,1.31475539
6.90000000,1.31475539
6.92000000,1.31364713
6.94000000,1.31364713
6.96000000,1.31364713
6.98000000,1.44079540
7.00000000,1.31364713
7.02000000,1.31279074
7.04000000,1.31279074
7.06000000,1.31279074
7.08000000,1.43701722
7.10000000,1.31279074
7.12000000,1.31279074
7.14000000,1.31279074
7.16000000,1.31279074
7.18000000,1.31279074
7.20000000,1.31279074
7.22000000,1.31272994
7.24000000,1.31272994
7.26000000,1.31272994
7.28000000,1.31272994
7.30000000,1.31272994
7.32000000,1.31243811
7.34000000,1.45076978
7.36000000,1.18040340
7.38000000,1.16785985
7.40000000,1.31243811
7.42000000,1.31005128
7.44000000,1.31005128
7.46000000,1.31005128
7.48000000,1.31005128
7.50000000,1.43579203
7.52000000,1.31280117
7.54000000,1.31280117
7.56000000,1.31280117
7.58000000,1.31280117
7.60000000,1.43702863
7.62000000,1.31367842
7.64000000,1.31367842
7.66000000,1.31367842
7.68000000,1.31367842
7.70000000,1.31367842
7.72000000,1.31361761
7.74000000,1.31361761
7.76000000,1.31361761
7.78000000,1.31361761
7.80000000,1.43955886
7.82000000,1.31350643
7.84000000,1.31350643
7.86000000,1.31350643
7.88000000,1.31350643
7.90000000,1.43828803
7.92000000,1.31371837
7.94000000,1.31371837
7.96000000,1.31371837
7.98000000,1.31371837
8.00000000,1.31371837
8.02000000,1.31378961
8.04000000,1.31378961
8.06000000,1.31378961
8.08000000,1.31378961
8.10000000,1.31378961
8.12000000,1.31373923
8.14000000,1.31373923
8.16000000,1.31373923
8.18000000,1.31373923
8.20000000,1.31373923
8.22000000,1.31721526
8.24000000,1.31721526
8.26000000,1.31721526
8.28000000,1.17545354
8.30000000,1.17545354
8.32000000,1.31632937
8.34000000,1.31632937
8.36000000,1.31632937
8.38000000,1.31632937
8.40000000,1.31632937
8.42000000,1.32041844
8.44000000,1.32041844
8.46000000,1.32041844
8.48000000,1.32041844
8.50000000,1.32041844
8.52000000,1.31985584
8.54000000,1.31985584
8.56000000,1.31985584
8.58000000,1.31985584
8.60000000,1.31985584
8.62000000,1.31904979
8.64000000,1.31904979
8.66000000,1.31904979
8.68000000,1.31904979
8.70000000,1.31904979
8.72000000,1.44334402
8.74000000,1.31780080
8.76000000,1.31780080
8.78000000,1.31780080
8.80000000,1.31780080
8.82000000,1.31873641
8.84000000,1.31873641
8.86000000,1.31873641
8.88000000,1.31873641
8.90000000,1.31873641
8.92000000,1.31864612
8.94000000,1.31864612
8.96000000,1.31864612
8.98000000,1.31864612
9.00000000,1.31864612
9.02000000,1.31847600
9.04000000,1.31847600
9.06000000,1.31847600
9.08000000,1.31847600
9.10000000,1.31847600
9.12000000,1.31858724
9.14000000,1.31858724
9.16000000,1.31858724
9.18000000,1.37833981
9.20000000,1.17555387
9.22000000,1.20311715
9.24000000,1.31512056
9.26000000,1.31512056
9.28000000,1.31512056
9.30000000,1.31512056
9.32000000,1.37841368
9.34000000,1.31392178
9.36000000,1.31392178
9.38000000,1.31392178
9.40000000,1.31392178
9.42000000,1.37845745
9.44000000,1.31260308
9.46000000,1.31260308
9.48000000,1.31260308
9.50000000,1.31260308
9.52000000,1.31358994
9.54000000,1.39596958
9.56000000,1.31358994
9.58000000,1.31358994
9.60000000,1.31358994
9.62000000,1.31390268
9.64000000,1.31390268
9.66000000,1.31390268
9.68000000,1.31390268
9.70000000,1.31390268
9.72000000,1.31431620
9.74000000,1.31431620
9.76000000,1.31431620
9.78000000,1.31431620
9.80000000,1.31431620
9.82000000,1.31362123
9.84000000,1.31362123
9.86000000,1.31362123
9.88000000,1.31362123
9.90000000,1.31362123
9.92000000,1.31381234
9.94000000,1.31381234
9.96000000,1.31381234
9.98000000,1.31381234
10.00000000,1.31381234
10.02000000,1.31404341
10.04000000,1.31404341
10.06000000,1.31404341
10.08000000,1.31404341
10.10000000,1.40725584
10.12000000,1.18317110
10.14000000,1.20443412
10.16000000,1.31251273
10.18000000,1.31251273
10.20000000,1.31251273
10.22000000,1.31293494
10.24000000,1.31293494
10.26000000,1.31293494
10.28000000,1.31293494
10.30000000,1.31293494
10.32000000,1.31370981
10.34000000,1.31370981
10.36000000,1.36963594
10.38000000,1.31370981
10.40000000,1.31370981
10.42000000,1.31378972
10.44000000,1.31378972
10.46000000,1.43974747
10.48000000,1.31378972
10.50000000,1.31378972
10.52000000,1.31313474
10.54000000,1.31313474
10.56000000,1.31313474
10.58000000,1.31313474
10.60000000,1.31313474
10.62000000,1.31298359
10.64000000,1.31298359
10.66000000,1.31298359
10.68000000,1.31298359
10.70000000,1.31298359
10.72000000,1.31281332
10.74000000,1.31281332
10.76000000,1.31281332
10.78000000,1.31281332
10.80000000,1.31281332
10.82000000,1.31350827
10.84000000,1.31350827
10.86000000,1.31350827
10.88000000,1.31350827
