# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0355319216999999, P max: 1.7954007747
Time,Power
0.00000000,1.20204600
0.02000000,1.18078066
0.04000000,1.37735907
0.06000000,1.28831676
0.08000000,1.51633965
0.10000000,1.18827960
0.12000000,1.28865927
0.14000000,1.28865927
0.16000000,1.38112749
0.18000000,1.18077128
0.20000000,1.17449478
0.22000000,1.28726805
0.24000000,1.50001547
0.26000000,1.28726805
0.28000000,1.21455499
0.30000000,1.28752951
0.32000000,1.21703586
0.34000000,1.28752951
0.36000000,1.43239673
0.38000000,1.17445749
0.40000000,1.17190317
0.42000000,1.53000429
0.44000000,1.28829737
0.46000000,1.28559739
0.48000000,1.16938382
0.50000000,1.18942844
0.52000000,1.28894217
0.54000000,1.28894217
0.56000000,1.19194778
0.58000000,1.20192434
0.60000000,1.28940509
0.62000000,1.41350360
0.64000000,1.16686853
0.66000000,1.19563842
0.68000000,1.28940509
0.70000000,1.19065975
0.72000000,1.36595091
0.74000000,1.28966726
0.76000000,1.20567463
0.78000000,1.20441499
0.80000000,1.34460581
0.82000000,1.28953577
0.84000000,1.44602941
0.86000000,1.15682353
0.88000000,1.28953577
0.90000000,1.28935391
0.92000000,1.35958795
0.94000000,1.18430515
0.96000000,1.18057680
0.98000000,1.28935391
1.00000000,1.49859493
1.02000000,1.23690510
1.04000000,1.22189094
1.06000000,1.28965621
1.08000000,1.28965621
1.10000000,1.28811479
1.12000000,1.28811479
1.14000000,1.17807635
1.16000000,1.16684074
1.18000000,1.56870273
1.20000000,1.34839534
1.22000000,1.21568204
1.24000000,1.20187663
1.26000000,1.18938123
1.28000000,1.43601433
1.30000000,1.28926417
1.32000000,1.17312560
1.34000000,1.19312864
1.36000000,1.28926417
1.38000000,1.45855945
1.40000000,1.18562120
1.42000000,1.19816719
1.44000000,1.28820608
1.46000000,1.18562120
1.48000000,1.35214528
1.50000000,1.36839807
1.52000000,1.18313353
1.54000000,1.35212381
1.56000000,1.28672447
1.58000000,1.28672447
1.60000000,1.18432395
1.62000000,1.16306195
1.64000000,1.48355394
1.66000000,1.29093629
1.68000000,1.29093629
1.70000000,1.17805063
1.72000000,1.19432427
1.74000000,1.29126078
1.76000000,1.29126078
1.78000000,1.17180316
1.80000000,1.21563620
1.82000000,1.28939662
1.84000000,1.40593203
1.86000000,1.20062212
1.88000000,1.20183131
1.90000000,1.29199601
1.92000000,1.19183659
1.94000000,1.53231815
1.96000000,1.29199601
1.98000000,1.19556486
2.00000000,1.50854982
2.02000000,1.46597669
2.04000000,1.29245971
2.06000000,1.18056040
2.08000000,1.17431298
2.10000000,1.45724897
2.12000000,1.35708955
2.14000000,1.46349634
2.16000000,1.21808561
2.18000000,1.19183659
2.20000000,1.29544151
2.22000000,1.29544151
2.24000000,1.17301617
2.26000000,1.21306890
2.28000000,1.29544151
2.30000000,1.41213465
2.32000000,1.59113906
2.34000000,1.20305267
2.36000000,1.29630828
2.38000000,1.18803908
2.40000000,1.29505903
2.42000000,1.35078108
2.44000000,1.19807445
2.46000000,1.19303629
2.48000000,1.47849843
2.50000000,1.29558237
2.52000000,1.41463125
2.54000000,1.18424168
2.56000000,1.19300787
2.58000000,1.29558237
2.60000000,1.36955167
2.62000000,1.24188672
2.64000000,1.19301734
2.66000000,1.29398047
2.68000000,1.29398047
2.70000000,1.49729077
2.72000000,1.61120357
2.74000000,1.34453376
2.76000000,1.29123003
2.78000000,1.62621728
2.80000000,1.29604608
2.82000000,1.29604608
2.84000000,1.19301734
2.86000000,1.46844918
2.88000000,1.29604608
2.90000000,1.23061119
2.92000000,1.35953668
2.94000000,1.23313025
2.96000000,1.29630828
2.98000000,1.50851389
3.00000000,1.18304195
3.02000000,1.29881702
3.04000000,1.29881702
3.06000000,1.46346148
3.08000000,1.19301734
3.10000000,1.24562479
3.12000000,1.29666094
3.14000000,1.50725436
3.16000000,1.41087512
3.18000000,1.21806627
3.20000000,1.29583533
3.22000000,1.21688611
3.24000000,1.39715433
3.26000000,1.29583533
3.28000000,1.17431298
3.30000000,1.16680600
3.32000000,1.40214219
3.34000000,1.29840483
3.36000000,1.54361597
3.38000000,1.20811957
3.40000000,1.21809528
3.42000000,1.29694374
3.44000000,1.29694374
3.46000000,1.17678172
3.48000000,1.17804128
3.50000000,1.29714380
3.52000000,1.51989279
3.54000000,1.29714380
3.56000000,1.24318222
3.58000000,1.29714380
3.60000000,1.18684315
3.62000000,1.45851314
3.64000000,1.29773811
3.66000000,1.17681675
3.68000000,1.18432395
3.70000000,1.54621795
3.72000000,1.29792018
3.74000000,1.29792018
3.76000000,1.18062366
3.78000000,1.24572121
3.80000000,1.29793048
3.82000000,1.38847322
3.84000000,1.35592419
3.86000000,1.29793048
3.88000000,1.29793048
3.90000000,1.34841675
3.92000000,1.17564487
3.94000000,1.29631814
3.96000000,1.29631814
3.98000000,1.24200257
4.00000000,1.54999567
4.02000000,1.36598344
4.04000000,1.20071506
4.06000000,1.20192434
4.08000000,1.39974253
4.10000000,1.29330366
4.12000000,1.29330366
4.14000000,1.19197380
4.16000000,1.23576080
4.18000000,1.29330366
4.20000000,1.29453510
4.22000000,1.18438977
4.24000000,1.20444368
4.26000000,1.29453510
4.28000000,1.44861762
4.30000000,1.20319356
4.32000000,1.23952266
4.34000000,1.29504924
4.36000000,1.22576698
4.38000000,1.46989248
4.40000000,1.20072459
4.42000000,1.17689149
4.44000000,1.29540195
4.46000000,1.62140649
4.48000000,1.36599428
4.50000000,1.17812311
4.52000000,1.17812311
4.54000000,1.44229639
4.56000000,1.29607651
4.58000000,1.29607651
4.60000000,1.29668114
4.62000000,1.23823349
4.64000000,1.29668114
4.66000000,1.46486927
4.68000000,1.17187526
4.70000000,1.17187526
4.72000000,1.29592535
4.74000000,1.29592535
4.76000000,1.79540077
4.78000000,1.29592535
4.80000000,1.29512946
