# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.1022934858, P max: 1.9001778360000001
Time,Power
0.00000000,1.24334753
0.02000000,1.24213815
0.04000000,1.23709905
0.06000000,1.23709905
0.08000000,1.33259000
0.10000000,1.23342641
0.12000000,1.23589568
0.14000000,1.18706457
0.16000000,1.43001067
0.18000000,1.32116115
0.20000000,1.24474068
0.22000000,1.23975144
0.24000000,1.23975144
0.26000000,1.24227126
0.28000000,1.23975144
0.30000000,1.24107045
0.32000000,1.24233042
0.34000000,1.24353999
0.36000000,1.23981048
0.38000000,1.24233042
0.40000000,1.28681091
0.42000000,1.28681091
0.44000000,1.28681091
0.46000000,1.28681091
0.48000000,1.28681091
0.50000000,1.27529691
0.52000000,1.27529691
0.54000000,1.27529691
0.56000000,1.27529691
0.58000000,1.27529691
0.60000000,1.37026389
0.62000000,1.37651436
0.64000000,1.36900371
0.66000000,1.36900371
0.68000000,1.36275324
0.70000000,1.26452004
0.72000000,1.26452004
0.74000000,1.26452004
0.76000000,1.26452004
0.78000000,1.26452004
0.80000000,1.35898350
0.82000000,1.26230211
0.84000000,1.26230211
0.86000000,1.26230211
0.88000000,1.26230211
0.90000000,1.37280603
0.92000000,1.26226172
0.94000000,1.26226172
0.96000000,1.39034794
0.98000000,1.50431998
1.00000000,1.31646055
1.02000000,1.26519541
1.04000000,1.26519541
1.06000000,1.26519541
1.08000000,1.26519541
1.10000000,1.26460055
1.12000000,1.26460055
1.14000000,1.26460055
1.16000000,1.26460055
1.18000000,1.26460055
1.20000000,1.26283625
1.22000000,1.26283625
1.24000000,1.26283625
1.26000000,1.26283625
1.28000000,1.26283625
1.30000000,1.26437885
1.32000000,1.26437885
1.34000000,1.26437885
1.36000000,1.26437885
1.38000000,1.26437885
1.40000000,1.26522574
1.42000000,1.26522574
1.44000000,1.26522574
1.46000000,1.26522574
1.48000000,1.26522574
1.50000000,1.26570973
1.52000000,1.26570973
1.54000000,1.26570973
1.56000000,1.26570973
1.58000000,1.26570973
1.60000000,1.26559887
1.62000000,1.26559887
1.64000000,1.26559887
1.66000000,1.26559887
1.68000000,1.26559887
1.70000000,1.25551763
1.72000000,1.37775266
1.74000000,1.25551763
1.76000000,1.25551763
1.78000000,1.48174066
1.80000000,1.18112745
1.82000000,1.25386417
1.84000000,1.25386417
1.86000000,1.25386417
1.88000000,1.25386417
1.90000000,1.25465077
1.92000000,1.25465077
1.94000000,1.25465077
1.96000000,1.25465077
1.98000000,1.25465077
2.00000000,1.25333027
2.02000000,1.25333027
2.04000000,1.25333027
2.06000000,1.25333027
2.08000000,1.25333027
2.10000000,1.25284928
2.12000000,1.25284928
2.14000000,1.25284928
2.16000000,1.25284928
2.18000000,1.25284928
2.20000000,1.25272859
2.22000000,1.25272859
2.24000000,1.25272859
2.26000000,1.25272859
2.28000000,1.25272859
2.30000000,1.25150897
2.32000000,1.25150897
2.34000000,1.25150897
2.36000000,1.25150897
2.38000000,1.25150897
2.40000000,1.25109582
2.42000000,1.25109582
2.44000000,1.25109582
2.46000000,1.25109582
2.48000000,1.25109582
2.50000000,1.25078348
2.52000000,1.25078348
2.54000000,1.25078348
2.56000000,1.25078348
2.58000000,1.25078348
2.60000000,1.31627513
