# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9532272717, P max: 1.7640130517
Time,Power
0.00000000,1.33883848
0.02000000,1.62526092
0.04000000,1.34204220
0.06000000,1.21581475
0.08000000,1.34204220
0.10000000,1.24458755
0.12000000,1.34204220
0.14000000,1.19078027
0.16000000,1.34013801
0.18000000,1.18201230
0.20000000,1.34013801
0.22000000,1.22333260
0.24000000,1.50505449
0.26000000,1.24836681
0.28000000,1.47124267
0.30000000,1.27089123
0.32000000,1.45370688
0.34000000,1.33923098
0.36000000,1.50879535
0.38000000,1.33923098
0.40000000,1.67160737
0.42000000,1.33923098
0.44000000,1.18329085
0.46000000,1.33718619
0.48000000,1.18203107
0.50000000,1.33718619
0.52000000,1.23337377
0.54000000,1.33990454
0.56000000,1.21826452
0.58000000,1.21705518
0.60000000,1.05928597
0.62000000,1.18949218
0.64000000,1.06930551
0.66000000,1.55517939
0.68000000,1.20329624
0.70000000,1.44875275
0.72000000,1.26966171
0.74000000,1.31537636
0.76000000,1.19085352
0.78000000,1.31537636
0.80000000,1.18455431
0.82000000,1.53393383
0.84000000,1.21593780
0.86000000,1.08692583
0.88000000,1.22717595
0.90000000,1.05815011
0.92000000,1.16584487
0.94000000,1.06318777
0.96000000,1.18091656
0.98000000,1.06444771
1.00000000,1.23978096
1.02000000,1.12205217
1.04000000,1.34251545
1.06000000,1.04197787
1.08000000,1.42396250
1.10000000,1.12211451
1.12000000,1.33253618
1.14000000,1.26693232
1.16000000,1.34510753
1.18000000,1.33260756
1.20000000,1.50916962
1.22000000,1.18356559
1.24000000,1.40278228
1.26000000,1.19359987
1.28000000,1.06083205
1.30000000,1.25418716
1.32000000,1.06713272
1.34000000,1.24543540
1.36000000,1.07218241
1.38000000,1.31646055
1.40000000,1.05217036
1.42000000,1.19119617
1.44000000,1.42425916
1.46000000,1.46307555
1.48000000,1.34909651
1.50000000,1.64596630
1.52000000,1.33407406
1.54000000,1.42048961
1.56000000,1.32027195
1.58000000,1.45557588
1.60000000,1.31775138
1.62000000,1.38666363
1.64000000,1.32023004
1.66000000,1.24184296
1.68000000,1.29643666
1.70000000,1.18120009
1.72000000,1.24184296
1.74000000,1.19122217
1.76000000,1.47553062
1.78000000,1.25453625
1.80000000,1.39664007
1.82000000,1.25453625
1.84000000,1.49932960
1.86000000,1.26861310
1.88000000,1.45295443
1.90000000,1.33898239
1.92000000,1.51682111
1.94000000,1.40786751
1.96000000,1.33271067
1.98000000,1.21748027
2.00000000,1.10976051
2.02000000,1.41033745
2.04000000,1.18986987
2.06000000,1.08467380
2.08000000,1.28175892
2.10000000,1.14475704
2.12000000,1.58817334
2.14000000,1.20363055
2.16000000,1.18109933
2.18000000,1.28201094
2.20000000,1.28201094
2.22000000,1.28201094
2.24000000,1.22991532
2.26000000,1.66329150
2.28000000,1.38148105
2.30000000,1.56056753
2.32000000,1.28964442
2.34000000,1.49041967
2.36000000,1.30181127
2.38000000,1.61688104
2.40000000,1.35886758
2.42000000,1.50039948
2.44000000,1.31497596
2.46000000,1.18721298
2.48000000,1.31497596
2.50000000,1.18096343
2.52000000,1.31497596
2.54000000,1.20350160
2.56000000,1.31508720
2.58000000,1.21479120
2.60000000,1.31508720
2.62000000,1.20224160
2.64000000,1.59804548
2.66000000,1.19348147
2.68000000,1.62556410
2.70000000,1.31761766
2.72000000,1.52415850
2.74000000,1.36632231
2.76000000,1.49529386
2.78000000,1.31375595
2.80000000,1.64432430
2.82000000,1.31375595
2.84000000,1.31217274
2.86000000,1.31217274
2.88000000,1.21974208
2.90000000,1.31217274
2.92000000,1.20472335
2.94000000,1.31541732
2.96000000,1.18090719
2.98000000,1.31541732
3.00000000,1.18715644
3.02000000,1.39882468
3.04000000,1.17463230
3.06000000,1.58536051
3.08000000,1.32123455
3.10000000,1.44888787
3.12000000,1.32123455
3.14000000,1.46261118
3.16000000,1.33259234
3.18000000,1.55654728
3.20000000,1.33259234
3.22000000,1.21214853
3.24000000,1.33696609
3.26000000,1.19087243
3.28000000,1.33696609
3.30000000,1.18961257
3.32000000,1.33696609
3.34000000,1.23344599
3.36000000,1.33539326
3.38000000,1.20210086
3.40000000,1.33539326
3.42000000,1.16581711
3.44000000,1.45379631
3.46000000,1.21714937
3.48000000,1.58527243
3.50000000,1.40496520
3.52000000,1.48383072
3.54000000,1.22340785
3.56000000,1.52395588
3.58000000,1.19085352
3.60000000,1.47134486
3.62000000,1.19584250
3.64000000,1.08448013
3.66000000,1.22347340
3.68000000,1.07818058
3.70000000,1.18340826
3.72000000,1.05943312
3.74000000,1.17344457
3.76000000,1.06070156
3.78000000,1.19224348
3.80000000,1.12082781
3.82000000,1.41137920
3.84000000,1.12343470
3.86000000,1.36516796
3.88000000,1.21108569
3.90000000,1.29954313
3.92000000,1.21234576
3.94000000,1.53679804
3.96000000,1.28865423
3.98000000,1.52928770
4.00000000,1.28865423
4.02000000,1.05835378
4.04000000,1.22248997
4.06000000,1.06088256
4.08000000,1.17863518
4.10000000,1.08845563
4.12000000,1.18740614
4.14000000,1.15365345
4.16000000,1.26818701
4.18000000,1.05721739
4.20000000,1.26818701
4.22000000,1.06971930
4.24000000,1.39672872
4.26000000,1.16624277
4.28000000,1.41175165
4.30000000,1.25844724
4.32000000,1.38417601
4.34000000,1.24615303
4.36000000,1.33538722
4.38000000,1.19382246
4.40000000,1.45940763
4.42000000,1.24615303
4.44000000,1.11877320
4.46000000,1.23402852
4.48000000,1.06361602
4.50000000,1.16762815
4.52000000,1.06613691
4.54000000,1.17518703
4.56000000,1.06991028
4.58000000,1.22565735
4.60000000,1.08871690
4.62000000,1.39068168
4.64000000,1.11127223
4.66000000,1.48342741
4.68000000,1.22260113
4.70000000,1.54604992
4.72000000,1.29046740
4.74000000,1.39570647
4.76000000,1.22447641
4.78000000,1.56486926
4.80000000,1.22447641
4.82000000,1.05995236
4.84000000,1.22668521
4.86000000,1.22668521
4.88000000,1.22668521
4.90000000,1.08747366
4.92000000,1.22668521
4.94000000,1.08874281
4.96000000,1.31679745
4.98000000,1.05995236
5.00000000,1.22377052
5.02000000,1.06116247
5.04000000,1.43577985
5.06000000,1.16517196
5.08000000,1.39317436
5.10000000,1.22527343
5.12000000,1.34184609
5.14000000,1.22319648
5.16000000,1.30926393
5.18000000,1.22319648
5.20000000,1.51719725
5.22000000,1.22319648
5.24000000,1.09622947
5.26000000,1.22122040
5.28000000,1.05992714
5.30000000,1.22122040
5.32000000,1.05992714
5.34000000,1.34430604
5.36000000,1.07496080
5.38000000,1.22501161
5.40000000,1.07622130
5.42000000,1.45205422
5.44000000,1.22332833
5.46000000,1.45833362
5.48000000,1.22332833
5.50000000,1.47335863
5.52000000,1.22332833
5.54000000,1.34427404
5.56000000,1.22417575
5.58000000,1.49462380
5.60000000,1.22417575
5.62000000,1.32173671
5.64000000,1.16136276
5.66000000,1.08744778
5.68000000,1.38063717
5.70000000,1.07741430
5.72000000,1.22524427
5.74000000,1.05737259
5.76000000,1.22259336
5.78000000,1.22259336
5.80000000,1.22259336
5.82000000,1.11999212
5.84000000,1.53967866
5.86000000,1.22396865
5.88000000,1.41938417
5.90000000,1.22396865
5.92000000,1.49707646
5.94000000,1.22515922
5.96000000,1.30663147
5.98000000,1.22515922
6.00000000,1.35296378
6.02000000,1.17257533
6.04000000,1.06609674
6.06000000,1.17131493
6.08000000,1.06231554
6.10000000,1.17131493
6.12000000,1.08490190
6.14000000,1.22616754
6.16000000,1.08611189
6.18000000,1.22616754
6.20000000,1.22616754
6.22000000,1.50829547
6.24000000,1.03727524
6.26000000,1.46823805
6.28000000,1.22583408
6.30000000,1.51835235
6.32000000,1.28532590
6.34000000,1.33423020
6.36000000,1.22568282
6.38000000,1.28033464
6.40000000,1.22568282
6.42000000,1.09243122
6.44000000,1.22654964
6.46000000,1.07363427
6.48000000,1.22654964
6.50000000,1.22654964
6.52000000,1.22654964
6.54000000,1.05611213
6.56000000,1.30669108
6.58000000,1.06236400
6.60000000,1.36805015
6.62000000,1.06362446
6.64000000,1.57474332
6.66000000,1.22731564
6.68000000,1.32090125
6.70000000,1.22731564
6.72000000,1.50335200
6.74000000,1.22805241
6.76000000,1.42442585
6.78000000,1.22805241
6.80000000,1.15131804
6.82000000,1.17511477
6.84000000,1.05987879
6.86000000,1.22746689
6.88000000,1.06108881
6.90000000,1.22746689
6.92000000,1.08614636
6.94000000,1.22884523
6.96000000,1.12377349
6.98000000,1.22884523
7.00000000,1.06740583
7.02000000,1.22884523
7.04000000,1.05239787
7.06000000,1.76401305
7.08000000,1.22583958
7.10000000,1.38314717
7.12000000,1.17138695
7.14000000,1.43822102
7.16000000,1.03855832
7.18000000,0.96212479
7.20000000,1.08368234
7.22000000,1.22722210
7.24000000,1.43074280
7.26000000,1.21822629
7.28000000,1.06616229
7.30000000,1.21822629
7.32000000,1.21822629
7.34000000,1.21767621
7.36000000,1.06738254
7.38000000,1.21767621
7.40000000,1.08739817
7.42000000,1.59978817
7.44000000,1.21771697
7.46000000,1.40935123
7.48000000,1.21771697
7.50000000,1.40562038
7.52000000,1.21771697
7.54000000,1.51459747
7.56000000,1.21447102
7.58000000,1.49080112
7.60000000,1.21447102
7.62000000,1.05984515
7.64000000,1.16004455
7.66000000,1.05603882
7.68000000,1.21464378
7.70000000,1.10237002
7.72000000,1.21464378
7.74000000,1.09861317
7.76000000,1.21461486
7.78000000,1.03720941
7.80000000,1.37921527
7.82000000,1.13118036
7.84000000,1.38423916
7.86000000,1.21111474
7.88000000,1.41932786
7.90000000,1.21111474
7.92000000,1.52081286
7.94000000,1.21235587
7.96000000,1.37922621
7.98000000,1.21235587
8.00000000,1.09237055
8.02000000,1.21235587
8.04000000,1.08857439
8.06000000,1.21082664
8.08000000,1.06225864
8.10000000,1.21082664
8.12000000,1.05726773
8.14000000,1.20914381
8.16000000,1.08230596
8.18000000,1.42052342
8.20000000,1.20914381
8.22000000,1.34162786
8.24000000,1.33907536
8.26000000,1.40042591
8.28000000,1.21581973
8.30000000,1.56078426
8.32000000,1.21581973
8.34000000,1.48812977
8.36000000,1.21787693
8.38000000,1.05469685
8.40000000,1.21787693
8.42000000,1.06472862
8.44000000,1.22040189
8.46000000,1.08596109
8.48000000,1.22040189
8.50000000,1.08848154
8.52000000,1.22040189
8.54000000,1.05719223
8.56000000,1.41167324
8.58000000,1.06092255
8.60000000,1.46430097
8.62000000,1.21895696
8.64000000,1.46178048
8.66000000,1.21996515
8.68000000,1.33152182
8.70000000,1.21996515
8.72000000,1.49938612
8.74000000,1.21873392
8.76000000,1.52946671
8.78000000,1.21873392
8.80000000,1.07476039
8.82000000,1.21873392
8.84000000,1.05972953
8.86000000,1.30648893
8.88000000,1.05468848
8.90000000,1.28642555
8.92000000,1.08352329
8.94000000,1.22238482
8.96000000,1.09852818
8.98000000,1.43420637
9.00000000,1.16113703
9.02000000,1.30898868
9.04000000,1.22182061
9.06000000,1.53440868
9.08000000,1.22182061
9.10000000,1.32400026
9.12000000,1.22182061
9.14000000,1.52944243
9.16000000,1.22244493
9.18000000,1.06219122
9.20000000,1.16618725
9.22000000,1.06093096
9.24000000,1.22395723
9.26000000,1.16366675
9.28000000,1.22395723
9.30000000,1.08099418
9.32000000,1.22395723
9.34000000,1.06220807
9.36000000,1.22130487
9.38000000,1.05973794
9.40000000,1.54196861
9.42000000,1.22130487
9.44000000,1.43679526
9.46000000,1.22158601
9.48000000,1.50066739
9.50000000,1.22158601
9.52000000,1.33284551
9.54000000,1.22340084
9.56000000,1.48317439
9.58000000,1.17248462
9.60000000,1.10357128
9.62000000,1.16623352
9.64000000,1.06221650
9.66000000,1.22196991
9.68000000,1.22196991
9.70000000,1.22196991
9.72000000,1.11484590
9.74000000,1.22592322
9.76000000,1.22592322
9.78000000,1.45927157
9.80000000,1.22592322
9.82000000,1.39288147
9.84000000,1.22394752
9.86000000,1.50437668
9.88000000,1.22394752
9.90000000,1.31019851
9.92000000,1.22394752
9.94000000,1.51812648
9.96000000,1.22025793
9.98000000,1.40793175
10.00000000,1.15991799
10.02000000,1.07971680
10.04000000,1.22143672
10.06000000,1.07847368
10.08000000,1.22143672
10.10000000,1.06597197
10.12000000,1.22143672
10.14000000,1.06345147
10.16000000,1.30269780
10.18000000,1.11860012
10.20000000,1.53317278
10.22000000,1.21876499
10.24000000,1.40413155
10.26000000,1.22074507
10.28000000,1.28511685
10.30000000,1.22074507
10.32000000,1.54693912
10.34000000,1.22184436
10.36000000,1.38657836
10.38000000,1.22184436
10.40000000,1.06341139
10.42000000,1.16987351
10.44000000,1.05338016
10.46000000,1.22008007
10.48000000,1.09098467
10.50000000,1.49430068
10.52000000,1.08594385
10.54000000,1.22326550
10.56000000,1.07093071
10.58000000,1.50056320
10.60000000,1.03211608
10.62000000,1.43921594
10.64000000,1.22076202
10.66000000,1.36155519
10.68000000,1.22076202
10.70000000,1.45803859
10.72000000,1.22076202
10.74000000,1.21922835
10.76000000,1.21922835
10.78000000,1.08478355
10.80000000,1.32529205
10.82000000,1.09602509
10.84000000,1.22110323
10.86000000,1.05721739
10.88000000,1.22110323
10.90000000,1.07602066
10.92000000,1.22110323
10.94000000,1.09479958
10.96000000,1.22052735
10.98000000,1.07977677
11.00000000,1.48690489
11.02000000,1.22052735
11.04000000,1.31530210
11.06000000,1.22198930
11.08000000,1.52451232
11.10000000,1.22198930
11.12000000,1.51947111
11.14000000,1.22342026
11.16000000,1.08730543
11.18000000,1.22342026
11.20000000,1.06098989
11.22000000,1.17250323
11.24000000,1.06480254
11.26000000,1.22083511
11.28000000,1.09863060
11.30000000,1.22083511
11.32000000,1.22083511
11.34000000,1.22452508
11.36000000,1.03597373
11.38000000,1.38176884
11.40000000,1.15001200
11.42000000,1.49827744
11.44000000,1.22323370
11.46000000,1.37553923
11.48000000,1.22323370
11.50000000,1.43064348
11.52000000,1.22323370
11.54000000,1.53214224
11.56000000,1.22011762
11.58000000,1.08989309
11.60000000,1.22011762
11.62000000,1.22011762
11.64000000,1.16759341
11.66000000,1.05859315
11.68000000,1.22350520
11.70000000,1.06610519
11.72000000,1.38932473
11.74000000,1.12629440
11.76000000,1.43571151
11.78000000,1.22259336
11.80000000,1.34929454
11.82000000,1.22259336
11.84000000,1.33547993
11.86000000,1.22224043
11.88000000,1.31168249
11.90000000,1.22224043
11.92000000,1.45073616
11.94000000,1.16134434
11.96000000,1.06111196
11.98000000,1.22199803
12.00000000,1.06111196
12.02000000,1.22199803
12.04000000,1.07241426
12.06000000,1.21978929
12.08000000,1.07866623
12.10000000,1.21978929
12.12000000,1.05991032
12.14000000,1.31169290
12.16000000,1.22109050
12.18000000,1.46204146
12.20000000,1.22109050
12.22000000,1.32172622
12.24000000,1.21892249
12.26000000,1.48457862
12.28000000,1.11001810
12.30000000,0.96466099
12.32000000,1.27287050
12.34000000,1.12255756
12.36000000,0.96721261
12.38000000,1.13007018
12.40000000,0.98223786
12.42000000,1.21003678
12.44000000,1.19729413
12.46000000,0.95723023
12.48000000,1.19729413
12.50000000,1.07123663
12.52000000,1.34942033
12.54000000,1.19300508
12.56000000,1.19300508
12.58000000,1.03870458
12.60000000,1.39959630
12.62000000,1.19300508
12.64000000,1.37700590
12.66000000,1.26924768
12.68000000,1.36823195
12.70000000,1.19386230
12.72000000,1.51486785
12.74000000,1.19472256
12.76000000,1.05621058
12.78000000,1.19472256
12.80000000,1.07249721
12.82000000,1.19472256
12.84000000,1.08128797
12.86000000,1.19237160
12.88000000,1.06247989
12.90000000,1.29805988
12.92000000,1.06121929
12.94000000,1.19798343
12.96000000,1.10883680
12.98000000,1.30679475
13.00000000,1.05120411
13.02000000,1.47591114
13.04000000,1.19701591
13.06000000,1.32054956
13.08000000,1.19701591
13.10000000,1.32559175
13.12000000,1.25162282
13.14000000,1.53230939
13.16000000,1.35689299
13.18000000,1.11759255
13.20000000,1.19564503
13.22000000,1.05491862
13.24000000,1.20003170
13.26000000,1.20003170
13.28000000,1.20003170
13.30000000,1.11507147
13.32000000,1.32179962
13.34000000,1.06493560
13.36000000,1.31552648
13.38000000,1.05868344
13.40000000,1.31552648
13.42000000,1.08747366
13.44000000,1.48210811
13.46000000,1.35429670
13.48000000,1.34804478
13.50000000,1.22058631
13.52000000,1.44202524
13.54000000,1.22463379
