# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0333189, P max: 1.6901681795
Time,Power
0.00000000,1.35055492
0.02000000,1.19198326
0.04000000,1.17318846
0.06000000,1.46115702
0.08000000,1.25715467
0.10000000,1.22208253
0.12000000,1.28345877
0.14000000,1.50633816
0.16000000,1.22959079
0.18000000,1.19459214
0.20000000,1.46006826
0.22000000,1.19459214
0.24000000,1.18335426
0.26000000,1.48637398
0.28000000,1.24599318
0.30000000,1.19841926
0.32000000,1.37621670
0.34000000,1.31473346
0.36000000,1.16208367
0.38000000,1.19221509
0.40000000,1.41134559
0.42000000,1.22724170
0.44000000,1.30626576
0.46000000,1.39632699
0.48000000,1.17223809
0.50000000,1.18473766
0.52000000,1.41270364
0.54000000,1.19728763
0.56000000,1.20479746
0.58000000,1.35769022
0.60000000,1.28042043
0.62000000,1.19357382
0.64000000,1.66329150
0.66000000,1.19735415
0.68000000,1.19237358
0.70000000,1.19736365
0.72000000,1.37272160
0.74000000,1.32886951
0.76000000,1.27710388
0.78000000,1.35644088
0.80000000,1.18108293
0.82000000,1.19111347
0.84000000,1.43658435
0.86000000,1.20361383
0.88000000,1.21991149
0.90000000,1.58565307
0.92000000,1.27818013
0.94000000,1.19738028
0.96000000,1.27818013
0.98000000,1.27726297
1.00000000,1.17861647
1.02000000,1.18864747
1.04000000,1.35025231
1.06000000,1.27726297
1.08000000,1.27871463
1.10000000,1.41410676
1.12000000,1.19866895
1.14000000,1.16983637
1.16000000,1.52182566
1.18000000,1.44917825
1.20000000,1.16483688
1.22000000,1.27890611
1.24000000,1.50175192
1.26000000,1.20238949
1.28000000,1.18990764
1.30000000,1.28094268
1.32000000,1.19489794
1.34000000,1.19489794
1.36000000,1.46044201
1.38000000,1.22376958
1.40000000,1.27871496
1.42000000,1.45297749
1.44000000,1.22629001
1.46000000,1.17240322
1.48000000,1.19363776
1.50000000,1.36149307
1.52000000,1.28028739
1.54000000,1.21369975
1.56000000,1.48423412
1.58000000,1.18239700
1.60000000,1.18738729
1.62000000,1.34148149
1.64000000,1.19741829
1.66000000,1.27741419
1.68000000,1.52184981
1.70000000,1.27893655
1.72000000,1.21370938
1.74000000,1.27893655
1.76000000,1.27893655
1.78000000,1.18613653
1.80000000,1.20992882
1.82000000,1.36402424
