# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9356844332, P max: 1.7061978784
Time,Power
0.00000000,1.20801646
0.02000000,1.35114064
0.04000000,1.11537113
0.06000000,1.17169385
0.08000000,1.35114064
0.10000000,1.19678640
0.12000000,1.17300685
0.14000000,1.34057206
0.16000000,1.18550119
0.18000000,1.34057206
0.20000000,1.18681724
0.22000000,1.26944503
0.24000000,1.13547716
0.26000000,1.18807681
0.28000000,1.44472679
0.30000000,1.18685257
0.32000000,1.31739829
0.34000000,1.41720959
0.36000000,1.17057844
0.38000000,1.39095937
0.40000000,1.23074553
0.42000000,1.30693022
0.44000000,1.10805392
0.46000000,1.39349458
0.48000000,1.10679425
0.50000000,1.17067834
0.52000000,1.29473508
0.54000000,1.29473508
0.56000000,1.45366072
0.58000000,1.47870386
0.60000000,1.16821455
0.62000000,1.46123822
0.64000000,1.18952995
0.66000000,1.16947433
0.68000000,1.13692174
0.70000000,1.27364026
0.72000000,1.44754754
0.74000000,1.13697363
0.76000000,1.17204737
0.78000000,1.40622504
0.80000000,1.19715936
0.82000000,1.26458934
0.84000000,1.50397081
0.86000000,1.26458934
0.88000000,1.18965034
0.90000000,1.11203187
0.92000000,1.18218589
0.94000000,1.11203187
0.96000000,1.18969519
0.98000000,1.40761614
1.00000000,1.20348250
1.02000000,1.37257181
1.04000000,1.25947601
1.06000000,1.20348250
1.08000000,1.10706883
1.10000000,1.17474884
1.12000000,1.32378489
1.14000000,1.31123502
1.16000000,1.20352787
1.18000000,1.15720926
1.20000000,1.17224739
1.22000000,1.32128581
1.24000000,1.31377593
1.26000000,1.19981723
1.28000000,1.11463802
1.30000000,1.18359377
1.32000000,1.46913413
1.34000000,1.26086356
1.36000000,1.18606358
1.38000000,1.10718085
1.40000000,1.17608353
1.42000000,1.42528239
1.44000000,1.18732369
1.46000000,1.47664437
1.48000000,1.26318216
1.50000000,1.26521591
1.52000000,1.10467598
1.54000000,1.19112055
1.56000000,1.50423641
1.58000000,1.18860030
1.60000000,1.46419930
1.62000000,1.16856693
1.64000000,1.55437599
1.66000000,1.19991959
1.68000000,1.16609703
1.70000000,1.26252409
1.72000000,1.18484814
1.74000000,1.44166773
1.76000000,1.16231657
1.78000000,1.18484814
1.80000000,1.25906605
1.82000000,1.47924382
1.84000000,1.19116782
1.86000000,1.63081767
1.88000000,1.25906605
1.90000000,1.17616520
1.92000000,1.32522106
1.94000000,1.26105193
1.96000000,1.51057054
1.98000000,1.20494805
2.00000000,1.18741556
2.02000000,1.10852673
2.04000000,1.26252378
2.06000000,1.26252378
2.08000000,1.17113371
2.10000000,1.11729775
2.12000000,1.36026528
2.14000000,1.51809335
2.16000000,1.20243720
2.18000000,1.32770158
2.20000000,1.18487634
2.22000000,1.18991708
2.24000000,1.50430804
2.26000000,1.19243745
2.28000000,1.35147280
2.30000000,1.18988876
2.32000000,1.19361882
2.34000000,1.11347296
2.36000000,1.18988876
2.38000000,1.11347296
2.40000000,1.20366875
2.42000000,1.41910827
2.44000000,1.68843287
2.46000000,1.19116782
2.48000000,1.34022132
2.50000000,1.18860030
2.52000000,1.44284313
2.54000000,1.18361021
2.56000000,1.35140846
2.58000000,1.54178814
2.60000000,1.46039565
2.62000000,1.17857906
2.64000000,1.16980852
2.66000000,1.26124392
2.68000000,1.17857906
2.70000000,1.10594488
2.72000000,1.19113001
2.74000000,1.35020945
2.76000000,1.19612014
2.78000000,1.18734960
2.80000000,1.11216205
2.82000000,1.17355400
2.84000000,1.31508815
2.86000000,1.20984481
2.88000000,1.35767945
2.90000000,1.17355400
2.92000000,1.17229391
2.94000000,1.32259834
2.96000000,1.18983446
2.98000000,1.52799423
3.00000000,1.18358438
3.02000000,1.44407174
3.04000000,1.26120639
3.06000000,1.26120639
3.08000000,1.11468225
3.10000000,1.34138835
3.12000000,1.13347391
3.14000000,1.18604476
3.16000000,1.49794162
3.18000000,1.26255727
3.20000000,1.40775858
3.22000000,1.12968468
3.24000000,1.18477527
3.26000000,1.50790954
3.28000000,1.20231555
3.30000000,1.35013712
3.32000000,1.11087551
3.34000000,1.19479600
3.36000000,1.37014700
3.38000000,1.14721585
3.40000000,1.48786409
3.42000000,1.16221741
3.44000000,1.45152432
3.46000000,1.18600711
3.48000000,1.20354697
3.50000000,1.53923584
3.52000000,1.20108681
3.54000000,1.19856669
3.56000000,1.11842704
3.58000000,1.20108681
3.60000000,1.11464686
3.62000000,1.19231681
3.64000000,1.10587686
3.66000000,1.26126716
3.68000000,1.46156590
3.70000000,1.33758685
3.72000000,1.46409763
3.74000000,1.47659750
3.76000000,1.19232627
3.78000000,1.10588564
3.80000000,1.26499693
3.82000000,1.55425573
3.84000000,1.17850658
3.86000000,1.47532572
3.88000000,1.20229646
3.90000000,1.46029425
3.92000000,1.07330846
3.94000000,1.06579858
3.96000000,1.13469797
3.98000000,1.08081834
4.00000000,1.01446319
4.02000000,1.16602532
4.04000000,1.35387767
4.06000000,1.15100519
4.08000000,1.19233573
4.10000000,1.14722496
4.12000000,1.24772874
4.14000000,1.40896826
4.16000000,1.10841457
4.18000000,1.18230552
4.20000000,1.12343470
4.22000000,1.18477527
4.24000000,1.10715449
4.26000000,1.16602532
4.28000000,1.37267803
4.30000000,1.24454347
4.32000000,1.59685834
4.34000000,1.17100593
4.36000000,1.51041771
4.38000000,1.24454347
4.40000000,1.46535770
4.42000000,1.24711401
4.44000000,1.60184821
4.46000000,1.24711401
4.48000000,1.18854607
4.50000000,1.11088432
4.52000000,1.24420052
4.54000000,1.40649851
4.56000000,1.24420052
4.58000000,1.40649851
4.60000000,1.15595840
4.62000000,1.24758833
4.64000000,1.10963942
4.66000000,1.16971801
4.68000000,1.31502554
4.70000000,1.16843247
4.72000000,1.33878583
4.74000000,1.24766190
4.76000000,1.49784949
4.78000000,1.10583518
4.80000000,1.30494644
4.82000000,1.12960623
4.84000000,1.17718346
4.86000000,1.45019809
4.88000000,1.16090439
4.90000000,1.44146752
4.92000000,1.24450745
4.94000000,1.17843409
4.96000000,1.33376443
4.98000000,1.18468360
5.00000000,1.11204070
5.02000000,1.16964607
5.04000000,1.31993410
5.06000000,1.24988032
5.08000000,1.24988032
5.10000000,1.11327415
5.12000000,1.19093623
5.14000000,1.25529346
5.16000000,1.18715644
5.18000000,1.31617328
5.20000000,1.14457081
5.22000000,1.43385074
5.24000000,1.25302558
5.26000000,1.19093623
5.28000000,1.15711971
5.30000000,1.18216712
5.32000000,1.40255408
5.34000000,1.33618096
5.36000000,1.25433591
5.38000000,1.15585978
5.40000000,1.25198712
5.42000000,1.38881769
5.44000000,1.33121277
5.46000000,1.19594454
5.48000000,1.19594454
5.50000000,1.17838733
5.52000000,1.34998980
5.54000000,1.25327757
5.56000000,1.25327757
5.58000000,1.33119164
5.60000000,1.14332903
5.62000000,1.34371148
5.64000000,1.18465539
5.66000000,1.18843524
5.68000000,1.13959958
5.70000000,1.19976248
5.72000000,1.11458715
5.74000000,1.19598251
5.76000000,1.14215574
5.78000000,1.18469300
5.80000000,1.41017238
5.82000000,1.25337455
5.84000000,1.25337455
5.86000000,1.62558668
5.88000000,1.18472826
5.90000000,1.40645386
5.92000000,1.19476756
5.94000000,1.19103785
5.96000000,1.33503493
5.98000000,1.18226799
6.00000000,1.36887607
6.02000000,1.25249716
6.04000000,1.19352646
6.06000000,1.25249716
6.08000000,1.17225669
6.10000000,1.49915411
6.12000000,1.19104730
6.14000000,1.25389847
6.16000000,1.25389847
6.18000000,1.50913369
6.20000000,1.12591017
6.22000000,1.16844870
6.24000000,1.50538005
6.26000000,1.33255468
6.28000000,1.39263279
6.30000000,1.25965720
6.32000000,1.25965720
6.34000000,1.36131480
6.36000000,1.32749614
6.38000000,1.25965720
6.40000000,1.11837600
6.42000000,1.17220320
6.44000000,1.46774880
6.46000000,1.26156240
6.48000000,1.55917440
6.50000000,1.19975296
6.52000000,1.19098350
6.54000000,1.11583829
6.56000000,1.18347401
6.58000000,1.34001393
6.60000000,1.19223401
6.62000000,1.43893614
