# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.1490858762, P max: 1.6385964155000001
Time,Power
0.00000000,1.31500072
0.02000000,1.31159536
0.04000000,1.31159536
0.06000000,1.31159536
0.08000000,1.31159536
0.10000000,1.31159536
0.12000000,1.31214961
0.14000000,1.59879499
0.16000000,1.31214961
0.18000000,1.31214961
0.20000000,1.31214961
0.22000000,1.31182815
0.24000000,1.31182815
0.26000000,1.44359041
0.28000000,1.31182815
0.30000000,1.31182815
0.32000000,1.31078823
0.34000000,1.31078823
0.36000000,1.31078823
0.38000000,1.31078823
0.40000000,1.31078823
0.42000000,1.31100019
0.44000000,1.31100019
0.46000000,1.31100019
0.48000000,1.31100019
0.50000000,1.31100019
0.52000000,1.31117217
0.54000000,1.31117217
0.56000000,1.31117217
0.58000000,1.31117217
0.60000000,1.31117217
0.62000000,1.31144493
0.64000000,1.31144493
0.66000000,1.31144493
0.68000000,1.61172320
0.70000000,1.15694981
0.72000000,1.31245273
0.74000000,1.31245273
0.76000000,1.31245273
0.78000000,1.31245273
0.80000000,1.31245273
0.82000000,1.31100183
0.84000000,1.31100183
0.86000000,1.31100183
0.88000000,1.31100183
0.90000000,1.31100183
0.92000000,1.31096185
0.94000000,1.31096185
0.96000000,1.31096185
0.98000000,1.31096185
1.00000000,1.31096185
1.02000000,1.31096185
1.04000000,1.31096185
1.06000000,1.31096185
1.08000000,1.41864656
1.10000000,1.31096185
1.12000000,1.31101224
1.14000000,1.31101224
1.16000000,1.31101224
1.18000000,1.44243093
1.20000000,1.31101224
1.22000000,1.48623535
1.24000000,1.19201165
1.26000000,1.31138413
1.28000000,1.31138413
1.30000000,1.31138413
1.32000000,1.31162567
1.34000000,1.31162567
1.36000000,1.31162567
1.38000000,1.31162567
1.40000000,1.31162567
1.42000000,1.31189676
1.44000000,1.31189676
1.46000000,1.31189676
1.48000000,1.31189676
1.50000000,1.31189676
1.52000000,1.31254138
1.54000000,1.31254138
1.56000000,1.31254138
1.58000000,1.31254138
1.60000000,1.31254138
1.62000000,1.31254227
1.64000000,1.31254227
1.66000000,1.31254227
1.68000000,1.31254227
1.70000000,1.31254227
1.72000000,1.31163534
1.74000000,1.31163534
1.76000000,1.50239484
1.78000000,1.19816719
1.80000000,1.31163534
1.82000000,1.31599798
1.84000000,1.31599798
1.86000000,1.31599798
1.88000000,1.31599798
1.90000000,1.40346582
1.92000000,1.31593715
1.94000000,1.31593715
1.96000000,1.31593715
1.98000000,1.31593715
2.00000000,1.44602941
2.02000000,1.31606740
2.04000000,1.31606740
2.06000000,1.31606740
2.08000000,1.31606740
