# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.1647028436, P max: 1.7045999669999998
Time,Power
0.00000000,1.23582946
0.02000000,1.23960876
0.04000000,1.23582946
0.06000000,1.24212829
0.08000000,1.29324489
0.10000000,1.23710887
0.12000000,1.23836865
0.14000000,1.23710887
0.16000000,1.29324489
0.18000000,1.28217659
0.20000000,1.28217659
0.22000000,1.28217659
0.24000000,1.28217659
0.26000000,1.36985885
0.28000000,1.27015304
0.30000000,1.27015304
0.32000000,1.27015304
0.34000000,1.27015304
0.36000000,1.36615152
0.38000000,1.25874339
0.40000000,1.25874339
0.42000000,1.25874339
0.44000000,1.25874339
0.46000000,1.25874339
0.48000000,1.24969937
0.50000000,1.24969937
0.52000000,1.24969937
0.54000000,1.24969937
0.56000000,1.24969937
0.58000000,1.25039500
0.60000000,1.25039500
0.62000000,1.25039500
0.64000000,1.25039500
0.66000000,1.25039500
0.68000000,1.25062962
0.70000000,1.25062962
0.72000000,1.25062962
0.74000000,1.25062962
0.76000000,1.25062962
0.78000000,1.24847002
0.80000000,1.24847002
0.82000000,1.24847002
0.84000000,1.24847002
0.86000000,1.24847002
0.88000000,1.24840228
0.90000000,1.24840228
0.92000000,1.24840228
0.94000000,1.24840228
0.96000000,1.24840228
0.98000000,1.36622743
1.00000000,1.24870465
1.02000000,1.24870465
1.04000000,1.24870465
1.06000000,1.24870465
1.08000000,1.36995671
1.10000000,1.24870465
1.12000000,1.24870465
1.14000000,1.24870465
1.16000000,1.24870465
1.18000000,1.37123565
1.20000000,1.24852041
1.22000000,1.24852041
1.24000000,1.24852041
1.26000000,1.24852041
1.28000000,1.30738341
1.30000000,1.24852041
1.32000000,1.24852041
1.34000000,1.24852041
1.36000000,1.24852041
1.38000000,1.24834198
1.40000000,1.24834198
1.42000000,1.24834198
1.44000000,1.24834198
1.46000000,1.24834198
1.48000000,1.24911856
1.50000000,1.34990676
1.52000000,1.24911856
1.54000000,1.24911856
1.56000000,1.24911856
1.58000000,1.24848325
1.60000000,1.24848325
1.62000000,1.24848325
1.64000000,1.24848325
1.66000000,1.24848325
1.68000000,1.24958202
1.70000000,1.24958202
1.72000000,1.24958202
1.74000000,1.24958202
1.76000000,1.24958202
1.78000000,1.24946140
1.80000000,1.24946140
1.82000000,1.24946140
1.84000000,1.24946140
1.86000000,1.24946140
1.88000000,1.24935069
1.90000000,1.24935069
1.92000000,1.24935069
1.94000000,1.24935069
1.96000000,1.24935069
1.98000000,1.24963322
2.00000000,1.37238935
2.02000000,1.24963322
2.04000000,1.24963322
2.06000000,1.24963322
2.08000000,1.24816192
2.10000000,1.31226068
2.12000000,1.24816192
2.14000000,1.24816192
2.16000000,1.24816192
2.18000000,1.24807105
2.20000000,1.24807105
2.22000000,1.24807105
2.24000000,1.24807105
2.26000000,1.24807105
2.28000000,1.24797026
2.30000000,1.24797026
2.32000000,1.24797026
2.34000000,1.24797026
2.36000000,1.24797026
2.38000000,1.24785957
2.40000000,1.24785957
2.42000000,1.24785957
2.44000000,1.24785957
2.46000000,1.24785957
2.48000000,1.24726477
2.50000000,1.24726477
2.52000000,1.24726477
2.54000000,1.24726477
2.56000000,1.24726477
2.58000000,1.24667985
2.60000000,1.24667985
2.62000000,1.36737180
2.64000000,1.24667985
2.66000000,1.24667985
2.68000000,1.24877654
2.70000000,1.24877654
2.72000000,1.24877654
2.74000000,1.24877654
2.76000000,1.24877654
2.78000000,1.24909873
2.80000000,1.24909873
2.82000000,1.37493080
2.84000000,1.24909873
2.86000000,1.24909873
2.88000000,1.24932013
2.90000000,1.24932013
2.92000000,1.33362946
2.94000000,1.24932013
2.96000000,1.24932013
2.98000000,1.24935980
3.00000000,1.24935980
3.02000000,1.24935980
3.04000000,1.24935980
3.06000000,1.24935980
3.08000000,1.24991415
3.10000000,1.24991415
3.12000000,1.24991415
3.14000000,1.24991415
3.16000000,1.24991415
3.18000000,1.24996455
3.20000000,1.24996455
3.22000000,1.24996455
3.24000000,1.24996455
3.26000000,1.24996455
3.28000000,1.24996455
3.30000000,1.24996455
3.32000000,1.24996455
3.34000000,1.24996455
3.36000000,1.24996455
3.38000000,1.25006534
3.40000000,1.25006534
3.42000000,1.25006534
3.44000000,1.35115911
3.46000000,1.25006534
3.48000000,1.25167800
3.50000000,1.25167800
3.52000000,1.25167800
3.54000000,1.25167800
3.56000000,1.25167800
3.58000000,1.25087167
3.60000000,1.25087167
3.62000000,1.25087167
3.64000000,1.25087167
3.66000000,1.25087167
3.68000000,1.25008270
3.70000000,1.25008270
3.72000000,1.25008270
3.74000000,1.34240891
3.76000000,1.25008270
3.78000000,1.24785783
3.80000000,1.24785783
3.82000000,1.24785783
3.84000000,1.24785783
3.86000000,1.24785783
3.88000000,1.24874514
3.90000000,1.24874514
3.92000000,1.24874514
3.94000000,1.24874514
3.96000000,1.24874514
3.98000000,1.24956219
4.00000000,1.24956219
4.02000000,1.24956219
4.04000000,1.24956219
4.06000000,1.24956219
4.08000000,1.24905825
4.10000000,1.24905825
4.12000000,1.24905825
4.14000000,1.24905825
4.16000000,1.24905825
4.18000000,1.24997526
4.20000000,1.24997526
4.22000000,1.24997526
4.24000000,1.24997526
4.26000000,1.36366435
4.28000000,1.25098314
4.30000000,1.25098314
4.32000000,1.25098314
4.34000000,1.25098314
4.36000000,1.25098314
4.38000000,1.25111372
4.40000000,1.25111372
4.42000000,1.25111372
4.44000000,1.25111372
4.46000000,1.25111372
4.48000000,1.24960186
4.50000000,1.24960186
4.52000000,1.24960186
4.54000000,1.24960186
4.56000000,1.37498537
4.58000000,1.36620574
4.60000000,1.36620574
4.62000000,1.36494587
4.64000000,1.36620574
4.66000000,1.36993496
4.68000000,1.26138468
4.70000000,1.26138468
4.72000000,1.26138468
4.74000000,1.26138468
4.76000000,1.26138468
4.78000000,1.26102192
4.80000000,1.26102192
4.82000000,1.26102192
4.84000000,1.26102192
4.86000000,1.26102192
4.88000000,1.25998368
4.90000000,1.25998368
4.92000000,1.25998368
4.94000000,1.25998368
4.96000000,1.25998368
4.98000000,1.25899580
5.00000000,1.25899580
5.02000000,1.25899580
5.04000000,1.25899580
5.06000000,1.25899580
5.08000000,1.25904619
5.10000000,1.25904619
5.12000000,1.25904619
5.14000000,1.25904619
5.16000000,1.25904619
5.18000000,1.37111865
5.20000000,1.25889544
5.22000000,1.25889544
5.24000000,1.25889544
5.26000000,1.25889544
5.28000000,1.25873677
5.30000000,1.25873677
5.32000000,1.25873677
5.34000000,1.25873677
5.36000000,1.25873677
5.38000000,1.36733924
5.40000000,1.25798838
5.42000000,1.25798838
5.44000000,1.25798838
5.46000000,1.25798838
5.48000000,1.37488987
5.50000000,1.25788011
5.52000000,1.25788011
5.54000000,1.25788011
5.56000000,1.25788011
5.58000000,1.25803878
5.60000000,1.25803878
5.62000000,1.25803878
5.64000000,1.25803878
5.66000000,1.25803878
5.68000000,1.24654846
5.70000000,1.24654846
5.72000000,1.24654846
5.74000000,1.24654846
5.76000000,1.24654846
5.78000000,1.24734486
5.80000000,1.24734486
5.82000000,1.24734486
5.84000000,1.24734486
5.86000000,1.24734486
5.88000000,1.24776782
5.90000000,1.24776782
5.92000000,1.24776782
5.94000000,1.24776782
5.96000000,1.24776782
5.98000000,1.24791900
6.00000000,1.24791900
6.02000000,1.24791900
6.04000000,1.24791900
6.06000000,1.24791900
6.08000000,1.24782812
6.10000000,1.24782812
6.12000000,1.24782812
6.14000000,1.24782812
6.16000000,1.24782812
6.18000000,1.24789832
6.20000000,1.37499628
6.22000000,1.24789832
6.24000000,1.24789832
6.26000000,1.24789832
6.28000000,1.24694081
6.30000000,1.37620578
6.32000000,1.24694081
6.34000000,1.24694081
6.36000000,1.24694081
6.38000000,1.24719278
6.40000000,1.24719278
6.42000000,1.24719278
6.44000000,1.24719278
6.46000000,1.24719278
6.48000000,1.24791900
6.50000000,1.24791900
6.52000000,1.24791900
6.54000000,1.24791900
6.56000000,1.24791900
6.58000000,1.24778763
6.60000000,1.24778763
6.62000000,1.24778763
