# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.1582716125, P max: 1.8397068228
Time,Power
0.00000000,1.30164862
0.02000000,1.29798054
0.04000000,1.29672125
0.06000000,1.30170806
0.08000000,1.30296735
0.10000000,1.30422665
0.12000000,1.29928111
0.14000000,1.29928111
0.16000000,1.29802177
0.18000000,1.40385628
0.20000000,1.40385628
0.22000000,1.39534543
0.24000000,1.39534543
0.26000000,1.39534543
0.28000000,1.39534543
0.30000000,1.39534543
0.32000000,1.39540689
0.34000000,1.39540689
0.36000000,1.39540689
0.38000000,1.39540689
0.40000000,1.39540689
0.42000000,1.39555802
0.44000000,1.39555802
0.46000000,1.39555802
0.48000000,1.39555802
0.50000000,1.39555802
0.52000000,1.39598923
0.54000000,1.39598923
0.56000000,1.39598923
0.58000000,1.39598923
0.60000000,1.39598923
0.62000000,1.39642320
0.64000000,1.39642320
0.66000000,1.39642320
0.68000000,1.39642320
0.70000000,1.39642320
0.72000000,1.39646248
0.74000000,1.39646248
0.76000000,1.39646248
0.78000000,1.39646248
0.80000000,1.39646248
0.82000000,1.39687148
0.84000000,1.39687148
0.86000000,1.39687148
0.88000000,1.39687148
0.90000000,1.39687148
0.92000000,1.39712933
0.94000000,1.39712933
0.96000000,1.39712933
0.98000000,1.39712933
1.00000000,1.39712933
1.02000000,1.40618220
1.04000000,1.40618220
1.06000000,1.40618220
1.08000000,1.40618220
1.10000000,1.40618220
1.12000000,1.41800155
1.14000000,1.41800155
1.16000000,1.41800155
1.18000000,1.41800155
1.20000000,1.41800155
1.22000000,1.42835707
1.24000000,1.42835707
1.26000000,1.42835707
1.28000000,1.42835707
1.30000000,1.49680338
1.32000000,1.42884156
1.34000000,1.42884156
1.36000000,1.42884156
1.38000000,1.42884156
1.40000000,1.50056318
1.42000000,1.42899266
1.44000000,1.42899266
1.46000000,1.42899266
1.48000000,1.42899266
1.50000000,1.50056318
1.52000000,1.42979852
1.54000000,1.42979852
1.56000000,1.42979852
1.58000000,1.42979852
1.60000000,1.42979852
1.62000000,1.43041428
1.64000000,1.43041428
1.66000000,1.43041428
1.68000000,1.43041428
1.70000000,1.43041428
1.72000000,1.43123151
1.74000000,1.43123151
1.76000000,1.43123151
1.78000000,1.43123151
1.80000000,1.43123151
1.82000000,1.43218849
1.84000000,1.43218849
1.86000000,1.43218849
1.88000000,1.43218849
1.90000000,1.43218849
1.92000000,1.43301712
1.94000000,1.43301712
1.96000000,1.43301712
1.98000000,1.43301712
2.00000000,1.43301712
2.02000000,1.43400828
2.04000000,1.43400828
2.06000000,1.43400828
2.08000000,1.43400828
2.10000000,1.43400828
2.12000000,1.43487595
2.14000000,1.43487595
2.16000000,1.43487595
2.18000000,1.43487595
2.20000000,1.43487595
2.22000000,1.43394652
2.24000000,1.43394652
2.26000000,1.43394652
2.28000000,1.43394652
2.30000000,1.43394652
2.32000000,1.43470205
2.34000000,1.43470205
2.36000000,1.43470205
2.38000000,1.43470205
2.40000000,1.43470205
2.42000000,1.43549655
2.44000000,1.43549655
2.46000000,1.43549655
2.48000000,1.43549655
2.50000000,1.43549655
2.52000000,1.43564289
2.54000000,1.43564289
2.56000000,1.43564289
2.58000000,1.43564289
2.60000000,1.43564289
2.62000000,1.43555070
2.64000000,1.43555070
2.66000000,1.43555070
2.68000000,1.43555070
2.70000000,1.43555070
2.72000000,1.43711218
2.74000000,1.43711218
2.76000000,1.43711218
2.78000000,1.43711218
2.80000000,1.43711218
2.82000000,1.43720436
2.84000000,1.43720436
2.86000000,1.43720436
2.88000000,1.43720436
2.90000000,1.43720436
2.92000000,1.43730510
2.94000000,1.43730510
2.96000000,1.43730510
2.98000000,1.43730510
3.00000000,1.43730510
3.02000000,1.43744479
3.04000000,1.43744479
3.06000000,1.43744479
3.08000000,1.43744479
3.10000000,1.43744479
3.12000000,1.43753411
3.14000000,1.50236715
3.16000000,1.43753411
3.18000000,1.43753411
3.20000000,1.43753411
3.22000000,1.43823174
3.24000000,1.43823174
3.26000000,1.43823174
3.28000000,1.30797337
3.30000000,1.31044153
3.32000000,1.31046234
3.34000000,1.30920306
3.36000000,1.30920306
3.38000000,1.30799414
3.40000000,1.30920306
3.42000000,1.31177371
3.44000000,1.30678674
3.46000000,1.42133585
3.48000000,1.42133585
3.50000000,1.42133585
3.52000000,1.41828560
3.54000000,1.41828560
3.56000000,1.30680750
3.58000000,1.31053519
3.60000000,1.31053519
3.62000000,1.31058462
3.64000000,1.31310342
3.66000000,1.58850956
3.68000000,1.32060946
3.70000000,1.32559670
3.72000000,1.31061584
3.74000000,1.31187527
3.76000000,1.48713790
3.78000000,1.32190035
3.80000000,1.31313470
3.82000000,1.39003458
3.84000000,1.31194558
3.86000000,1.39003458
3.88000000,1.31194558
3.90000000,1.31446458
3.92000000,1.37847341
3.94000000,1.31075892
3.96000000,1.37847341
3.98000000,1.31952553
4.00000000,1.30703060
4.02000000,1.36824691
4.04000000,1.30582027
4.06000000,1.36824691
4.08000000,1.30833950
4.10000000,1.30707989
4.12000000,1.35649997
4.14000000,1.35649997
4.16000000,1.35649997
4.18000000,1.35649997
4.20000000,1.30586174
4.22000000,1.34425640
4.24000000,1.34425640
4.26000000,1.34425640
4.28000000,1.42482713
4.30000000,1.34425640
4.32000000,1.33776694
4.34000000,1.33776694
4.36000000,1.33776694
4.38000000,1.33776694
4.40000000,1.33776694
4.42000000,1.33757601
4.44000000,1.33757601
4.46000000,1.33757601
4.48000000,1.33757601
4.50000000,1.33757601
4.52000000,1.33202264
4.54000000,1.33202264
4.56000000,1.33202264
4.58000000,1.43864492
4.60000000,1.42987730
4.62000000,1.44365631
4.64000000,1.43362882
4.66000000,1.43614829
4.68000000,1.43241947
4.70000000,1.33108639
4.72000000,1.33567183
4.74000000,1.33567183
4.76000000,1.33567183
4.78000000,1.44118723
4.80000000,1.33567183
4.82000000,1.33431131
4.84000000,1.33431131
4.86000000,1.33431131
4.88000000,1.33431131
4.90000000,1.33431131
4.92000000,1.33450228
4.94000000,1.33450228
4.96000000,1.33450228
4.98000000,1.33450228
5.00000000,1.33450228
5.02000000,1.33298002
