# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.032050565, P max: 1.690969905
Time,Power
0.00000000,1.26379730
0.02000000,1.26379730
0.04000000,1.18110871
0.06000000,1.16981781
0.08000000,1.18483873
0.10000000,1.33015866
0.12000000,1.25132398
0.14000000,1.24091835
0.16000000,1.24091835
0.18000000,1.24091835
0.20000000,1.24091835
0.22000000,1.17619320
0.24000000,1.23118541
0.26000000,1.23118541
0.28000000,1.33780446
0.30000000,1.42425916
0.32000000,1.31148997
0.34000000,1.23083253
0.36000000,1.23083253
0.38000000,1.16494549
0.40000000,1.23083253
0.42000000,1.23083253
0.44000000,1.23206195
0.46000000,1.38793492
0.48000000,1.31151079
0.50000000,1.28519588
0.52000000,1.23206195
0.54000000,1.23171884
0.56000000,1.23171884
0.58000000,1.18125633
0.60000000,1.23171884
0.62000000,1.23171884
0.64000000,1.34532636
0.66000000,1.33907536
0.68000000,1.23174970
0.70000000,1.14615132
0.72000000,1.16495473
0.74000000,1.22811840
0.76000000,1.22811840
0.78000000,1.22811840
0.80000000,1.22811840
0.82000000,1.38797898
0.84000000,1.22757116
0.86000000,1.22757116
0.88000000,1.22757116
0.90000000,1.17504019
0.92000000,1.16999883
0.94000000,1.22778256
0.96000000,1.22778256
0.98000000,1.22778256
1.00000000,1.22778256
1.02000000,1.22778256
1.04000000,1.22765079
1.06000000,1.22765079
1.08000000,1.22765079
1.10000000,1.22765079
1.12000000,1.33664759
1.14000000,1.22735804
1.16000000,1.34290968
1.18000000,1.29405735
1.20000000,1.22735804
1.22000000,1.22735804
1.24000000,1.17257533
1.26000000,1.22702461
1.28000000,1.22702461
1.30000000,1.22702461
1.32000000,1.22702461
1.34000000,1.37679290
1.36000000,1.22826383
1.38000000,1.22826383
1.40000000,1.17759454
1.42000000,1.22826383
1.44000000,1.22740673
1.46000000,1.17008238
1.48000000,1.22740673
1.50000000,1.30162085
1.52000000,1.22740673
1.54000000,1.22672211
1.56000000,1.15377016
1.58000000,1.22672211
1.60000000,1.16879413
1.62000000,1.17257533
1.64000000,1.22735632
1.66000000,1.22735632
1.68000000,1.38808635
1.70000000,1.22735632
1.72000000,1.22735632
1.74000000,1.39059618
1.76000000,1.22734658
1.78000000,1.22734658
1.80000000,1.16760267
1.82000000,1.22734658
1.84000000,1.22916158
1.86000000,1.22916158
1.88000000,1.29283800
1.90000000,1.22916158
1.92000000,1.15756973
1.94000000,1.22867859
1.96000000,1.22867859
1.98000000,1.22867859
2.00000000,1.22867859
2.02000000,1.34292034
2.04000000,1.53962979
2.06000000,1.22952590
2.08000000,1.22952590
2.10000000,1.22952590
2.12000000,1.17129634
2.14000000,1.23067568
2.16000000,1.23067568
2.18000000,1.23067568
2.20000000,1.33291690
2.22000000,1.28280459
2.24000000,1.23074563
2.26000000,1.16006296
2.28000000,1.23074563
2.30000000,1.23074563
2.32000000,1.17634719
2.34000000,1.23093752
2.36000000,1.23093752
2.38000000,1.34043934
2.40000000,1.30535036
2.42000000,1.17255672
2.44000000,1.17382641
2.46000000,1.16757488
2.48000000,1.17382641
2.50000000,1.23059438
2.52000000,1.23059438
2.54000000,1.23184500
2.56000000,1.33418785
2.58000000,1.23184500
2.60000000,1.23184500
2.62000000,1.17633786
2.64000000,1.23142213
2.66000000,1.16754709
2.68000000,1.23142213
2.70000000,1.23142213
2.72000000,1.29655754
2.74000000,1.23122048
2.76000000,1.23122048
2.78000000,1.14496144
2.80000000,1.23122048
2.82000000,1.23122048
2.84000000,1.23026260
2.86000000,1.32413422
2.88000000,1.23026260
2.90000000,1.36421366
2.92000000,1.09989096
2.94000000,1.06607136
2.96000000,1.07610391
2.98000000,1.12369548
3.00000000,1.15878418
3.02000000,1.05729919
3.04000000,1.16881267
3.06000000,1.21933031
3.08000000,1.21933031
3.10000000,1.38807534
3.12000000,1.28532590
3.14000000,1.21710231
3.16000000,1.27780366
3.18000000,1.21710231
3.20000000,1.21710231
3.22000000,1.21710231
3.24000000,1.21764934
3.26000000,1.21764934
3.28000000,1.38300726
3.30000000,1.27149149
3.32000000,1.21764934
3.34000000,1.15621986
3.36000000,1.21827814
3.38000000,1.30403048
3.40000000,1.21827814
3.42000000,1.21827814
3.44000000,1.29899838
3.46000000,1.37915235
3.48000000,1.29773810
3.50000000,1.21944935
3.52000000,1.21944935
3.54000000,1.16367598
3.56000000,1.21937958
3.58000000,1.21937958
3.60000000,1.21937958
3.62000000,1.21937958
3.64000000,1.39042241
3.66000000,1.21912753
3.68000000,1.36284787
3.70000000,1.21912753
3.72000000,1.21912753
3.74000000,1.21928844
3.76000000,1.21928844
3.78000000,1.36784936
3.80000000,1.21928844
3.82000000,1.21928844
3.84000000,1.21903638
3.86000000,1.16494549
3.88000000,1.21903638
3.90000000,1.21903638
3.92000000,1.21903638
3.94000000,1.21822014
3.96000000,1.21822014
3.98000000,1.33527332
4.00000000,1.29897776
4.02000000,1.21822014
4.04000000,1.17863518
4.06000000,1.16613405
4.08000000,1.22919420
4.10000000,1.17490500
4.12000000,1.22919420
4.14000000,1.23089830
4.16000000,1.38529617
4.18000000,1.23089830
4.20000000,1.23089830
4.22000000,1.23089830
4.24000000,1.22989991
4.26000000,1.22989991
4.28000000,1.16739424
4.30000000,1.22989991
4.32000000,1.22989991
4.34000000,1.22898282
4.36000000,1.22898282
4.38000000,1.22898282
4.40000000,1.17237531
4.42000000,1.22898282
4.44000000,1.22720882
4.46000000,1.22720882
4.48000000,1.22720882
4.50000000,1.48423412
4.52000000,1.28633623
4.54000000,1.22691612
4.56000000,1.22691612
4.58000000,1.22691612
4.60000000,1.29012700
4.62000000,1.17111512
4.64000000,1.22757141
4.66000000,1.22757141
4.68000000,1.38403598
4.70000000,1.35026302
4.72000000,1.22757141
4.74000000,1.22795518
4.76000000,1.22795518
4.78000000,1.22795518
4.80000000,1.17361687
4.82000000,1.22795518
4.84000000,1.22974054
4.86000000,1.36523026
4.88000000,1.30257635
4.90000000,1.22974054
4.92000000,1.14979758
4.94000000,1.17106866
4.96000000,1.17610920
4.98000000,1.23014379
5.00000000,1.23014379
5.02000000,1.23014379
5.04000000,1.37647066
5.06000000,1.23024460
5.08000000,1.23024460
5.10000000,1.23024460
5.12000000,1.33891864
5.14000000,1.17731893
5.16000000,1.23084946
5.18000000,1.23084946
5.20000000,1.23084946
5.22000000,1.23084946
5.24000000,1.23083969
5.26000000,1.15981905
5.28000000,1.23083969
5.30000000,1.23083969
5.32000000,1.29253541
5.34000000,1.23166572
5.36000000,1.23166572
5.38000000,1.34517958
5.40000000,1.29507622
5.42000000,1.32637822
5.44000000,1.16854839
5.46000000,1.15856812
5.48000000,1.23170635
5.50000000,1.23170635
5.52000000,1.23170635
5.54000000,1.23269734
5.56000000,1.40024257
5.58000000,1.23269734
5.60000000,1.23269734
5.62000000,1.23269734
5.64000000,1.23213311
5.66000000,1.23213311
5.68000000,1.17104310
5.70000000,1.23213311
5.72000000,1.30884846
5.74000000,1.23406950
5.76000000,1.23406950
5.78000000,1.14223505
5.80000000,1.23406950
5.82000000,1.16602532
5.84000000,1.17101522
5.86000000,1.23265821
5.88000000,1.23265821
5.90000000,1.39898844
5.92000000,1.23265821
5.94000000,1.23172163
5.96000000,1.23172163
5.98000000,1.23172163
6.00000000,1.23172163
6.02000000,1.17098734
6.04000000,1.23230690
6.06000000,1.23230690
6.08000000,1.32751457
6.10000000,1.23230690
6.12000000,1.23230690
6.14000000,1.16469360
6.16000000,1.23197760
6.18000000,1.23197760
6.20000000,1.17220320
6.22000000,1.23197760
6.24000000,1.43146080
6.26000000,1.23152400
6.28000000,1.34129520
6.30000000,1.16842320
6.32000000,1.23152400
6.34000000,1.23139388
6.36000000,1.18094468
6.38000000,1.23139388
6.40000000,1.23139388
6.42000000,1.23139388
6.44000000,1.40258747
