# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9832545468, P max: 1.6863172185999997
Time,Power
0.00000000,1.24043132
0.02000000,1.24043132
0.04000000,1.36260455
0.06000000,1.22830239
0.08000000,1.16479297
0.10000000,1.15854284
0.12000000,1.17356332
0.14000000,1.22830239
0.16000000,1.22578217
0.18000000,1.37770073
0.20000000,1.22578217
0.22000000,1.16227275
0.24000000,1.15980294
0.26000000,1.17357263
0.28000000,1.22614473
0.30000000,1.30255826
0.32000000,1.44036471
0.34000000,1.22614473
0.36000000,1.17483275
0.38000000,1.31258879
0.40000000,1.16732245
0.42000000,1.22543907
0.44000000,1.22543907
0.46000000,1.39776164
0.48000000,1.28001720
0.50000000,1.17482342
0.52000000,1.22542934
0.54000000,1.17104310
0.56000000,1.22646837
0.58000000,1.22646837
0.60000000,1.22646837
0.62000000,1.22646837
0.64000000,1.22646837
0.66000000,1.22692200
0.68000000,1.36391871
0.70000000,1.22692200
0.72000000,1.22692200
0.74000000,1.22692200
0.76000000,1.16727613
0.78000000,1.36263699
0.80000000,1.22745695
0.82000000,1.22745695
0.84000000,1.22745695
0.86000000,1.22590420
0.88000000,1.22590420
0.90000000,1.22590420
0.92000000,1.22590420
0.94000000,1.22590420
0.96000000,1.22524896
0.98000000,1.22524896
1.00000000,1.22524896
1.02000000,1.22524896
1.04000000,1.22524896
1.06000000,1.22661958
1.08000000,1.15600427
1.10000000,1.22661958
1.12000000,1.22661958
1.14000000,1.22661958
1.16000000,1.29375704
1.18000000,1.22636756
1.20000000,1.22636756
1.22000000,1.15726436
1.24000000,1.22636756
1.26000000,1.22745695
1.28000000,1.22745695
1.30000000,1.37765700
1.32000000,1.22745695
1.34000000,1.15099606
1.36000000,1.16226353
1.38000000,1.16352363
1.40000000,1.22708295
1.42000000,1.22708295
1.44000000,1.39775055
1.46000000,1.22577244
1.48000000,1.14099308
1.50000000,1.22577244
1.52000000,1.16478373
1.54000000,1.22577244
1.56000000,1.22476437
1.58000000,1.43283167
1.60000000,1.35888914
1.62000000,1.15601345
1.64000000,1.22476437
1.66000000,1.17106866
1.68000000,1.22490163
1.70000000,1.22490163
1.72000000,1.37274066
1.74000000,1.28382554
1.76000000,1.22334877
1.78000000,1.22334877
1.80000000,1.22334877
1.82000000,1.22334877
1.84000000,1.22334877
1.86000000,1.22478929
1.88000000,1.22478929
1.90000000,1.22478929
1.92000000,1.22478929
1.94000000,1.22478929
1.96000000,1.22551443
1.98000000,1.22551443
2.00000000,1.22551443
2.02000000,1.22551443
2.04000000,1.22551443
2.06000000,1.22586729
2.08000000,1.22586729
2.10000000,1.01203740
2.12000000,0.99701588
2.14000000,0.98325455
2.16000000,1.01208358
2.18000000,1.05468011
2.20000000,1.21185880
2.22000000,1.21185880
2.24000000,1.21185880
2.26000000,1.20686567
2.28000000,1.20686567
2.30000000,1.20686567
2.32000000,1.20686567
2.34000000,1.20686567
2.36000000,1.20694734
2.38000000,1.20694734
2.40000000,1.26890283
2.42000000,1.33529451
2.44000000,1.20694734
2.46000000,1.20810432
2.48000000,1.20810432
2.50000000,1.20810432
2.52000000,1.35415165
2.54000000,1.35793265
2.56000000,1.20705282
2.58000000,1.20705282
2.60000000,1.20705282
2.62000000,1.20705282
2.64000000,1.20705282
2.66000000,1.20813068
2.68000000,1.35917222
2.70000000,1.30406928
2.72000000,1.15000288
2.74000000,1.20813068
2.76000000,1.20754977
2.78000000,1.20754977
2.80000000,1.20754977
2.82000000,1.43682946
2.84000000,1.26522259
2.86000000,1.20723772
2.88000000,1.20723772
2.90000000,1.20723772
2.92000000,1.20723772
2.94000000,1.30150984
2.96000000,1.40802112
2.98000000,1.27523460
3.00000000,1.20616948
3.02000000,1.20616948
3.04000000,1.20616948
3.06000000,1.20687525
3.08000000,1.27271398
3.10000000,1.29524836
3.12000000,1.20687525
3.14000000,1.32408431
3.16000000,1.21584120
3.18000000,1.21584120
3.20000000,1.21584120
3.22000000,1.21584120
3.24000000,1.43799851
3.26000000,1.22849824
3.28000000,1.22849824
3.30000000,1.22849824
3.32000000,1.22849824
3.34000000,1.32019076
3.36000000,1.28137644
3.38000000,1.28636686
3.40000000,1.22834702
3.42000000,1.22834702
3.44000000,1.28510665
3.46000000,1.22816656
3.48000000,1.22816656
3.50000000,1.22816656
3.52000000,1.29636723
3.54000000,1.22816656
3.56000000,1.22919420
3.58000000,1.22919420
3.60000000,1.22919420
3.62000000,1.22919420
3.64000000,1.22919420
3.66000000,1.22939583
3.68000000,1.22939583
3.70000000,1.22939583
3.72000000,1.17490500
3.74000000,1.22939583
3.76000000,1.23034382
3.78000000,1.23034382
3.80000000,1.23034382
3.82000000,1.17237531
3.84000000,1.23034382
3.86000000,1.23056498
3.88000000,1.16987351
3.90000000,1.23056498
3.92000000,1.23056498
3.94000000,1.23056498
3.96000000,1.29019610
3.98000000,1.22975439
4.00000000,1.17243811
4.02000000,1.16240650
4.04000000,1.22975439
4.06000000,1.22979504
4.08000000,1.22979504
4.10000000,1.22979504
4.12000000,1.17867961
4.14000000,1.17116856
4.16000000,1.30523902
4.18000000,1.22987473
4.20000000,1.38040167
4.22000000,1.22987473
4.24000000,1.22987473
4.26000000,1.22702078
4.28000000,1.16118310
4.30000000,1.16748456
4.32000000,1.22702078
4.34000000,1.34911792
4.36000000,1.30905100
4.38000000,1.22622392
4.40000000,1.22622392
4.42000000,1.16119231
4.44000000,1.16497322
4.46000000,1.22710040
4.48000000,1.33911786
4.50000000,1.22710040
4.52000000,1.22710040
4.54000000,1.22710040
4.56000000,1.22605875
4.58000000,1.17125917
4.60000000,1.22605875
4.62000000,1.34538774
4.64000000,1.22605875
4.66000000,1.22496909
4.68000000,1.22496909
4.70000000,1.22496909
4.72000000,1.22496909
4.74000000,1.22496909
4.76000000,1.32914633
4.78000000,1.30156922
4.80000000,1.22377856
4.82000000,1.22377856
4.84000000,1.22377856
4.86000000,1.22437383
4.88000000,1.22437383
4.90000000,1.29530746
4.92000000,1.29404709
4.94000000,1.22437383
4.96000000,1.22511061
4.98000000,1.31409132
5.00000000,1.22511061
5.02000000,1.22511061
5.04000000,1.29654725
5.06000000,1.27899303
5.08000000,1.22525213
5.10000000,1.22525213
5.12000000,1.22525213
5.14000000,1.22525213
5.16000000,1.22549691
5.18000000,1.22549691
5.20000000,1.22549691
5.22000000,1.16873153
5.24000000,1.22549691
5.26000000,1.22563842
5.28000000,1.16625203
5.30000000,1.22563842
5.32000000,1.22563842
5.34000000,1.22563842
5.36000000,1.22475225
5.38000000,1.22475225
5.40000000,1.22475225
5.42000000,1.16496398
5.44000000,1.22475225
5.46000000,1.22461256
5.48000000,1.22461256
5.50000000,1.22461256
5.52000000,1.22461256
5.54000000,1.15615564
5.56000000,1.16864808
5.58000000,1.22500612
5.60000000,1.37033728
5.62000000,1.22500612
5.64000000,1.22500612
5.66000000,1.22554361
5.68000000,1.16238113
5.70000000,1.16616181
5.72000000,1.22554361
5.74000000,1.35403615
5.76000000,1.22536321
5.78000000,1.22536321
5.80000000,1.34523296
5.82000000,1.16235346
5.84000000,1.16361366
5.86000000,1.22667381
5.88000000,1.34024259
5.90000000,1.22667381
5.92000000,1.22667381
5.94000000,1.22667381
5.96000000,1.22521199
5.98000000,1.16986422
6.00000000,1.22521199
6.02000000,1.32270067
6.04000000,1.22521199
6.06000000,1.22553388
6.08000000,1.22553388
6.10000000,1.22553388
6.12000000,1.22553388
6.14000000,1.22553388
6.16000000,1.29262773
6.18000000,1.30139883
6.20000000,1.22447530
6.22000000,1.22447530
6.24000000,1.22447530
6.26000000,1.22520776
6.28000000,1.22520776
6.30000000,1.22520776
6.32000000,1.30142722
6.34000000,1.22520776
6.36000000,1.22541912
6.38000000,1.22541912
6.40000000,1.22541912
6.42000000,1.22541912
6.44000000,1.29392645
6.46000000,1.28397581
6.48000000,1.22585158
6.50000000,1.22585158
6.52000000,1.31276066
6.54000000,1.32153223
6.56000000,1.23106505
6.58000000,1.23106505
6.60000000,1.29392645
6.62000000,1.23106505
6.64000000,1.23106505
6.66000000,1.17118715
6.68000000,1.17743805
6.70000000,1.23137728
6.72000000,1.37913046
6.74000000,1.23137728
6.76000000,1.16620576
6.78000000,1.17497726
6.80000000,1.17744739
6.82000000,1.23042925
6.84000000,1.23042925
6.86000000,1.22997555
6.88000000,1.22997555
6.90000000,1.22997555
6.92000000,1.22997555
6.94000000,1.16746603
6.96000000,1.16993617
6.98000000,1.23088295
7.00000000,1.36033814
7.02000000,1.33654419
7.04000000,1.23088295
7.06000000,1.23183098
7.08000000,1.15490456
7.10000000,1.17622820
7.12000000,1.23183098
7.14000000,1.35407644
7.16000000,1.23156915
7.18000000,1.23156915
7.20000000,1.09979715
7.22000000,1.07096257
7.24000000,1.07600358
7.26000000,1.06602273
7.28000000,1.04222803
7.30000000,1.22300725
7.32000000,1.08104565
7.34000000,1.05599064
7.36000000,1.10489076
7.38000000,1.20990479
7.40000000,1.20990479
7.42000000,1.20990479
7.44000000,1.20990479
7.46000000,1.20623408
7.48000000,1.39302239
7.50000000,1.29032663
7.52000000,1.20623408
7.54000000,1.32163447
7.56000000,1.20412619
7.58000000,1.20412619
7.60000000,1.20412619
7.62000000,1.35920458
7.64000000,1.37049767
7.66000000,1.25651797
7.68000000,1.20136286
7.70000000,1.20136286
7.72000000,1.20136286
7.74000000,1.20136286
7.76000000,1.35048268
7.78000000,1.20256331
7.80000000,1.20256331
7.82000000,1.20256331
7.84000000,1.20256331
7.86000000,1.20332909
7.88000000,1.20332909
7.90000000,1.35170338
7.92000000,1.20332909
7.94000000,1.20332909
7.96000000,1.20261101
7.98000000,1.20261101
8.00000000,1.20261101
8.02000000,1.20261101
8.04000000,1.33672183
8.06000000,1.20221483
8.08000000,1.20221483
8.10000000,1.20221483
8.12000000,1.20221483
8.14000000,1.20221483
8.16000000,1.20231566
8.18000000,1.33925068
8.20000000,1.20231566
8.22000000,1.20231566
8.24000000,1.20231566
8.26000000,1.20823861
8.28000000,1.20823861
8.30000000,1.20823861
8.32000000,1.31290389
8.34000000,1.30287095
8.36000000,1.35671268
8.38000000,1.22144977
8.40000000,1.22144977
8.42000000,1.22144977
8.44000000,1.22144977
8.46000000,1.45439349
8.48000000,1.29780760
8.50000000,1.22732883
8.52000000,1.22732883
8.54000000,1.22732883
8.56000000,1.22787194
8.58000000,1.22787194
8.60000000,1.28655570
8.62000000,1.31786378
8.64000000,1.22787194
8.66000000,1.22785245
8.68000000,1.17380779
8.70000000,1.22785245
8.72000000,1.22785245
8.74000000,1.27902348
8.76000000,1.32661505
8.78000000,1.22709623
8.80000000,1.22709623
8.82000000,1.22709623
8.84000000,1.22709623
8.86000000,1.22754023
8.88000000,1.38422818
8.90000000,1.29781790
8.92000000,1.22754023
8.94000000,1.22754023
8.96000000,1.22770121
8.98000000,1.17506816
9.00000000,1.22770121
9.02000000,1.39180138
9.04000000,1.22770121
9.06000000,1.22695472
9.08000000,1.35798383
9.10000000,1.22695472
9.12000000,1.22695472
9.14000000,1.22695472
9.16000000,1.39055205
9.18000000,1.34169972
9.20000000,1.22866884
9.22000000,1.31785333
9.24000000,1.22866884
9.26000000,1.23099928
9.28000000,1.32537354
9.30000000,1.38299629
9.32000000,1.23099928
9.34000000,1.23099928
9.36000000,1.23070657
9.38000000,1.23070657
9.40000000,1.17252881
9.42000000,1.23070657
9.44000000,1.41683506
9.46000000,1.23079763
9.48000000,1.13869198
9.50000000,1.23079763
9.52000000,1.23079763
9.54000000,1.23079763
9.56000000,1.23139527
9.58000000,1.38923931
9.60000000,1.23139527
9.62000000,1.13616454
9.64000000,1.23139527
9.66000000,1.23088137
9.68000000,1.23088137
9.70000000,1.23088137
9.72000000,1.38297709
9.74000000,1.23088137
9.76000000,1.14618769
9.78000000,1.23123426
9.80000000,1.17376355
9.82000000,1.23123426
9.84000000,1.23123426
9.86000000,1.36417307
9.88000000,1.23037724
9.90000000,1.23037724
9.92000000,1.23037724
9.94000000,1.17628420
9.96000000,1.23056912
9.98000000,1.23056912
10.00000000,1.52825494
10.02000000,1.23056912
10.04000000,1.17627486
10.06000000,1.23192049
10.08000000,1.23192049
10.10000000,1.32654400
10.12000000,1.23192049
10.14000000,1.37040253
10.16000000,1.23143747
10.18000000,1.23143747
10.20000000,1.23143747
10.22000000,1.17497726
10.24000000,1.23143747
10.26000000,1.22999507
10.28000000,1.22999507
10.30000000,1.22999507
10.32000000,1.22999507
10.34000000,1.22999507
10.36000000,1.17872637
10.38000000,1.22944054
10.40000000,1.22944054
10.42000000,1.22944054
10.44000000,1.28146541
10.46000000,1.22946168
10.48000000,1.22946168
10.50000000,1.22946168
10.52000000,1.22946168
10.54000000,1.22946168
10.56000000,1.23007637
10.58000000,1.23007637
10.60000000,1.29772780
10.62000000,1.23007637
10.64000000,1.23007637
10.66000000,1.23051054
10.68000000,1.23051054
10.70000000,1.23051054
10.72000000,1.23051054
