# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0283742, P max: 1.529691222
Time,Power
0.00000000,1.16882195
0.02000000,1.22609589
0.04000000,1.22609589
0.06000000,1.22578366
0.08000000,1.17511477
0.10000000,1.22578366
0.12000000,1.39185660
0.14000000,1.17511477
0.16000000,1.10491706
0.18000000,1.14877898
0.20000000,1.22621795
0.22000000,1.35674498
0.24000000,1.22621795
0.26000000,1.22650099
0.28000000,1.30913150
0.30000000,1.22650099
0.32000000,1.30787112
0.34000000,1.22650099
0.36000000,1.22770121
0.38000000,1.31285181
0.40000000,1.22770121
0.42000000,1.32540509
0.44000000,1.22770121
0.46000000,1.22598711
0.48000000,1.28527491
0.50000000,1.22598711
0.52000000,1.39054101
0.54000000,1.22598711
0.56000000,1.22600834
0.58000000,1.22600834
0.60000000,1.22600834
0.62000000,1.34412740
0.64000000,1.22600834
0.66000000,1.22659627
0.68000000,1.22659627
0.70000000,1.22659627
0.72000000,1.22659627
0.74000000,1.22659627
0.76000000,1.22692969
0.78000000,1.22692969
0.80000000,1.22692969
0.82000000,1.35537972
0.84000000,1.22692969
0.86000000,1.22613282
0.88000000,1.17249392
0.90000000,1.22613282
0.92000000,1.30149951
0.94000000,1.16871299
0.96000000,1.22518471
0.98000000,1.22518471
1.00000000,1.48067729
1.02000000,1.30403048
1.04000000,1.13242497
1.06000000,1.16247106
1.08000000,1.17749411
1.10000000,1.22805824
1.12000000,1.28275624
1.14000000,1.15621986
1.16000000,1.22824603
1.18000000,1.17631920
1.20000000,1.39804173
1.22000000,1.22824603
1.24000000,1.28279441
1.26000000,1.22850785
1.28000000,1.16755635
1.30000000,1.32661505
1.32000000,1.22850785
1.34000000,1.16377524
1.36000000,1.17128705
1.38000000,1.22800370
1.40000000,1.40929532
1.42000000,1.22800370
1.44000000,1.08860678
1.46000000,1.15880257
1.48000000,1.22782152
1.50000000,1.33419844
1.52000000,1.22782152
1.54000000,1.22782152
1.56000000,1.17007309
1.58000000,1.22996825
1.60000000,1.33922146
1.62000000,1.22996825
1.64000000,1.22996825
1.66000000,1.23011950
1.68000000,1.23011950
1.70000000,1.11118627
1.72000000,1.07488618
1.74000000,1.05482029
1.76000000,1.08116145
1.78000000,1.05237283
1.80000000,1.22339034
1.82000000,1.28661439
1.84000000,1.22339034
1.86000000,1.21880024
1.88000000,1.21880024
1.90000000,1.21880024
1.92000000,1.21880024
1.94000000,1.21880024
1.96000000,1.21850947
1.98000000,1.21850947
2.00000000,1.21850947
2.02000000,1.52969122
2.04000000,1.21850947
2.06000000,1.16385604
2.08000000,1.21866073
2.10000000,1.21866073
2.12000000,1.50211241
2.14000000,1.21866073
2.16000000,1.22046611
2.18000000,1.22046611
2.20000000,1.22046611
2.22000000,1.38059336
2.24000000,1.22046611
2.26000000,1.22173093
2.28000000,1.16506334
2.30000000,1.22173093
2.32000000,1.29034710
2.34000000,1.22173093
2.36000000,1.22111625
2.38000000,1.22111625
2.40000000,1.22111625
2.42000000,1.22111625
2.44000000,1.22111625
2.46000000,1.22167082
2.48000000,1.16253332
2.50000000,1.22167082
2.52000000,1.22167082
2.54000000,1.22167082
2.56000000,1.22000710
2.58000000,1.16379371
2.60000000,1.22000710
2.62000000,1.22000710
2.64000000,1.10742907
2.66000000,1.21935170
2.68000000,1.21935170
2.70000000,1.21935170
2.72000000,1.30036957
2.74000000,1.10742907
2.76000000,1.16253332
2.78000000,1.22288079
2.80000000,1.33666880
2.82000000,1.28655570
2.84000000,1.28907648
2.86000000,1.28775734
2.88000000,1.31533341
2.90000000,1.30908216
2.92000000,1.23381510
2.94000000,1.34285907
2.96000000,1.23728380
2.98000000,1.18127507
3.00000000,1.23728380
3.02000000,1.23728380
3.04000000,1.23728380
3.06000000,1.23484052
3.08000000,1.23484052
3.10000000,1.38547755
3.12000000,1.23484052
3.14000000,1.14495235
3.16000000,1.17501455
3.18000000,1.23359387
3.20000000,1.34913933
3.22000000,1.23359387
3.24000000,1.23359387
3.26000000,1.17747542
3.28000000,1.23328161
3.30000000,1.33657601
3.32000000,1.23328161
3.34000000,1.23328161
3.36000000,1.17747542
3.38000000,1.23333203
3.40000000,1.23333203
3.42000000,1.23333203
3.44000000,1.23333203
3.46000000,1.30145821
3.48000000,1.23375637
3.50000000,1.35660773
