# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9930393865, P max: 1.8564035049999998
Time,Power
0.00000000,1.18427929
0.02000000,1.20181223
0.04000000,1.21435735
0.06000000,1.28821736
0.08000000,1.21441278
0.10000000,1.33644356
0.12000000,1.33644356
0.14000000,1.33644356
0.16000000,1.33644356
0.18000000,1.32459493
0.20000000,1.19313811
0.22000000,1.32459493
0.24000000,1.16436776
0.26000000,1.32459493
0.28000000,1.18820414
0.30000000,1.19823140
0.32000000,1.25456540
0.34000000,1.21450678
0.36000000,1.31276377
0.38000000,1.30134758
0.40000000,1.30134758
0.42000000,1.38610524
0.44000000,1.30134758
0.46000000,1.30134758
0.48000000,1.28992930
0.50000000,1.19705721
0.52000000,1.28992930
0.54000000,1.17700127
0.56000000,1.28992930
0.58000000,1.18959368
0.60000000,1.27788344
0.62000000,1.27788344
0.64000000,1.27788344
0.66000000,1.27788344
0.68000000,1.26609117
0.70000000,1.26609117
0.72000000,1.36622743
0.74000000,1.26609117
0.76000000,1.26609117
0.78000000,1.31613410
0.80000000,1.18586122
0.82000000,1.26553682
0.84000000,1.16711402
0.86000000,1.26553682
0.88000000,1.38126453
0.90000000,1.43760771
0.92000000,1.33867957
0.94000000,1.39628266
0.96000000,1.34492873
0.98000000,1.43755351
1.00000000,1.41376730
1.02000000,1.47010835
1.04000000,1.43755351
1.06000000,1.40247893
1.08000000,1.44126445
1.10000000,1.28635914
1.12000000,1.43496544
1.14000000,1.28635914
1.16000000,1.43249623
1.18000000,1.29703345
1.20000000,1.42366302
1.22000000,1.29703345
1.24000000,1.39735954
1.26000000,1.39982864
1.28000000,1.42360651
1.30000000,1.42481582
1.32000000,1.49117655
1.34000000,1.43736238
1.36000000,1.42108712
1.38000000,1.46359800
1.40000000,1.32226668
1.42000000,1.45357129
1.44000000,1.32226668
1.46000000,1.43603714
1.48000000,1.33346030
1.50000000,1.43851073
1.52000000,1.33346030
1.54000000,1.43473194
1.56000000,1.33346030
1.58000000,1.40342125
1.60000000,1.41969499
1.62000000,1.41843541
1.64000000,1.43224038
1.66000000,1.43848789
1.68000000,1.44095270
1.70000000,1.35737029
1.72000000,1.46221357
1.74000000,1.29696323
1.76000000,1.43465505
1.78000000,1.29943071
1.80000000,1.44210460
1.82000000,1.30567773
1.84000000,1.36920590
1.86000000,1.36920590
1.88000000,1.38163686
1.90000000,1.38163686
1.92000000,1.38163686
1.94000000,1.38163686
1.96000000,1.46460761
1.98000000,1.43452121
2.00000000,1.31936054
2.02000000,1.45457106
2.04000000,1.30686716
2.06000000,1.44706496
2.08000000,1.29435425
2.10000000,1.43455539
2.12000000,1.30563885
2.14000000,1.32563880
2.16000000,1.38362353
2.18000000,1.38446896
2.20000000,1.38446896
2.22000000,1.38446896
2.24000000,1.43580343
2.26000000,1.44582851
2.28000000,1.43831087
2.30000000,1.32440870
2.32000000,1.45458261
2.34000000,1.30934601
2.36000000,1.44082972
2.38000000,1.30059075
2.40000000,1.43706286
2.42000000,1.28557832
2.44000000,1.38341104
2.46000000,1.30814735
2.48000000,1.47460566
2.50000000,1.46337143
2.52000000,1.46961826
2.54000000,1.43707427
2.56000000,1.38422806
2.58000000,1.43708568
2.60000000,1.31940244
2.62000000,1.43834513
2.64000000,1.38323149
2.66000000,1.45834524
2.68000000,1.29437480
2.70000000,1.27558362
2.72000000,1.19926019
2.74000000,1.27311507
2.76000000,1.22802632
2.78000000,1.18801078
2.80000000,1.46968536
2.82000000,1.43089276
2.84000000,1.47467298
2.86000000,1.43713988
2.88000000,1.37063828
2.90000000,1.44091838
2.92000000,1.31446458
2.94000000,1.37063828
2.96000000,1.19677690
2.98000000,1.36372915
3.00000000,1.18306073
3.02000000,1.30448039
3.04000000,1.15802108
3.06000000,1.22311410
3.08000000,1.18683373
3.10000000,1.35259544
3.12000000,1.35259544
3.14000000,1.35259544
3.16000000,1.35259544
3.18000000,1.26705423
3.20000000,1.34157497
3.22000000,1.19066920
3.24000000,1.34157497
3.26000000,1.18940956
3.28000000,1.32937315
3.30000000,1.18697271
3.32000000,1.32937315
3.34000000,1.32937315
3.36000000,1.24834700
3.38000000,1.19706434
3.40000000,1.22709803
3.42000000,1.31861008
3.44000000,1.39868313
3.46000000,1.31861008
3.48000000,1.30740378
3.50000000,1.30740378
3.52000000,1.19210390
3.54000000,1.44129877
3.56000000,1.18832441
3.58000000,1.29496791
3.60000000,1.17462298
3.62000000,1.29496791
3.64000000,1.29496791
3.66000000,1.29496791
3.68000000,1.29047070
3.70000000,1.29047070
3.72000000,1.43889046
3.74000000,1.41384305
3.76000000,1.43763053
3.78000000,1.47513253
3.80000000,1.44257691
3.82000000,1.29990669
3.84000000,1.44257691
3.86000000,1.29990669
3.88000000,1.47891221
3.90000000,1.30419032
3.92000000,1.44010752
3.94000000,1.30419032
3.96000000,1.30419032
3.98000000,1.30886673
4.00000000,1.30886673
4.02000000,1.30886673
4.04000000,1.38496363
4.06000000,1.46388267
4.08000000,1.48010161
4.10000000,1.43001067
4.12000000,1.32085879
4.14000000,1.43625944
4.16000000,1.32085879
4.18000000,1.44123299
4.20000000,1.33248921
4.22000000,1.44370215
4.24000000,1.33248921
4.26000000,1.38610524
4.28000000,1.28839634
4.30000000,1.34372346
4.32000000,1.34372346
4.34000000,1.34372346
4.36000000,1.47997532
4.38000000,1.51868141
4.40000000,1.43730818
4.42000000,1.35543110
4.44000000,1.43478889
4.46000000,1.35543110
4.48000000,1.47229495
4.50000000,1.36734695
4.52000000,1.46725664
4.54000000,1.31202631
4.56000000,1.36734695
4.58000000,1.32199219
4.60000000,1.37831793
4.62000000,1.31196641
4.64000000,1.37831793
4.66000000,1.48225352
4.68000000,1.56353471
4.70000000,1.43834513
4.72000000,1.38726174
4.74000000,1.43960459
4.76000000,1.31688353
4.78000000,1.85640350
4.80000000,1.32190035
4.82000000,1.45958151
4.84000000,1.30562848
4.86000000,1.38839839
4.88000000,1.28686840
4.90000000,1.38838108
4.92000000,1.31568491
4.94000000,1.33568517
4.96000000,1.31442544
4.98000000,1.44712241
5.00000000,1.38702086
5.02000000,1.44460349
5.04000000,1.38702086
5.06000000,1.31442544
5.08000000,1.38743215
5.10000000,1.32193971
5.12000000,1.45962497
5.14000000,1.33569312
5.16000000,1.38743215
5.18000000,1.30817851
5.20000000,1.32691931
5.22000000,1.31568491
5.24000000,1.31190652
5.26000000,1.32943824
5.28000000,1.38804575
5.30000000,1.46461924
5.32000000,1.47459395
5.34000000,1.44205021
5.36000000,1.32315978
5.38000000,1.38830866
5.40000000,1.32065141
5.42000000,1.44085260
5.44000000,1.38830866
5.46000000,1.44458055
5.48000000,1.31190652
5.50000000,1.38797805
5.52000000,1.32319130
5.54000000,1.31689399
5.56000000,1.31316598
5.58000000,1.38887384
5.60000000,1.48716151
5.62000000,1.48716151
5.64000000,1.38887384
5.66000000,1.32564932
5.68000000,1.71746291
5.70000000,1.19923163
5.72000000,1.30814735
5.74000000,1.19046598
5.76000000,1.32688770
5.78000000,1.18675128
5.80000000,1.27814060
5.82000000,1.18050416
5.84000000,1.23184138
5.86000000,1.18675128
5.88000000,1.23184138
5.90000000,1.23184138
5.92000000,1.43588038
5.94000000,1.31320508
5.96000000,1.25813974
5.98000000,1.35686648
6.00000000,1.19806494
6.02000000,1.35686648
6.04000000,1.18552002
6.06000000,1.35686648
6.08000000,1.19183659
6.10000000,1.43971603
6.12000000,1.16679674
6.14000000,1.23189028
6.16000000,1.19183659
6.18000000,1.21692234
6.20000000,1.21440314
6.22000000,1.39094833
6.24000000,1.33643295
6.26000000,1.28448715
6.28000000,1.32423171
6.30000000,1.20819390
6.32000000,1.32423171
6.34000000,1.19438828
6.36000000,1.32423171
6.38000000,1.22201463
6.40000000,1.31452736
6.42000000,1.19445228
6.44000000,1.31452736
