# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0455518892, P max: 1.6679836394
Time,Power
0.00000000,1.16263951
0.02000000,1.31908292
0.04000000,1.39443031
0.06000000,1.39443031
0.08000000,1.30533303
0.10000000,1.16642388
0.12000000,1.30792403
0.14000000,1.29412301
0.16000000,1.38297340
0.18000000,1.31165132
0.20000000,1.24783417
0.22000000,1.37197672
0.24000000,1.17779343
0.26000000,1.19159530
0.28000000,1.30921345
0.30000000,1.19159530
0.32000000,1.35987043
0.34000000,1.35987043
0.36000000,1.23544442
0.38000000,1.35987043
0.40000000,1.29302293
0.42000000,1.34811796
0.44000000,1.43456678
0.46000000,1.16791549
0.48000000,1.34811796
0.50000000,1.34811796
0.52000000,1.33533250
0.54000000,1.33533250
0.56000000,1.16796881
0.58000000,1.33533250
0.60000000,1.20303357
0.62000000,1.32310271
0.64000000,1.32310271
0.66000000,1.21810496
0.68000000,1.32310271
0.70000000,1.18308891
0.72000000,1.19310970
0.74000000,1.31156413
0.76000000,1.18812161
0.78000000,1.31156413
0.80000000,1.31156413
0.82000000,1.20315535
0.84000000,1.30115515
0.86000000,1.24447146
0.88000000,1.30115515
0.90000000,1.30115515
0.92000000,1.16568062
0.94000000,1.28923249
0.96000000,1.39227635
0.98000000,1.36476440
1.00000000,1.28923249
1.02000000,1.17450410
1.04000000,1.27951812
1.06000000,1.27951812
1.08000000,1.27951812
1.10000000,1.27951812
1.12000000,1.22083245
1.14000000,1.27928647
1.16000000,1.36359128
1.18000000,1.22209223
1.20000000,1.27928647
1.22000000,1.19080863
1.24000000,1.27914545
1.26000000,1.38738704
1.28000000,1.27914545
1.30000000,1.27914545
1.32000000,1.22588132
1.34000000,1.28070760
1.36000000,1.28070760
1.38000000,1.19579741
1.40000000,1.28070760
1.42000000,1.37985675
1.44000000,1.33354742
1.46000000,1.28058648
1.48000000,1.17073410
1.50000000,1.28058648
1.52000000,1.28144313
1.54000000,1.28144313
1.56000000,1.28144313
1.58000000,1.22586186
1.60000000,1.33475681
1.62000000,1.28137240
1.64000000,1.28137240
1.66000000,1.28137240
1.68000000,1.18944373
1.70000000,1.28137240
1.72000000,1.20453690
1.74000000,1.20952557
1.76000000,1.34104504
1.78000000,1.21582440
