# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0461847032, P max: 2.0886985837
Time,Power
0.00000000,1.28844748
0.02000000,1.21079495
0.04000000,1.20086281
0.06000000,1.25090296
0.08000000,1.19708334
0.10000000,1.24092516
0.12000000,1.21210042
0.14000000,1.26971967
0.16000000,1.19710234
0.18000000,1.25344250
0.20000000,1.23968502
0.22000000,1.28851652
0.24000000,1.23850136
0.26000000,1.26102873
0.28000000,1.25477953
0.30000000,1.40879215
0.32000000,1.26979777
0.34000000,1.17218459
0.36000000,1.23604038
0.38000000,1.18972352
0.40000000,1.22228140
0.42000000,1.32055984
0.44000000,1.39641288
0.46000000,1.30624531
0.48000000,1.30624531
0.50000000,1.30624531
0.52000000,1.16844870
0.54000000,1.21740540
0.56000000,1.18358438
0.58000000,1.39150047
0.60000000,1.41277091
0.62000000,1.29492659
0.64000000,1.28256589
0.66000000,1.19868797
0.68000000,1.28256589
0.70000000,1.28256589
0.72000000,1.28256589
0.74000000,1.19498090
0.76000000,1.27160486
0.78000000,1.27160486
0.80000000,1.27160486
0.82000000,1.27160486
0.84000000,1.20134894
0.86000000,1.26038291
0.88000000,1.26038291
0.90000000,1.26038291
0.92000000,1.26038291
0.94000000,1.24922833
0.96000000,1.19009177
0.98000000,1.24922833
1.00000000,1.24922833
1.02000000,1.24922833
1.04000000,1.24223053
1.06000000,1.24223053
1.08000000,1.24223053
1.10000000,1.24223053
1.12000000,1.24223053
1.14000000,1.24245190
1.16000000,1.24245190
1.18000000,1.24245190
1.20000000,1.40055648
1.22000000,1.24245190
1.24000000,1.24267441
1.26000000,1.24267441
1.28000000,1.19009177
1.30000000,1.24267441
1.32000000,1.15752381
1.34000000,1.17254742
1.36000000,1.24146445
1.38000000,1.35545231
1.40000000,1.24146445
1.42000000,1.44942550
1.44000000,1.24129234
1.46000000,1.18759930
1.48000000,1.24129234
1.50000000,1.18507850
1.52000000,1.49831310
1.54000000,1.24294620
1.56000000,1.24294620
1.58000000,1.24294620
1.60000000,1.38678191
1.62000000,1.24294620
1.64000000,1.24379340
1.66000000,1.24379340
1.68000000,1.24379340
1.70000000,1.24379340
1.72000000,1.24379340
1.74000000,1.18630125
1.76000000,1.19134269
1.78000000,1.36421366
1.80000000,1.24382408
1.82000000,1.24382408
1.84000000,1.24351172
1.86000000,1.24351172
1.88000000,1.24351172
1.90000000,1.18130085
1.92000000,1.24351172
1.94000000,1.30280892
1.96000000,1.24412656
1.98000000,1.24412656
2.00000000,1.24412656
2.02000000,1.24412656
2.04000000,1.24458029
2.06000000,1.24458029
2.08000000,1.18504089
2.10000000,1.24458029
2.12000000,1.19008233
2.14000000,1.32537354
2.16000000,1.24405641
2.18000000,1.30404859
2.20000000,1.12366873
2.22000000,1.10113385
2.24000000,1.07360020
2.26000000,1.08610327
2.28000000,1.17755717
2.30000000,1.23649301
2.32000000,1.23649301
2.34000000,1.34294165
2.36000000,1.23152140
2.38000000,1.39683678
2.40000000,1.23152140
2.42000000,1.23152140
2.44000000,1.23275247
2.46000000,1.23275247
2.48000000,1.23275247
2.50000000,1.23275247
2.52000000,1.23275247
2.54000000,1.23252973
2.56000000,1.34294165
2.58000000,1.23252973
2.60000000,1.23252973
2.62000000,1.23252973
2.64000000,1.23165311
2.66000000,1.23165311
2.68000000,1.23165311
2.70000000,1.23165311
2.72000000,1.23165311
2.74000000,1.31415388
2.76000000,1.32166593
2.78000000,1.23096682
2.80000000,1.23096682
2.82000000,1.23096682
2.84000000,1.23212640
2.86000000,1.17636586
2.88000000,1.23212640
2.90000000,1.23212640
2.92000000,1.36048655
2.94000000,1.23216704
2.96000000,1.39556530
2.98000000,1.23216704
3.00000000,1.23216704
3.02000000,1.23216704
3.04000000,1.17884562
3.06000000,1.23173284
3.08000000,1.23173284
3.10000000,1.36926987
3.12000000,1.30917305
3.14000000,1.31667470
3.16000000,1.35297451
3.18000000,1.23096682
3.20000000,1.29408816
3.22000000,1.23096682
3.24000000,1.29279697
3.26000000,1.23602946
3.28000000,1.23602946
3.30000000,1.23602946
3.32000000,1.30787112
3.34000000,1.24371338
3.36000000,1.24371338
3.38000000,1.24371338
3.40000000,1.24371338
3.42000000,1.31409132
3.44000000,1.24264483
3.46000000,1.24264483
3.48000000,1.24264483
3.50000000,1.24264483
3.52000000,1.24264483
3.54000000,1.24278867
3.56000000,1.24278867
3.58000000,1.24278867
3.60000000,1.24278867
3.62000000,1.17251253
3.64000000,1.24276895
3.66000000,1.18877716
3.68000000,2.08869858
3.70000000,1.24276895
3.72000000,1.40676081
3.74000000,1.25229370
3.76000000,1.19507335
3.78000000,1.37550649
3.80000000,1.17127776
3.82000000,1.25229370
3.84000000,1.19760357
3.86000000,1.25174907
3.88000000,1.39805282
3.90000000,1.25174907
3.92000000,1.25174907
3.94000000,1.25259618
3.96000000,1.25259618
3.98000000,1.25259618
4.00000000,1.25259618
4.02000000,1.19260305
4.04000000,1.25239452
4.06000000,1.25239452
4.08000000,1.25239452
