# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9060468100000001, P max: 1.6702272750000002
Time,Power
0.00000000,1.34397276
0.02000000,1.19995768
0.04000000,1.25162567
0.06000000,1.18241576
0.08000000,1.24017944
0.10000000,1.32149029
0.12000000,1.06470327
0.14000000,1.34276318
0.16000000,1.24017944
0.18000000,1.14488195
0.20000000,1.22906815
0.22000000,1.09981461
0.24000000,1.22906815
0.26000000,1.22906815
0.28000000,1.21763243
0.30000000,1.21763243
0.32000000,1.06351898
0.34000000,1.21763243
0.36000000,1.21763243
0.38000000,1.09239655
0.40000000,1.33166709
0.42000000,1.20653657
0.44000000,1.35168193
0.46000000,1.20653657
0.48000000,1.10116006
0.50000000,1.21292967
0.52000000,1.27902348
0.54000000,1.14497052
0.56000000,1.21292967
0.58000000,1.05977157
0.60000000,1.21983126
0.62000000,1.21983126
0.64000000,1.07852502
0.66000000,1.45435021
0.68000000,1.34414873
0.70000000,1.21080264
0.72000000,1.21080264
0.74000000,1.05477008
0.76000000,1.21080264
0.78000000,1.20511538
0.80000000,1.20511538
0.82000000,1.36548486
0.84000000,1.14123983
0.86000000,1.20511538
0.88000000,1.20599157
0.90000000,1.06230711
0.92000000,1.47949620
0.94000000,1.20599157
0.96000000,1.20599157
0.98000000,1.20292576
1.00000000,1.11368944
1.02000000,1.20292576
1.04000000,1.20292576
1.06000000,1.20292576
1.08000000,1.20513450
1.10000000,1.10868946
1.12000000,1.20513450
1.14000000,1.20513450
1.16000000,1.09865676
1.18000000,1.29032663
1.20000000,1.20270501
1.22000000,1.33917896
1.24000000,1.20270501
1.26000000,1.09990842
1.28000000,1.26401992
1.30000000,1.27531302
1.32000000,1.13500640
1.34000000,1.20382370
1.36000000,1.06230711
1.38000000,1.20270501
1.40000000,1.20270501
1.42000000,1.09239655
1.44000000,1.44817662
1.46000000,1.34417006
1.48000000,1.20221040
1.50000000,1.20221040
1.52000000,1.06230711
1.54000000,1.20221040
1.56000000,1.20221040
1.58000000,1.09488427
1.60000000,1.43942722
1.62000000,1.29407789
1.64000000,1.29407789
1.66000000,1.20262326
1.68000000,1.05858475
1.70000000,1.20448866
1.72000000,1.27779352
1.74000000,1.27532314
1.76000000,1.20448866
1.78000000,1.20425833
1.80000000,1.20425833
1.82000000,1.20425833
1.84000000,1.11366293
1.86000000,1.36170375
1.88000000,1.28777522
1.90000000,1.15125410
1.92000000,1.20519708
1.94000000,1.08984985
1.96000000,1.20519708
1.98000000,1.20483463
2.00000000,1.20483463
2.02000000,1.20483463
2.04000000,1.10864548
2.06000000,1.36671270
2.08000000,1.34790040
2.10000000,1.20891093
2.12000000,1.42005188
2.14000000,1.36917481
2.16000000,1.29400858
2.18000000,1.16498246
2.20000000,1.10110982
2.22000000,1.21615115
2.24000000,1.21615115
2.26000000,1.12737474
2.28000000,1.21564702
2.30000000,1.06350210
2.32000000,1.21564702
2.34000000,1.21564702
2.36000000,1.10358004
2.38000000,1.44306926
2.40000000,1.30403048
2.42000000,1.16499171
2.44000000,1.16499171
2.46000000,1.21616080
2.48000000,1.21645362
2.50000000,1.28521628
2.52000000,1.21645362
2.54000000,1.21645362
2.56000000,1.30275982
2.58000000,1.21585832
2.60000000,1.21585832
2.62000000,1.07102206
2.64000000,1.36165243
2.66000000,1.33659722
2.68000000,1.21464841
2.70000000,1.21464841
2.72000000,1.06729151
2.74000000,1.21464841
2.76000000,1.21464841
2.78000000,1.21667002
2.80000000,1.21667002
2.82000000,1.10868066
2.84000000,1.21667002
2.86000000,1.21667002
2.88000000,1.06481944
2.90000000,1.31785333
2.92000000,1.21667002
2.94000000,1.21667002
2.96000000,1.21667002
2.98000000,1.08989309
3.00000000,1.28908670
3.02000000,1.21810098
3.04000000,1.12624302
3.06000000,1.21810098
3.08000000,1.06357594
3.10000000,1.21830264
3.12000000,1.21830264
3.14000000,1.09115349
3.16000000,1.51207667
3.18000000,1.30415982
3.20000000,1.20932375
3.22000000,1.20932375
3.24000000,1.05988509
3.26000000,1.20932375
3.28000000,1.20835862
3.30000000,1.09491902
3.32000000,1.44824556
3.34000000,1.27536361
3.36000000,1.52966998
3.38000000,1.21036572
3.40000000,1.06360125
3.42000000,1.64990287
3.44000000,1.21036572
3.46000000,1.15505805
3.48000000,1.30662111
3.50000000,1.13621638
3.52000000,1.21173895
3.54000000,1.21173895
3.56000000,1.06734867
3.58000000,1.45822081
3.60000000,1.21254560
3.62000000,1.21254560
3.64000000,1.21254560
3.66000000,1.06728215
3.68000000,1.21418041
3.70000000,1.21418041
3.72000000,1.06228182
3.74000000,1.33537663
3.76000000,1.29030615
3.78000000,1.21382751
3.80000000,1.21382751
3.82000000,1.05981152
3.84000000,1.29655754
3.86000000,1.21382751
3.88000000,1.21426197
3.90000000,1.21426197
3.92000000,1.12618941
3.94000000,1.27647235
3.96000000,1.21426197
3.98000000,1.06352531
4.00000000,1.21416114
4.02000000,1.21416114
4.04000000,1.63854283
4.06000000,1.21416114
4.08000000,1.10485788
4.10000000,1.21682582
4.12000000,1.21682582
4.14000000,1.21682582
4.16000000,1.21682582
4.18000000,1.06976174
4.20000000,1.29525864
4.22000000,1.21868144
4.24000000,1.09360704
4.26000000,1.41050253
4.28000000,1.27147384
4.30000000,1.62598016
4.32000000,1.21657376
4.34000000,1.05726773
4.36000000,1.21657376
4.38000000,1.21705403
4.40000000,1.21705403
4.42000000,1.21705403
4.44000000,1.21705403
4.46000000,1.21705403
4.48000000,1.21304975
4.50000000,1.06734867
4.52000000,1.45065847
4.54000000,1.27279224
4.56000000,1.21304975
4.58000000,1.10492582
4.60000000,1.12247073
4.62000000,1.04356906
4.64000000,1.06736560
4.66000000,1.21180859
4.68000000,1.02855780
4.70000000,1.25534471
4.72000000,1.10877522
4.74000000,0.95590330
4.76000000,1.11502724
4.78000000,1.06370040
4.80000000,0.95594880
4.82000000,1.18551971
4.84000000,1.09879404
4.86000000,0.99981586
4.88000000,1.23918455
4.90000000,1.17227110
4.92000000,1.06627859
4.94000000,1.30433313
4.96000000,1.24921904
4.98000000,1.17212913
5.00000000,1.24418645
5.02000000,1.11640950
5.04000000,1.23420230
5.06000000,1.17212913
5.08000000,1.05626085
5.10000000,1.33692863
5.12000000,1.37701682
5.14000000,1.17002056
5.16000000,1.17002056
5.18000000,1.09134828
5.20000000,1.24922895
5.22000000,1.16859938
5.24000000,1.16859938
5.26000000,1.16859938
5.28000000,1.07001850
5.30000000,1.25048958
5.32000000,1.24670770
5.34000000,1.10637493
5.36000000,1.36323988
5.38000000,1.27802163
5.40000000,1.45597145
5.42000000,1.16875065
5.44000000,1.07632163
5.46000000,1.24922895
5.48000000,1.24798812
5.50000000,1.16967686
5.52000000,1.16967686
5.54000000,1.16967686
5.56000000,1.16967686
5.58000000,1.16887004
5.60000000,1.09262623
5.62000000,1.45473390
5.64000000,1.48231682
5.66000000,1.16887004
5.68000000,1.17975266
5.70000000,1.06503487
5.72000000,1.17975266
5.74000000,1.17975266
5.76000000,1.17975266
5.78000000,1.19275606
5.80000000,1.14016488
5.82000000,1.19275606
5.84000000,1.19275606
5.86000000,1.06624476
5.88000000,1.34434870
5.90000000,1.20346991
5.92000000,1.20346991
5.94000000,1.33436516
5.96000000,1.10131514
5.98000000,1.20620944
6.00000000,1.20620944
6.02000000,1.20620944
6.04000000,1.32308902
6.06000000,1.09628817
6.08000000,1.26545599
6.10000000,1.20605817
6.12000000,1.08625407
6.14000000,1.34063609
6.16000000,1.20605817
6.18000000,1.20929481
6.20000000,1.20929481
6.22000000,1.08626269
6.24000000,1.26168431
6.26000000,1.27671036
6.28000000,1.14770522
6.30000000,1.20982783
6.32000000,1.14770522
6.34000000,1.20982783
6.36000000,1.20982783
6.38000000,1.09507104
6.40000000,1.44466479
6.42000000,1.31058578
6.44000000,1.21019040
6.46000000,1.21019040
6.48000000,1.06376580
6.50000000,1.21100680
6.52000000,1.21100680
6.54000000,1.21100680
6.56000000,1.21100680
6.58000000,1.21084592
6.60000000,1.21084592
6.62000000,1.21084592
6.64000000,1.05876533
6.66000000,1.36448968
6.68000000,1.21211615
6.70000000,1.32814408
6.72000000,1.27176893
6.74000000,1.21211615
6.76000000,1.67022728
6.78000000,1.21330480
6.80000000,1.06253046
6.82000000,1.21330480
6.84000000,1.28934751
6.86000000,1.31566998
6.88000000,1.27301945
6.90000000,1.11135818
