# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 1.0098177684, P max: 1.6738132817999998
Time,Power
0.00000000,1.14251833
0.02000000,1.37049767
0.04000000,1.26724652
0.06000000,1.25267569
0.08000000,1.25267569
0.10000000,1.17135210
0.12000000,1.25267569
0.14000000,1.25267569
0.16000000,1.24065295
0.18000000,1.18640243
0.20000000,1.24065295
0.22000000,1.15509242
0.24000000,1.16885672
0.26000000,1.23652843
0.28000000,1.23652843
0.30000000,1.18142035
0.32000000,1.23652843
0.34000000,1.23652843
0.36000000,1.33927193
0.38000000,1.18141098
0.40000000,1.33801146
0.42000000,1.30418051
0.44000000,1.23601443
0.46000000,1.17641019
0.48000000,1.23575253
0.50000000,1.23575253
0.52000000,1.23575253
0.54000000,1.23575253
0.56000000,1.30669108
0.58000000,1.23600462
0.60000000,1.37309198
0.62000000,1.23600462
0.64000000,1.17641019
0.66000000,1.33302001
0.68000000,1.16386527
0.70000000,1.23626652
0.72000000,1.30292005
0.74000000,1.23626652
0.76000000,1.47835016
0.78000000,1.30168023
0.80000000,1.23653824
0.82000000,1.23653824
0.84000000,1.18516077
0.86000000,1.23680996
0.88000000,1.23680996
0.90000000,1.23680996
0.92000000,1.23680996
0.94000000,1.23680996
0.96000000,1.23630576
0.98000000,1.50595352
1.00000000,1.17141483
1.02000000,1.16642322
1.04000000,1.23630576
1.06000000,1.17141483
1.08000000,1.18270898
1.10000000,1.14887696
1.12000000,1.23716290
1.14000000,1.13133069
1.16000000,1.39317436
1.18000000,1.23722314
1.20000000,1.23722314
1.22000000,1.23722314
1.24000000,1.23722314
1.26000000,1.23623434
1.28000000,1.57365502
1.30000000,1.23623434
1.32000000,1.13760988
1.34000000,1.17396378
1.36000000,1.24016721
1.38000000,1.30677402
1.40000000,1.16519044
1.42000000,1.18646832
1.44000000,1.30803455
1.46000000,1.23990527
1.48000000,1.35688222
1.50000000,1.23990527
1.52000000,1.23990527
1.54000000,1.23990527
1.56000000,1.17646619
1.58000000,1.37567838
1.60000000,1.24034922
1.62000000,1.24034922
1.64000000,1.24034922
1.66000000,1.35929894
1.68000000,1.24081405
1.70000000,1.48459040
1.72000000,1.17264743
1.74000000,1.16886600
1.76000000,1.23943307
1.78000000,1.17388928
1.80000000,1.23943307
1.82000000,1.38186477
1.84000000,1.23943307
1.86000000,1.23951670
1.88000000,1.34176359
1.90000000,1.23951670
1.92000000,1.29537940
1.94000000,1.23951670
1.96000000,1.23939619
1.98000000,1.23939619
2.00000000,1.17637519
2.02000000,1.23939619
2.04000000,1.18262688
2.06000000,1.23851946
2.08000000,1.38931371
2.10000000,1.17005453
2.12000000,1.17131493
2.14000000,1.23851946
2.16000000,1.17510545
2.18000000,1.23933594
2.20000000,1.12625196
2.22000000,1.18886913
2.24000000,1.15130891
2.26000000,1.35045053
2.28000000,1.24049673
2.30000000,1.38175788
2.32000000,1.17001740
2.34000000,1.24049673
2.36000000,1.23731080
2.38000000,1.23731080
2.40000000,1.32412371
2.42000000,1.23731080
2.44000000,1.23731080
2.46000000,1.14999375
2.48000000,1.18503148
2.50000000,1.23670583
2.52000000,1.23670583
2.54000000,1.17000811
2.56000000,1.23588940
2.58000000,1.31408090
2.60000000,1.32658347
2.62000000,1.23588940
2.64000000,1.33913646
2.66000000,1.23521688
2.68000000,1.28648680
2.70000000,1.23521688
2.72000000,1.23521688
2.74000000,1.23521688
2.76000000,1.23708215
2.78000000,1.23708215
2.80000000,1.23708215
2.82000000,1.23708215
2.84000000,1.47689632
2.86000000,1.17745673
2.88000000,1.16117388
2.90000000,1.23573220
2.92000000,1.23573220
2.94000000,1.23573220
2.96000000,1.14614222
2.98000000,1.23642814
3.00000000,1.14362168
3.02000000,1.43550079
3.04000000,1.23642814
3.06000000,1.23871756
3.08000000,1.23871756
3.10000000,1.23871756
3.12000000,1.23871756
3.14000000,1.23871756
3.16000000,1.23788399
3.18000000,1.33275298
3.20000000,1.23788399
3.22000000,1.30517947
3.24000000,1.23788399
3.26000000,1.16616181
3.28000000,1.23703686
3.30000000,1.17866324
3.32000000,1.28890772
3.34000000,1.30771028
3.36000000,1.29640837
3.38000000,1.28763728
3.40000000,1.23672459
3.42000000,1.23672459
3.44000000,1.29640837
3.46000000,1.06595506
3.48000000,1.34028247
3.50000000,1.05844407
3.52000000,1.07346604
3.54000000,1.13108387
3.56000000,1.12110580
3.58000000,1.02965897
3.60000000,1.05975476
3.62000000,1.09232072
3.64000000,1.07603774
3.66000000,1.07609537
3.68000000,1.04473761
3.70000000,1.21181093
3.72000000,1.11617482
3.74000000,1.09363958
3.76000000,1.04480392
3.78000000,1.02352770
3.80000000,1.19877928
3.82000000,1.05861835
3.84000000,1.45948868
3.86000000,1.18868070
3.88000000,1.18868070
3.90000000,1.18868070
3.92000000,1.07493521
3.94000000,1.01478523
3.96000000,1.06370884
3.98000000,1.09628165
4.00000000,1.04994355
4.02000000,1.17554550
4.04000000,1.04868300
4.06000000,1.07126213
4.08000000,1.39327107
4.10000000,1.08129654
4.12000000,1.04620130
4.14000000,1.16207611
4.16000000,1.15465913
4.18000000,1.09636644
4.20000000,1.15465913
4.22000000,1.05879892
4.24000000,1.15465913
4.26000000,1.14149047
4.28000000,1.06509190
4.30000000,1.07512709
4.32000000,1.14149047
4.34000000,1.14149047
4.36000000,1.21174405
4.38000000,1.20422991
4.40000000,1.23680801
4.42000000,1.19797653
4.44000000,1.19545500
4.46000000,1.20051472
4.48000000,1.19799316
4.50000000,1.22931093
4.52000000,1.13081880
4.54000000,1.13081880
4.56000000,1.14064224
4.58000000,1.19540759
4.60000000,1.24805495
4.62000000,1.20544286
4.64000000,1.24180181
4.66000000,1.29431917
4.68000000,1.24419632
4.70000000,1.21288215
4.72000000,1.15373315
4.74000000,1.23295146
4.76000000,1.16561231
4.78000000,1.23161510
4.80000000,1.27921375
4.82000000,1.16561231
4.84000000,1.16561231
4.86000000,1.47964586
4.88000000,1.17787797
4.90000000,1.17787797
4.92000000,1.17787797
4.94000000,1.17787797
4.96000000,1.36805015
4.98000000,1.18941812
5.00000000,1.18941812
5.02000000,1.18941812
5.04000000,1.37309198
5.06000000,1.27906407
5.08000000,1.29408816
5.10000000,1.20117073
5.12000000,1.20117073
5.14000000,1.20117073
5.16000000,1.20880525
5.18000000,1.20880525
5.20000000,1.20880525
5.22000000,1.20880525
5.24000000,1.13998850
5.26000000,1.22091656
5.28000000,1.22091656
5.30000000,1.22091656
5.32000000,1.22091656
5.34000000,1.22091656
5.36000000,1.32904351
5.38000000,1.23361492
5.40000000,1.23361492
5.42000000,1.28644596
5.44000000,1.23361492
5.46000000,1.23739577
5.48000000,1.18249786
5.50000000,1.23739577
5.52000000,1.23739577
5.54000000,1.23739577
5.56000000,1.23665923
5.58000000,1.44183647
5.60000000,1.23665923
5.62000000,1.49315599
5.64000000,1.16497322
5.66000000,1.16752161
5.68000000,1.23598288
5.70000000,1.23598288
5.72000000,1.23598288
5.74000000,1.23598288
5.76000000,1.23695790
5.78000000,1.23695790
5.80000000,1.39550993
5.82000000,1.23695790
5.84000000,1.23695790
5.86000000,1.23551550
5.88000000,1.23551550
5.90000000,1.23551550
5.92000000,1.23551550
5.94000000,1.23551550
5.96000000,1.23540487
5.98000000,1.23540487
6.00000000,1.13997041
6.02000000,1.17253812
6.04000000,1.23540487
6.06000000,1.28908670
6.08000000,1.17131493
6.10000000,1.18633890
6.12000000,1.31666426
6.14000000,1.23690614
6.16000000,1.23646221
6.18000000,1.23646221
6.20000000,1.33542960
6.22000000,1.23646221
6.24000000,1.23646221
6.26000000,1.23625074
6.28000000,1.23625074
6.30000000,1.23625074
6.32000000,1.23625074
6.34000000,1.40433768
6.36000000,1.23639217
6.38000000,1.55214508
6.40000000,1.17256602
6.42000000,1.15628179
6.44000000,1.23639217
6.46000000,1.23670448
6.48000000,1.23670448
6.50000000,1.23670448
6.52000000,1.39934650
6.54000000,1.15503056
6.56000000,1.36173616
6.58000000,1.23655323
6.60000000,1.43564602
6.62000000,1.23655323
6.64000000,1.23655323
6.66000000,1.23619051
6.68000000,1.23619051
6.70000000,1.32915688
6.72000000,1.18385912
6.74000000,1.23619051
6.76000000,1.23641179
6.78000000,1.16759341
6.80000000,1.23641179
6.82000000,1.23641179
6.84000000,1.14626727
6.86000000,1.23712744
6.88000000,1.23712744
6.90000000,1.23712744
6.92000000,1.23712744
6.94000000,1.23712744
6.96000000,1.23665025
6.98000000,1.23665025
7.00000000,1.18391313
7.02000000,1.23665025
7.04000000,1.23665025
7.06000000,1.23607849
7.08000000,1.23607849
7.10000000,1.44823407
7.12000000,1.23607849
7.14000000,1.23607849
7.16000000,1.16762120
7.18000000,1.16762120
7.20000000,1.23623955
7.22000000,1.23623955
7.24000000,1.23623955
7.26000000,1.23607849
7.28000000,1.41813500
7.30000000,1.31790561
7.32000000,1.43441976
7.34000000,1.23607849
7.36000000,1.23956711
7.38000000,1.23956711
7.40000000,1.23956711
7.42000000,1.23956711
7.44000000,1.31418516
7.46000000,1.23911336
7.48000000,1.31292472
7.50000000,1.23911336
7.52000000,1.30793338
7.54000000,1.17261254
7.56000000,1.16634225
7.58000000,1.23884161
7.60000000,1.35923693
7.62000000,1.29914010
7.64000000,1.32293683
