# 50.0 sps, start/stop: 50/0 mA (5 s), channels: 1
# P min: 0.9884742975, P max: 1.862409325
Time,Power
0.00000000,1.30004716
0.02000000,1.50916962
0.04000000,1.30004716
0.06000000,1.23114612
0.08000000,1.30004716
0.10000000,1.29965425
0.12000000,1.58811348
0.14000000,1.29965425
0.16000000,1.29965425
0.18000000,1.29965425
0.20000000,1.71337977
0.22000000,1.29946295
0.24000000,1.29946295
0.26000000,1.29946295
0.28000000,1.29946295
0.30000000,1.46538096
0.32000000,1.86240933
0.34000000,1.30368653
0.36000000,1.30368653
0.38000000,1.30368653
0.40000000,1.32087211
0.42000000,1.32087211
0.44000000,1.63562948
0.46000000,1.32087211
0.48000000,1.32087211
0.50000000,1.33361323
0.52000000,1.33361323
0.54000000,1.40638968
0.56000000,1.33361323
0.58000000,1.44020754
0.60000000,1.34541400
0.62000000,1.51524751
0.64000000,1.50395888
0.66000000,1.34541400
0.68000000,1.42755899
0.70000000,1.35714118
0.72000000,1.35714118
0.74000000,1.35714118
0.76000000,1.25464508
0.78000000,1.29848560
0.80000000,1.29968348
0.82000000,1.31469940
0.84000000,1.46742846
0.86000000,1.31595912
0.88000000,1.37042963
0.90000000,1.32217587
0.92000000,1.31713709
0.94000000,1.30464092
0.96000000,1.30962931
0.98000000,1.63770428
1.00000000,1.31213047
1.02000000,1.37450970
1.04000000,1.43235409
1.06000000,1.37450970
1.08000000,1.28456873
1.10000000,1.32465583
1.12000000,1.23073576
1.14000000,1.37554599
1.16000000,1.37554599
1.18000000,1.37554599
1.20000000,1.32088734
1.22000000,1.37590962
1.24000000,1.30839144
1.26000000,1.47864810
1.28000000,1.31086039
1.30000000,1.22447814
1.32000000,1.30711102
1.34000000,1.32338566
1.36000000,1.47988427
1.38000000,1.32086637
1.40000000,1.26074598
1.42000000,1.37063676
1.44000000,1.37063676
1.46000000,1.51116192
1.48000000,1.37063676
1.50000000,1.30331138
1.52000000,1.31207839
1.54000000,1.63635689
1.56000000,1.51739767
1.58000000,1.37238935
1.60000000,1.37275295
1.62000000,1.37275295
1.64000000,1.29329501
1.66000000,1.31334844
1.68000000,1.29203538
1.70000000,1.30840183
1.72000000,1.71905669
1.74000000,1.37123454
1.76000000,1.30462279
1.78000000,1.50370223
1.80000000,1.37051824
1.82000000,1.37051824
1.84000000,1.37051824
1.86000000,1.58758414
1.88000000,1.18564944
1.90000000,1.10557627
1.92000000,1.16941863
1.94000000,1.20448909
1.96000000,1.29715373
1.98000000,1.18821358
2.00000000,1.53890296
2.02000000,1.29722581
2.04000000,1.20954477
2.06000000,1.35341222
2.08000000,1.19956728
2.10000000,1.10697437
2.12000000,1.39498123
2.14000000,1.27851861
2.16000000,1.22716621
2.18000000,1.20091047
2.20000000,1.32909606
2.22000000,1.20098434
2.24000000,1.17467658
2.26000000,1.16464738
2.28000000,1.11329182
2.30000000,1.22611729
2.32000000,1.20353742
2.34000000,1.58054064
2.36000000,1.17097805
2.38000000,1.19728763
2.40000000,1.19235466
2.42000000,1.51045367
2.44000000,1.19356435
2.46000000,1.19734464
2.48000000,1.40022034
2.50000000,1.19113946
2.52000000,1.17233810
2.54000000,1.19113946
2.56000000,1.11220398
2.58000000,1.20237995
2.60000000,1.17737498
2.62000000,1.28156791
2.64000000,1.21119862
2.66000000,1.28156791
2.68000000,1.28156791
2.70000000,1.17115927
2.72000000,1.17493996
2.74000000,1.11228120
2.76000000,1.21874565
2.78000000,1.32147980
2.80000000,1.11109150
2.82000000,1.43680666
2.84000000,1.25748940
2.86000000,1.19628862
2.88000000,1.25748940
2.90000000,1.29906795
2.92000000,1.24578035
2.94000000,1.10613357
2.96000000,1.24578035
2.98000000,1.24578035
3.00000000,1.24772918
3.02000000,1.24772918
3.04000000,1.13994554
3.06000000,1.16873153
3.08000000,1.10737855
3.10000000,1.25002835
3.12000000,1.19255810
3.14000000,1.17123361
3.16000000,1.18625654
3.18000000,1.53450609
3.20000000,1.19498090
3.22000000,1.25063409
3.24000000,1.06345991
3.26000000,1.07097107
3.28000000,1.38790189
3.30000000,1.24445335
3.32000000,1.08228020
3.34000000,1.03968265
3.36000000,1.07849935
3.38000000,1.05223506
3.40000000,1.08485026
3.42000000,1.04225077
3.44000000,1.39423852
3.46000000,1.10864548
3.48000000,1.04717049
3.50000000,1.39941033
3.52000000,1.09120327
3.54000000,1.03856656
3.56000000,1.21951784
3.58000000,1.11247979
3.60000000,1.20660564
3.62000000,1.04369119
3.64000000,1.20660564
3.66000000,1.06118773
3.68000000,1.39447913
3.70000000,1.11015680
3.72000000,1.01238273
3.74000000,1.10385368
3.76000000,1.07253975
3.78000000,0.98984275
3.80000000,1.11269603
3.82000000,1.07260569
3.84000000,1.18153038
3.86000000,1.18153038
3.88000000,1.57633198
3.90000000,1.18098504
3.92000000,1.18098504
3.94000000,1.18098504
3.96000000,1.18098504
3.98000000,1.10771243
4.00000000,1.25305731
4.02000000,1.17902768
4.04000000,1.17902768
4.06000000,1.17902768
4.08000000,1.49743576
4.10000000,1.17801910
4.12000000,1.51871675
4.14000000,1.26435338
4.16000000,1.23802949
4.18000000,1.28689510
4.20000000,1.17914725
4.22000000,1.17914725
4.24000000,1.17914725
4.26000000,1.10899953
4.28000000,1.17914725
4.30000000,1.27684962
4.32000000,1.23428797
4.34000000,1.18340561
4.36000000,1.24805495
4.38000000,1.18340561
4.40000000,1.37206552
4.42000000,1.32194118
4.44000000,1.59137211
4.46000000,1.19360472
4.48000000,1.19360472
4.50000000,1.20584432
4.52000000,1.20584432
4.54000000,1.11765239
4.56000000,1.20584432
4.58000000,1.20584432
4.60000000,1.21945365
4.62000000,1.21945365
4.64000000,1.11008855
4.66000000,1.21945365
4.68000000,1.21945365
4.70000000,1.23092055
4.72000000,1.23092055
4.74000000,1.23092055
4.76000000,1.23092055
4.78000000,1.30801380
4.80000000,1.24347640
4.82000000,1.17011719
4.84000000,1.24347640
4.86000000,1.46078100
4.88000000,1.36180909
4.90000000,1.14256365
4.92000000,1.30541250
4.94000000,1.20019097
4.96000000,1.25081024
4.98000000,1.18763699
5.00000000,1.35678803
5.02000000,1.19015787
5.04000000,1.24954980
5.06000000,1.32421826
5.08000000,1.24954980
5.10000000,1.19892102
5.12000000,1.25165741
5.14000000,1.25165741
5.16000000,1.16509107
5.18000000,1.13504242
5.20000000,1.19765108
5.22000000,1.55969412
5.24000000,1.33423020
5.26000000,1.25058872
5.28000000,1.43566880
5.30000000,1.17887134
5.32000000,1.11373141
5.34000000,1.25212855
5.36000000,1.19268584
5.38000000,1.17387997
5.40000000,1.19640965
5.42000000,1.18889743
5.44000000,1.25040690
5.46000000,1.36682114
5.48000000,1.19388877
5.50000000,1.18512316
