machine,method,algorithm,iterations,start time (unix),stop time (unix),total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
,,,,,,,,,,,,
pizero,key generation,RSA-2048,100,1775827500,1775827900,400.399344,4.00399344,0.56376,0.94748,0.38372,1.536412363,0.650866931
pizero,key generation,ECDSA P-256,100,1775827972,1775827986,14.55582166,0.145558217,0.56378,0.901316,0.337536,0.049131138,20.35369089
pizero,key generation,X25519,100,1775829286,1775829301,14.45730186,0.144573019,0.56378,0.909586,0.345806,0.049994217,20.00231337
pizero,key generation,ECDH P-256,100,1775829428,1775829443,14.58897996,0.1458898,0.56376,0.9064,0.34264,0.049987681,20.00492884
pizero,key generation,ML-KEM-512,100,1775829644,1775829659,14.91849732,0.149184973,0.56376,0.910241,0.346481,0.051689759,19.34619207
pizero,key generation,ML-KEM-768,100,1775829721,1775829736,15.06177711,0.150617771,0.56376,0.915744,0.351984,0.053015046,18.86256985
pizero,key generation,ML-KEM-1024,100,1775829837,1775829852,15.22228122,0.152222812,0.56376,0.913599,0.349839,0.053253476,18.77811681
pizero,key generation,ML-DSA-44,100,1775830046,1775830061,15.35804629,0.153580463,0.56376,0.901872,0.338112,0.051927397,19.25765681
pizero,key generation,ML-DSA-65,100,1775830852,1775830867,15.77966881,0.157796688,0.56376,0.91714,0.35338,0.055762194,17.93329736
pizero,key generation,ML-DSA-87,100,1775830932,1775830949,16.31128883,0.163112888,0.56376,0.904639,0.340879,0.055601758,17.98504276
pizero,key generation,SLH-DSA-SHA2-128s,100,1775831002,1775831276,274.0322137,2.740322137,0.56376,0.898843,0.335083,0.918235363,1.089045402
pizero,key generation,SLH-DSA-SHA2-128f,100,1775831464,1775831483,18.87058783,0.188705878,0.56376,0.905203,0.341443,0.064432301,15.52016584
pizero,key generation,SLH-DSA-SHAKE-128s,100,1775831525,1775832001,475.959969,4.75959969,0.56376,0.940959,0.377199,1.795316244,0.557004931
pizero,key generation,SLH-DSA-SHA2-192s,100,1775832060,1775832460,399.725678,3.99725678,0.56376,0.917573,0.353813,1.414281413,0.707072858
pizero,key generation,SLH-DSA-SHA2-192f,100,1775832519,1775832540,20.82484508,0.208248451,0.56376,0.901531,0.337771,0.070340287,14.21660383
pizero,key generation,SLH-DSA-SHAKE-192s,100,1775832593,1775833282,688.7213104,6.887213104,0.56376,0.942609,0.378849,2.609213797,0.38325721
pizero,key generation,SLH-DSA-SHA2-256s,100,1775833330,1775833601,270.7279932,2.707279932,0.56376,0.902416,0.338656,0.916836593,1.090706902
pizero,key generation,SLH-DSA-SHA2-256f,100,1775833651,1775833682,30.87293148,0.308729315,0.56376,0.910003,0.346243,0.106895364,9.354942639
pizero,key generation,SLH-DSA-SHAKE-256s,100,1775833706,1775834163,457.1395104,4.571395104,0.56376,0.93553,0.37177,1.699507558,0.588405739
pizero,signatures,RSA-2048,100,1775834221,1775834235,13.59629822,0.135962982,0.56376,0.915881,0.352121,0.047875421,20.88754467
pizero,signatures,ECDSA P-256,100,1775834259,1775834266,7.598270655,0.075982707,0.56376,0.903495,0.339735,0.025813985,38.73869174
pizero,signatures,ML-DSA-44,100,1775834294,1775834303,8.993547916,0.089935479,0.56376,0.919123,0.355363,0.031959742,31.28936429
pizero,signatures,ML-DSA-65,100,1775834361,1775834371,9.509472609,0.095094726,0.56376,0.906041,0.342281,0.032549118,30.72279875
pizero,signatures,ML-DSA-87,100,1775834446,1775834457,10.8663497,0.108663497,0.56376,0.918404,0.354644,0.038536857,25.94918403
pizero,signatures,SLH-DSA-SHA2-128s,10,1775893834,1775894031,197.3400929,19.73400929,0.53676,0.902735,0.365975,7.22215405,0.138462845
pizero,signatures,SLH-DSA-SHA2-128f,10,1775894084,1775894094,10.29821539,1.029821539,0.53676,0.903403,0.366643,0.377576858,2.648467398
pizero,signatures,SLH-DSA-SHAKE-128s,10,1775894159,1775894513,354.0373282,35.40373282,0.53676,0.955826,0.419066,14.8365007,0.067401338
pizero,signatures,SLH-DSA-SHA2-192s,10,1775894577,1775894962,384.7628491,38.47628491,0.53676,0.903164,0.366404,14.0978647,0.070932728
pizero,signatures,SLH-DSA-SHA2-192f,10,1775894989,1775895007,17.41964197,1.741964197,0.53676,0.907561,0.370801,0.645922066,1.548174389
pizero,signatures,SLH-DSA-SHAKE-192s,10,1775895054,1775895671,616.6523223,61.66523223,0.53676,0.938331,0.401571,24.76296897,0.04038288
pizero,signatures,SLH-DSA-SHA2-256s,10,1775895719,1775896076,357.1581304,35.71581304,0.53676,0.907245,0.370485,13.23217299,0.075573377
pizero,signatures,SLH-DSA-SHA2-256f,10,1775896123,1775896159,35.77997208,3.577997208,0.53676,0.914281,0.377521,1.350769084,0.740318987
pizero,signatures,SLH-DSA-SHAKE-256s,10,1775896190,1775896731,540.6239493,54.06239493,0.53676,0.940151,0.403391,21.80828355,0.045854136
,,,,,,,,,,,,
pizero2,key generation,RSA-2048,100,1775832535,1775832614,78.25082493,0.782508249,0.64514,1.107406,0.462266,0.361726958,2.764516099
pizero2,key generation,ECDSA P-256,100,1775832661,1775832666,5.635332108,0.056353321,0.64514,1.251376,0.606236,0.034163412,29.27108104
pizero2,key generation,X25519,100,1775832908,1775832914,5.526988983,0.05526989,0.64514,1.275285,0.630145,0.034828045,28.71249327
pizero2,key generation,ECDH P-256,100,1775833029,1775833035,5.61333847,0.056133385,0.64514,1.325457,0.680317,0.038188496,26.18589648
pizero2,key generation,ML-KEM-512,100,1775833057,1775833063,5.74008894,0.057400889,0.64514,1.321882,0.676742,0.038845593,25.74294613
pizero2,key generation,ML-KEM-768,100,1775833094,1775833100,5.762468338,0.057624683,0.64514,1.29377,0.64863,0.037377098,26.75435075
pizero2,key generation,ML-KEM-1024,100,1775833123,1775833129,5.796864748,0.057968647,0.64514,1.300748,0.655608,0.038004709,26.31252877
pizero2,key generation,ML-DSA-44,100,1775833161,1775833167,5.919587374,0.059195874,0.64514,1.271421,0.626281,0.037073251,26.97362581
pizero2,key generation,ML-DSA-65,100,1775833206,1775833212,6.052751541,0.060527515,0.64514,1.282938,0.637798,0.038604328,25.90383112
pizero2,key generation,ML-DSA-87,100,1775833236,1775833242,6.269882202,0.062698822,0.64514,1.285751,0.640611,0.040165555,24.89695457
pizero2,key generation,SLH-DSA-SHA2-128s,100,1775833270,1775833362,91.95431066,0.919543107,0.64514,1.326485,0.681345,0.626526098,1.596102706
pizero2,key generation,SLH-DSA-SHA2-128f,100,1775833387,1775833394,7.063477993,0.07063478,0.64514,1.30173,0.65659,0.04637809,21.56190556
pizero2,key generation,SLH-DSA-SHAKE-128s,100,1775833439,1775833525,85.64102364,0.856410236,0.64514,1.256826,0.611686,0.523854152,1.90892827
pizero2,key generation,SLH-DSA-SHA2-192s,100,1775833559,1775833690,131.2225761,1.312225761,0.64514,1.333063,0.687923,0.902710282,1.107775129
pizero2,key generation,SLH-DSA-SHA2-192f,100,1775833736,1775833744,7.704528332,0.077045283,0.64514,1.285811,0.640671,0.049360679,20.25904072
pizero2,key generation,SLH-DSA-SHAKE-192s,100,1775833782,1775833904,121.9821489,1.219821489,0.64514,1.26928,0.62414,0.761339384,1.313474675
pizero2,key generation,SLH-DSA-SHA2-256s,100,1775834026,1775834114,88.13288832,0.881328883,0.64514,1.330417,0.685277,0.603954413,1.655754107
pizero2,key generation,SLH-DSA-SHA2-256f,100,1775834150,1775834161,10.88135409,0.108813541,0.64514,1.30667,0.66153,0.071983422,13.89208759
pizero2,key generation,SLH-DSA-SHAKE-256s,100,1775834186,1775834268,82.43755841,0.824375584,0.64514,1.265264,0.620124,0.511215085,1.956123811
pizero2,signatures,RSA-2048,100,1775834333,1775834337,4.258737564,0.042587376,0.64514,1.249554,0.604414,0.025740406,38.84942598
pizero2,signatures,ECDSA P-256,100,1775834400,1775834403,2.955987692,0.029559877,0.64514,1.293948,0.648808,0.019178685,52.14121926
pizero2,signatures,ML-DSA-44,100,1775834545,1775834548,3.4817276,0.034817276,0.64514,1.260265,0.615125,0.021416977,46.69193064
pizero2,signatures,ML-DSA-65,100,1775834673,1775834677,4.035043478,0.040350435,0.64514,1.258259,0.613119,0.024739618,40.42099563
pizero2,signatures,ML-DSA-87,100,1775834704,1775834708,4.336788654,0.043367887,0.64514,1.249208,0.604068,0.026197152,38.17208761
pizero2,signatures,SLH-DSA-SHA2-128s,100,1775834731,1775835389,657.6590447,6.576590447,0.64514,1.331161,0.686021,4.511679155,0.221646967
pizero2,signatures,SLH-DSA-SHA2-128f,100,1775835471,1775835505,34.41265178,0.344126518,0.64514,1.330709,0.685569,0.235922473,4.238680566
pizero2,signatures,SLH-DSA-SHAKE-128s,100,1775835533,1775836141,608.0836022,6.080836022,0.64514,1.276295,0.631155,3.837950059,0.260555761
pizero2,signatures,SLH-DSA-SHA2-192s,100,1775836197,1775837345,1147.455992,11.47455992,0.64514,1.34785,0.70271,8.063288003,0.124018887
pizero2,signatures,SLH-DSA-SHA2-192f,100,1775837382,1775837436,54.12305403,0.54123054,0.64514,1.319034,0.673894,0.364732014,2.741739037
pizero2,signatures,SLH-DSA-SHAKE-192s,100,1775837489,1775838540,1050.734648,10.50734648,0.64514,1.266499,0.621359,6.528834304,0.153166699
pizero2,signatures,SLH-DSA-SHA2-256s,100,1775838594,1775839603,1008.691215,10.08691215,0.64514,1.337299,0.692159,6.981747024,0.143230626
pizero2,signatures,SLH-DSA-SHA2-256f,100,1775839656,1775839764,107.6646512,1.076646512,0.64514,1.410925,0.765785,0.824479749,1.212886067
pizero2,signatures,SLH-DSA-SHAKE-256s,100,1775839800,1775840723,922.6690505,9.226690505,0.64514,1.281446,0.636306,5.870998528,0.170328777
,,,,,,,,,,,,
pi1,key generation,RSA-2048,100,1775827934,1775828571,637.5292706,6.375292706,2.287313,2.485811,0.198498,1.265482852,0.790212209
