machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
Bill-Macbook-Pro---M4.local,key generation,,RSA-2048,100,1776683297,1776683306,8.681586981,0.08681587,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ECDSA P-256,100,1776683306,1776683309,3.332897186,0.033328972,,,,,
Bill-Macbook-Pro---M4.local,key generation,,X25519,100,1776683309,1776683312,3.282307148,0.032823071,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ECDH P-256,100,1776683312,1776683316,3.332975149,0.033329751,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ML-KEM-512,100,1776683316,1776683319,3.41096282,0.034109628,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ML-KEM-768,100,1776683319,1776683322,3.312057018,0.03312057,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ML-KEM-1024,100,1776683322,1776683326,3.316555023,0.03316555,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ML-DSA-44,100,1776683326,1776683329,3.241303921,0.032413039,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ML-DSA-65,100,1776683329,1776683332,3.431117058,0.034311171,,,,,
Bill-Macbook-Pro---M4.local,key generation,,ML-DSA-87,100,1776683332,1776683336,3.267677069,0.032676771,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHA2-128s,100,1776683336,1776683348,12.69504786,0.126950479,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHA2-128f,100,1776683348,1776683352,3.516691923,0.035166919,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHAKE-128s,100,1776683352,1776683363,11.39818287,0.113981829,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHA2-192s,100,1776683363,1776683380,17.01286077,0.170128608,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHA2-192f,100,1776683380,1776683384,3.543248177,0.035432482,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHAKE-192s,100,1776683384,1776683399,14.87050486,0.148705049,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHA2-256s,100,1776683399,1776683411,12.37527299,0.12375273,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHA2-256f,100,1776683411,1776683415,3.970263958,0.03970264,,,,,
Bill-Macbook-Pro---M4.local,key generation,,SLH-DSA-SHAKE-256s,100,1776683415,1776683426,10.96135402,0.10961354,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,RSA-2048,100,1776683426,1776683428,1.989737988,0.01989738,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,ECDSA P-256,100,1776683428,1776683432,3.773663998,0.03773664,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,ML-DSA-44,100,1776683432,1776683435,3.048115969,0.03048116,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,ML-DSA-65,100,1776683435,1776683438,2.472307205,0.024723072,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,ML-DSA-87,100,1776683438,1776683439,1.867377043,0.01867377,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHA2-128s,100,1776683440,1776683512,72.78287101,0.72782871,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHA2-128f,100,1776683512,1776683518,5.177160025,0.0517716,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHAKE-128s,100,1776683518,1776683579,61.41178393,0.614117839,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHA2-192s,100,1776683579,1776683705,126.192044,1.26192044,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHA2-192f,100,1776683706,1776683713,7.315279007,0.07315279,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHAKE-192s,100,1776683713,1776683818,104.8411901,1.048411901,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHA2-256s,100,1776683818,1776683928,109.8195591,1.098195591,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHA2-256f,100,1776683928,1776683941,13.21840382,0.132184038,,,,,
Bill-Macbook-Pro---M4.local,signatures,signing,SLH-DSA-SHAKE-256s,100,1776683941,1776684034,92.61525702,0.92615257,,,,,
