machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
OliWin,key generation,,RSA-2048,1,1774535179.8302193,1774535179.968561,0.13834166526794434,0.13834166526794434,,,,,
OliWin,key generation,,ECDSA P-256,1,1774535179.9720135,1774535180.001764,0.029750585556030273,0.029750585556030273,,,,,
OliWin,key generation,,X25519,1,1774535180.0048833,1774535180.0336823,0.028799057006835938,0.028799057006835938,,,,,
OliWin,key generation,,ECDH P-256,1,1774535180.036579,1774535180.0608616,0.02428269386291504,0.02428269386291504,,,,,
OliWin,key generation,,ML-KEM-512,1,1774535180.0640965,1774535180.090974,0.026877641677856445,0.026877641677856445,,,,,
OliWin,key generation,,ML-KEM-768,1,1774535180.0940857,1774535180.1205091,0.02642345428466797,0.02642345428466797,,,,,
OliWin,key generation,,ML-KEM-1024,1,1774535180.1230557,1774535180.14959,0.026534318923950195,0.026534318923950195,,,,,
OliWin,key generation,,ML-DSA-44,1,1774535180.1521,1774535180.179825,0.0277249813079834,0.0277249813079834,,,,,
OliWin,key generation,,ML-DSA-65,1,1774535180.1823769,1774535180.2097697,0.027392864227294922,0.027392864227294922,,,,,
OliWin,key generation,,ML-DSA-87,1,1774535180.212687,1774535180.2410398,0.028352737426757812,0.028352737426757812,,,,,
OliWin,key generation,,SLH-DSA-SHA2-128s,1,1774535180.2438064,1774535180.3067007,0.06289434432983398,0.06289434432983398,,,,,
OliWin,key generation,,SLH-DSA-SHA2-128f,1,1774535180.310813,1774535180.3374252,0.026612281799316406,0.026612281799316406,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-128s,1,1774535180.340801,1774535180.4464345,0.10563349723815918,0.10563349723815918,,,,,
OliWin,key generation,,SLH-DSA-SHA2-192s,1,1774535180.448714,1774535180.5143127,0.06559872627258301,0.06559872627258301,,,,,
OliWin,key generation,,SLH-DSA-SHA2-192f,1,1774535180.5168552,1774535180.5352058,0.018350601196289062,0.018350601196289062,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-192s,1,1774535180.5376773,1774535180.6828203,0.1451430320739746,0.1451430320739746,,,,,
OliWin,key generation,,SLH-DSA-SHA2-256s,1,1774535180.6851404,1774535180.733571,0.048430681228637695,0.048430681228637695,,,,,
OliWin,key generation,,SLH-DSA-SHA2-256f,1,1774535180.7368352,1774535180.7577455,0.020910263061523438,0.020910263061523438,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-256s,1,1774535180.7599196,1774535180.859708,0.09978842735290527,0.09978842735290527,,,,,
OliWin,signatures,signing,RSA-2048,1,1774535180.9611814,1774535180.9734652,0.012283802032470703,0.012283802032470703,,,,,
OliWin,signatures,verification,RSA-2048,1,1774535181.0479705,1774535181.0606413,0.012670755386352539,0.012670755386352539,,,,,
OliWin,signatures,signing,ECDSA P-256,1,1774535181.091625,1774535181.1045077,0.012882709503173828,0.012882709503173828,,,,,
OliWin,signatures,verification,ECDSA P-256,1,1774535181.1468956,1774535181.1592207,0.012325048446655273,0.012325048446655273,,,,,
OliWin,signatures,signing,ML-DSA-44,1,1774535181.1873996,1774535181.204274,0.016874313354492188,0.016874313354492188,,,,,
OliWin,signatures,verification,ML-DSA-44,1,1774535181.251241,1774535181.2644806,0.013239622116088867,0.013239622116088867,,,,,
OliWin,signatures,signing,ML-DSA-65,1,1774535181.3063488,1774535181.3264225,0.020073652267456055,0.020073652267456055,,,,,
OliWin,signatures,verification,ML-DSA-65,1,1774535181.3842378,1774535181.4001129,0.01587510108947754,0.01587510108947754,,,,,
OliWin,signatures,signing,ML-DSA-87,1,1774535181.4323456,1774535181.4529896,0.020643949508666992,0.020643949508666992,,,,,
OliWin,signatures,verification,ML-DSA-87,1,1774535181.5064933,1774535181.5206573,0.014163970947265625,0.014163970947265625,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128s,1,1774535181.5779433,1774535181.8251631,0.24721980094909668,0.24721980094909668,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128s,1,1774535182.133496,1774535182.1485074,0.015011310577392578,0.015011310577392578,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128f,1,1774535182.1744113,1774535182.201181,0.026769638061523438,0.026769638061523438,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128f,1,1774535182.2576466,1774535182.271234,0.013587474822998047,0.013587474822998047,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-128s,1,1774535182.3794892,1774535183.0540495,0.6745603084564209,0.6745603084564209,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-128s,1,1774535183.8479888,1774535183.8596349,0.011646032333374023,0.011646032333374023,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-192s,1,1774535183.9297688,1774535184.4518871,0.522118330001831,0.522118330001831,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-192s,1,1774535185.011193,1774535185.0243394,0.013146400451660156,0.013146400451660156,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-192f,1,1774535185.0582836,1774535185.0992298,0.040946245193481445,0.040946245193481445,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-192f,1,1774535185.1738527,1774535185.1892202,0.015367507934570312,0.015367507934570312,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-192s,1,1774535185.3458002,1774535186.496175,1.1503748893737793,1.1503748893737793,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-192s,1,1774535187.7984161,1774535187.8098648,0.01144862174987793,0.01144862174987793,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-256s,1,1774535187.8599896,1774535188.329059,0.469069242477417,0.469069242477417,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-256s,1,1774535188.8344443,1774535188.8475096,0.013065338134765625,0.013065338134765625,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-256f,1,1774535188.8720284,1774535188.9260736,0.05404520034790039,0.05404520034790039,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-256f,1,1774535189.0039704,1774535189.0172193,0.013248920440673828,0.013248920440673828,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-256s,1,1774535189.1321383,1774535190.1541688,1.0220305919647217,1.0220305919647217,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-256s,1,1774535191.2929764,1774535191.3075013,0.01452493667602539,0.01452493667602539,,,,,
OliWin,TLS handshake,,RSA-2048,1,1774535191.8589501,1774535191.8710272,0.012076616287231445,0.012076616287231445,,,,,
OliWin,TLS handshake,,ECDSA P-256,1,1774535192.3976433,1774535192.4084651,0.01082158088684082,0.01082158088684082,,,,,
OliWin,TLS handshake,,ML-DSA-44,1,1774535192.9384732,1774535192.9469008,0.008427143096923828,0.008427143096923828,,,,,
OliWin,TLS handshake,,ML-DSA-65,1,1774535193.4731822,1774535193.480747,0.0075643062591552734,0.0075643062591552734,,,,,
OliWin,TLS handshake,,ML-DSA-87,1,1774535194.0074131,1774535194.0144444,0.007030487060546875,0.007030487060546875,,,,,
