machine,method,submethod,algorithm,iterations,start time,stop time,start time (unix),stop time (unix),total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
OliWin,key generation,,RSA-2048,1,2026-03-26 14:32:29.812758,2026-03-26 14:32:29.871475,1774535549.812758,1774535549.8714752,0.05871725082397461,0.05871725082397461,,,,,
OliWin,key generation,,ECDSA P-256,1,2026-03-26 14:32:29.876613,2026-03-26 14:32:29.907951,1774535549.8766134,1774535549.9079509,0.03133749961853027,0.03133749961853027,,,,,
OliWin,key generation,,X25519,1,2026-03-26 14:32:29.911261,2026-03-26 14:32:29.934740,1774535549.9112608,1774535549.9347398,0.023478984832763672,0.023478984832763672,,,,,
OliWin,key generation,,ECDH P-256,1,2026-03-26 14:32:29.938091,2026-03-26 14:32:29.965082,1774535549.9380908,1774535549.9650817,0.026990890502929688,0.026990890502929688,,,,,
OliWin,key generation,,ML-KEM-512,1,2026-03-26 14:32:29.968346,2026-03-26 14:32:29.996800,1774535549.968346,1774535549.9967997,0.028453588485717773,0.028453588485717773,,,,,
OliWin,key generation,,ML-KEM-768,1,2026-03-26 14:32:29.999700,2026-03-26 14:32:30.025914,1774535549.9996998,1774535550.0259137,0.026213884353637695,0.026213884353637695,,,,,
OliWin,key generation,,ML-KEM-1024,1,2026-03-26 14:32:30.029212,2026-03-26 14:32:30.054598,1774535550.0292122,1774535550.054598,0.02538585662841797,0.02538585662841797,,,,,
OliWin,key generation,,ML-DSA-44,1,2026-03-26 14:32:30.057610,2026-03-26 14:32:30.081271,1774535550.0576103,1774535550.0812707,0.02366042137145996,0.02366042137145996,,,,,
OliWin,key generation,,ML-DSA-65,1,2026-03-26 14:32:30.084229,2026-03-26 14:32:30.107930,1774535550.0842285,1774535550.1079297,0.023701190948486328,0.023701190948486328,,,,,
OliWin,key generation,,ML-DSA-87,1,2026-03-26 14:32:30.110468,2026-03-26 14:32:30.132521,1774535550.1104684,1774535550.1325207,0.022052288055419922,0.022052288055419922,,,,,
OliWin,key generation,,SLH-DSA-SHA2-128s,1,2026-03-26 14:32:30.135267,2026-03-26 14:32:30.188626,1774535550.1352673,1774535550.1886256,0.05335831642150879,0.05335831642150879,,,,,
OliWin,key generation,,SLH-DSA-SHA2-128f,1,2026-03-26 14:32:30.192648,2026-03-26 14:32:30.210395,1774535550.1926477,1774535550.2103946,0.017746925354003906,0.017746925354003906,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-128s,1,2026-03-26 14:32:30.212922,2026-03-26 14:32:30.320708,1774535550.212922,1774535550.3207076,0.10778546333312988,0.10778546333312988,,,,,
OliWin,key generation,,SLH-DSA-SHA2-192s,1,2026-03-26 14:32:30.323592,2026-03-26 14:32:30.388299,1774535550.3235922,1774535550.3882987,0.06470656394958496,0.06470656394958496,,,,,
OliWin,key generation,,SLH-DSA-SHA2-192f,1,2026-03-26 14:32:30.391204,2026-03-26 14:32:30.410961,1774535550.3912036,1774535550.410961,0.01975727081298828,0.01975727081298828,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-192s,1,2026-03-26 14:32:30.413851,2026-03-26 14:32:30.559814,1774535550.413851,1774535550.5598142,0.14596319198608398,0.14596319198608398,,,,,
OliWin,key generation,,SLH-DSA-SHA2-256s,1,2026-03-26 14:32:30.562537,2026-03-26 14:32:30.609319,1774535550.5625374,1774535550.6093187,0.046781301498413086,0.046781301498413086,,,,,
OliWin,key generation,,SLH-DSA-SHA2-256f,1,2026-03-26 14:32:30.612003,2026-03-26 14:32:30.632950,1774535550.6120033,1774535550.6329496,0.020946264266967773,0.020946264266967773,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-256s,1,2026-03-26 14:32:30.635464,2026-03-26 14:32:30.735995,1774535550.6354637,1774535550.735995,0.10053133964538574,0.10053133964538574,,,,,
OliWin,signatures,signing,RSA-2048,1,2026-03-26 14:32:30.777884,2026-03-26 14:32:30.787870,1774535550.7778835,1774535550.7878697,0.009986162185668945,0.009986162185668945,,,,,
OliWin,signatures,verification,RSA-2048,1,2026-03-26 14:32:30.919985,2026-03-26 14:32:30.933836,1774535550.9199848,1774535550.9338365,0.013851642608642578,0.013851642608642578,,,,,
OliWin,signatures,signing,ECDSA P-256,1,2026-03-26 14:32:30.975131,2026-03-26 14:32:30.998842,1774535550.9751308,1774535550.9988415,0.02371072769165039,0.02371072769165039,,,,,
OliWin,signatures,verification,ECDSA P-256,1,2026-03-26 14:32:31.051574,2026-03-26 14:32:31.065307,1774535551.0515745,1774535551.065307,0.013732433319091797,0.013732433319091797,,,,,
OliWin,signatures,signing,ML-DSA-44,1,2026-03-26 14:32:31.101187,2026-03-26 14:32:31.117495,1774535551.1011875,1774535551.1174946,0.01630711555480957,0.01630711555480957,,,,,
OliWin,signatures,verification,ML-DSA-44,1,2026-03-26 14:32:31.167897,2026-03-26 14:32:31.185066,1774535551.1678975,1774535551.1850662,0.017168760299682617,0.017168760299682617,,,,,
OliWin,signatures,signing,ML-DSA-65,1,2026-03-26 14:32:31.215976,2026-03-26 14:32:31.237841,1774535551.2159758,1774535551.2378414,0.0218656063079834,0.0218656063079834,,,,,
OliWin,signatures,verification,ML-DSA-65,1,2026-03-26 14:32:31.284475,2026-03-26 14:32:31.298962,1774535551.2844753,1774535551.2989619,0.014486551284790039,0.014486551284790039,,,,,
OliWin,signatures,signing,ML-DSA-87,1,2026-03-26 14:32:31.323720,2026-03-26 14:32:31.341892,1774535551.3237195,1774535551.341892,0.018172502517700195,0.018172502517700195,,,,,
OliWin,signatures,verification,ML-DSA-87,1,2026-03-26 14:32:31.384808,2026-03-26 14:32:31.397008,1774535551.3848078,1774535551.3970077,0.012199878692626953,0.012199878692626953,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128s,1,2026-03-26 14:32:31.462862,2026-03-26 14:32:31.715102,1774535551.462862,1774535551.7151024,0.2522404193878174,0.2522404193878174,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128s,1,2026-03-26 14:32:32.048301,2026-03-26 14:32:32.063308,1774535552.048301,1774535552.0633082,0.015007257461547852,0.015007257461547852,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128f,1,2026-03-26 14:32:32.093003,2026-03-26 14:32:32.117203,1774535552.0930026,1774535552.1172025,0.024199962615966797,0.024199962615966797,,,,,
