machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pi2,key generation,,RSA-2048,100,1775900935,1775901285,349.5709996,3.495709996,1.748954,2.116956,0.368002,1.28642827,0.777346101
pi2,key generation,,ECDSA P-256,100,1775901310,1775901320,9.377918959,0.09377919,1.748954,2.168383,0.419429,0.039333712,25.42348425
pi2,key generation,,X25519,100,1775901348,1775901357,9.105439186,0.091054392,1.748954,2.165876,0.416922,0.037962579,26.34172973
pi2,key generation,,ECDH P-256,100,1775901393,1775901403,9.24628973,0.092462897,1.748954,2.159873,0.410919,0.037994761,26.31941789
pi2,key generation,,ML-KEM-512,100,1775901431,1775901441,9.421560526,0.094215605,1.748954,2.171007,0.422053,0.039763979,25.14838879
pi2,key generation,,ML-KEM-768,100,1775901464,1775901474,9.522767067,0.095227671,1.748954,2.188422,0.439468,0.041849514,23.89514011
pi2,key generation,,ML-KEM-1024,100,1775901512,1775901522,9.653680086,0.096536801,1.748954,2.160417,0.411463,0.039721322,25.17539592
pi2,key generation,,ML-DSA-44,100,1775901553,1775901563,9.862776995,0.09862777,1.748954,2.166502,0.417548,0.041181828,24.28255487
pi2,key generation,,ML-DSA-65,100,1775901586,1775901596,10.30038548,0.103003855,1.748954,2.22545,0.476496,0.049080925,20.37451423
pi2,key generation,,ML-DSA-87,100,1775901617,1775901628,10.87338591,0.108733859,1.748954,2.158878,0.409924,0.044572618,22.43529851
pi2,key generation,,SLH-DSA-SHA2-128s,100,1775901666,1775901879,212.4874377,2.124874377,1.748954,2.082771,0.333817,0.70931919,1.409802546
pi2,key generation,,SLH-DSA-SHA2-128f,100,1775901905,1775901917,12.53135967,0.125313597,1.748954,2.149962,0.401008,0.050251755,19.89980259
pi2,key generation,,SLH-DSA-SHAKE-128s,100,1775901943,1775902391,448.5749049,4.485749049,1.748954,2.103256,0.354302,1.58930986,0.629203924
pi2,key generation,,SLH-DSA-SHA2-192s,100,1775902433,1775902746,313.2093115,3.132093115,1.748954,2.082638,0.333684,1.045129359,0.956819356
pi2,key generation,,SLH-DSA-SHA2-192f,100,1775902772,1775902786,14.06944752,0.140694475,1.748954,2.1395,0.390546,0.054947665,18.19913565
pi2,key generation,,SLH-DSA-SHAKE-192s,100,1775902807,1775903460,652.1575904,6.521575904,1.748954,2.101508,0.352554,2.299207671,0.434932439
pi2,key generation,,SLH-DSA-SHA2-256s,100,1775903565,1775903773,207.2649062,2.072649062,1.748954,2.086215,0.337261,0.699023695,1.43056667
pi2,key generation,,SLH-DSA-SHA2-256f,100,1775904063,1775904084,21.76344228,0.217634423,1.748954,2.124793,0.375839,0.081795504,12.22561086
pi2,key generation,,SLH-DSA-SHAKE-256s,100,1775904116,1775904552,435.5651538,4.355651538,1.748954,2.098876,0.349922,1.524138298,0.656108439
pi2,signatures,signing,RSA-2048,100,1775904594,1775904604,10.22739482,0.102273948,1.748954,2.170092,0.421138,0.043071446,23.21723771
pi2,signatures,signing,ECDSA P-256,100,1775904624,1775904629,4.82948637,0.048294864,1.748954,2.175651,0.426697,0.020607273,48.52655554
pi2,signatures,signing,ML-DSA-44,100,1775904649,1775904655,6.054775476,0.060547755,1.748954,2.164105,0.415151,0.025136461,39.78284781
pi2,signatures,signing,ML-DSA-65,100,1775904685,1775904691,6.881282806,0.068812828,1.748954,2.151593,0.402639,0.027706728,36.09231628
pi2,signatures,signing,ML-DSA-87,100,1775904721,1775904729,7.722115755,0.077221158,1.748954,2.139484,0.39053,0.030157179,33.15960062
pi2,signatures,signing,SLH-DSA-SHA2-128s,10,1775904761,1775904918,156.6212921,15.66212921,1.748954,2.077011,0.328057,5.138071123,0.194625566
pi2,signatures,signing,SLH-DSA-SHA2-128f,10,1775904995,1775905003,8.024791002,0.8024791,1.748954,2.08677,0.337816,0.27109028,3.688808027
pi2,signatures,signing,SLH-DSA-SHAKE-128s,10,1775905065,1775905398,333.7309563,33.37309563,1.748954,2.097391,0.348437,11.62842132,0.085996196
pi2,signatures,signing,SLH-DSA-SHA2-192s,10,1775905463,1775905776,312.9903033,31.29903033,1.748954,2.080016,0.331062,10.36191958,0.096507215
pi2,signatures,signing,SLH-DSA-SHA2-192f,10,1775905820,1775905834,13.91191292,1.391191292,1.748954,2.083051,0.334097,0.464792837,2.151496151
pi2,signatures,signing,SLH-DSA-SHAKE-192s,10,1775905908,1775906484,576.642518,57.6642518,1.748954,2.08982,0.340866,19.65578286,0.050875613
pi2,signatures,signing,SLH-DSA-SHA2-256s,10,1775906525,1775906819,294.4032378,29.44032378,1.748954,2.075405,0.326451,9.610823139,0.10404936
pi2,signatures,signing,SLH-DSA-SHA2-256f,10,1775906867,1775906896,28.55046701,2.855046701,1.748954,2.080163,0.331209,0.945617163,1.057510417
pi2,signatures,signing,SLH-DSA-SHAKE-256s,10,1775906963,1775907470,507.5086446,50.75086446,1.748954,2.089446,0.340492,17.28026334,0.057869488
pi2,signatures,verification,RSA-2048,100,1775907539,1775907543,3.943840742,0.039438407,1.748954,2.147722,0.398768,0.015726775,63.58582796
pi2,signatures,verification,ECDSA P-256,100,1775907569,1775907573,4.28548646,0.042854865,1.748954,2.138639,0.389685,0.016699898,59.88060558
