machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pi2b,key generation,,RSA-2048,100,1775909037,1775909128,90.98609257,0.909860926,1.738198,2.086965,0.348767,0.317329465,3.151298914
pi2b,key generation,,ECDSA P-256,100,1775909169,1775909175,6.546435595,0.065464356,1.738198,2.244625,0.506427,0.033152917,30.16325798
pi2b,key generation,,X25519,100,1775909198,1775909204,6.444392443,0.064443924,1.738198,2.250295,0.512097,0.03300154,30.30161589
pi2b,key generation,,ECDH P-256,100,1775909228,1775909235,6.501244783,0.065012448,1.738198,2.270013,0.531815,0.034574595,28.9229708
pi2b,key generation,,ML-KEM-512,100,1775909286,1775909293,6.71656847,0.067165685,1.738198,2.269053,0.530855,0.03565524,28.04636885
pi2b,key generation,,ML-KEM-768,100,1775909323,1775909330,6.719049454,0.067190495,1.738198,2.268619,0.530421,0.035639249,28.05895241
pi2b,key generation,,ML-KEM-1024,100,1775909359,1775909365,6.893841982,0.06893842,1.738198,2.252541,0.514343,0.035457994,28.20238532
pi2b,key generation,,ML-DSA-44,100,1775909388,1775909394,6.887551546,0.068875515,1.738198,2.261777,0.523579,0.036061774,27.73019468
pi2b,key generation,,ML-DSA-65,100,1775909431,1775909438,7.001323938,0.070013239,1.738198,2.273335,0.535137,0.037466675,26.69038561
pi2b,key generation,,ML-DSA-87,100,1775909468,1775909476,7.259649992,0.0725965,1.738198,2.264631,0.526433,0.038217193,26.16623345
pi2b,key generation,,SLH-DSA-SHA2-128s,100,1775909500,1775909603,103.3470106,1.033470106,1.738198,2.272464,0.534266,0.55214794,1.811108814
pi2b,key generation,,SLH-DSA-SHA2-128f,100,1775909693,1775909701,8.197085142,0.081970851,1.738198,2.264372,0.526174,0.043130931,23.18521724
pi2b,key generation,,SLH-DSA-SHAKE-128s,100,1775909748,1775909844,95.92743349,0.959274335,1.738198,2.223256,0.485058,0.46530369,2.14913404
pi2b,key generation,,SLH-DSA-SHA2-192s,100,1775910087,1775910234,147.1048918,1.471048918,1.738198,2.276274,0.538076,0.791536117,1.263366229
pi2b,key generation,,SLH-DSA-SHA2-192f,100,1775910312,1775910321,8.876312971,0.08876313,1.738198,2.267104,0.528906,0.046947352,21.30045593
pi2b,key generation,,SLH-DSA-SHAKE-192s,100,1775910354,1775910491,136.9542103,1.369542103,1.738198,2.224064,0.485866,0.665413943,1.502823934
pi2b,key generation,,SLH-DSA-SHA2-256s,100,1775910674,1775910773,98.99069786,0.989906979,1.738198,2.277981,0.539783,0.534334959,1.871485262
pi2b,key generation,,SLH-DSA-SHA2-256f,100,1775910954,1775910967,12.47123194,0.124712319,1.738198,2.276317,0.538119,0.067110069,14.90089373
pi2b,key generation,,SLH-DSA-SHAKE-256s,100,1775910999,1775911092,92.76355314,0.927635531,1.738198,2.227838,0.48964,0.454207462,2.201637103
pi2b,signatures,signing,RSA-2048,100,1775913063,1775913068,4.907960415,0.049079604,1.738198,2.211839,0.473641,0.023246113,43.01794494
pi2b,signatures,signing,ECDSA P-256,100,1775913086,1775913089,3.408666134,0.034086661,1.738198,2.277954,0.539756,0.01839848,54.35231613
pi2b,signatures,signing,ML-DSA-44,100,1775913108,1775913112,4.158845425,0.041588454,1.738198,2.262681,0.524483,0.021812437,45.8454041
pi2b,signatures,signing,ML-DSA-65,100,1775913143,1775913147,4.520419598,0.045204196,1.738198,2.24104,0.502842,0.022730568,43.99362067
pi2b,signatures,signing,ML-DSA-87,100,1775913176,1775913181,4.925185919,0.049251859,1.738198,2.228635,0.490437,0.024154934,41.39940922
pi2b,signatures,signing,SLH-DSA-SHA2-128s,10,1775913220,1775913293,73.56565452,7.356565452,1.738198,2.281153,0.542955,3.994283995,0.250357762
pi2b,signatures,signing,SLH-DSA-SHA2-128f,10,1775913340,1775913344,3.874829054,0.387482905,1.738198,2.281027,0.542829,0.210336958,4.75427623
pi2b,signatures,signing,SLH-DSA-SHAKE-128s,10,1775913366,1775913434,68.15182281,6.815182281,1.738198,2.223027,0.484829,3.30419801,0.302645301
pi2b,signatures,signing,SLH-DSA-SHA2-192s,10,1775913462,1775913591,128.6081815,12.86081815,1.738198,2.279675,0.541477,6.963837228,0.143598991
pi2b,signatures,signing,SLH-DSA-SHA2-192f,10,1775913611,1775913617,6.081049442,0.608104944,1.738198,2.277413,0.539215,0.327899308,3.049716718
