machine,method,submethod,algorithm,iterations,start time,stop time,start time (unix),stop time (unix),total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
pi3,key generation,,RSA-2048,100,26:46.4,27:43.4,1775831206,1775831263,57.01861548,0.570186155,0.959219,1.823507,0.864288,0.492805051,2.029199979
pi3,key generation,,ECDSA P-256,100,28:08.2,28:12.6,1775831288,1775831293,4.41718173,0.044171817,0.959219,1.986932,1.027713,0.045395951,22.02839638
pi3,key generation,,X25519,100,28:34.0,28:38.4,1775831314,1775831318,4.324185371,0.043241854,0.959219,1.96442,1.005201,0.043466755,23.00608843
pi3,key generation,,ECDH P-256,100,29:07.3,29:11.7,1775831347,1775831352,4.38547039,0.043854704,0.959219,1.953081,0.993862,0.043585524,22.94339759
pi3,key generation,,ML-KEM-512,100,29:36.9,29:41.4,1775831377,1775831381,4.502362013,0.04502362,0.959219,1.909264,0.950045,0.042774465,23.37843374
pi3,key generation,,ML-KEM-768,100,32:38.8,32:43.4,1775831559,1775831563,4.543756723,0.045437567,0.959219,1.915307,0.956088,0.043442313,23.01903227
pi3,key generation,,ML-KEM-1024,100,33:25.7,33:30.2,1775831606,1775831610,4.55659771,0.045565977,0.959219,1.922507,0.963288,0.043893159,22.78259355
pi3,key generation,,ML-DSA-44,100,34:11.8,34:16.5,1775831652,1775831656,4.64304018,0.046430402,0.959219,1.914547,0.955328,0.044356263,22.54473066
pi3,key generation,,ML-DSA-65,100,34:46.9,34:51.7,1775831687,1775831692,4.771879911,0.047718799,0.959219,1.934165,0.974946,0.046523252,21.49462796
pi3,key generation,,ML-DSA-87,100,35:24.4,35:29.3,1775831724,1775831729,4.914838076,0.049148381,0.959219,1.935919,0.9767,0.048003223,20.83193435
pi3,key generation,,SLH-DSA-SHA2-128s,100,36:00.3,37:06.2,1775831760,1775831826,65.94489551,0.659448955,0.959219,1.915215,0.955996,0.630430563,1.586217513
pi3,key generation,,SLH-DSA-SHA2-128f,100,37:32.4,37:37.8,1775831852,1775831858,5.494520664,0.054945207,0.959219,1.915347,0.956128,0.052534651,19.03505572
pi3,key generation,,SLH-DSA-SHAKE-128s,100,38:08.3,39:09.6,1775831888,1775831950,61.24956989,0.612495699,0.959219,1.90804,0.948821,0.581148782,1.720729754
pi3,key generation,,SLH-DSA-SHA2-192s,100,39:44.8,41:18.6,1775831985,1775832079,93.81541777,0.938154178,0.959219,1.941351,0.982132,0.921391239,1.08531529
pi3,key generation,,SLH-DSA-SHA2-192f,100,42:01.9,42:07.8,1775832122,1775832128,5.914698839,0.059146988,0.959219,1.932419,0.9732,0.057561849,17.37261772
pi3,key generation,,SLH-DSA-SHAKE-192s,100,43:03.0,44:30.4,1775832183,1775832270,87.38607669,0.873860767,0.959219,1.930148,0.970929,0.848456761,1.178610445
pi3,key generation,,SLH-DSA-SHA2-256s,100,45:27.4,46:30.7,1775832327,1775832391,63.28763509,0.632876351,0.959219,1.944971,0.985752,0.623859129,1.602925972
pi3,key generation,,SLH-DSA-SHA2-256f,100,47:06.2,47:14.4,1775832426,1775832434,8.194774866,0.081947749,0.959219,1.959362,1.000143,0.081959467,12.20115301
pi3,key generation,,SLH-DSA-SHAKE-256s,100,48:08.6,49:07.8,1775832489,1775832548,59.2336688,0.592336688,0.959219,1.949466,0.990247,0.586559628,1.704856509
