machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
olinux,key generation,,RSA-2048,100,1775904920,1775904924,4.08355546,0.040835555,,,,,
olinux,key generation,,ECDSA P-256,100,1775904934,1775904935,0.724097252,0.007240973,,,,,
olinux,key generation,,X25519,100,1775905014,1775905015,0.725403547,0.007254035,,,,,
olinux,key generation,,ECDH P-256,100,1775905077,1775905078,0.735871315,0.007358713,,,,,
olinux,key generation,,ML-KEM-512,100,1775905089,1775905089,0.768583298,0.007685833,,,,,
olinux,key generation,,ML-KEM-768,100,1775905099,1775905100,0.77329278,0.007732928,,,,,
olinux,key generation,,ML-KEM-1024,100,1775905121,1775905122,0.766136408,0.007661364,,,,,
olinux,key generation,,ML-DSA-44,100,1775905131,1775905131,0.784250975,0.00784251,,,,,
olinux,key generation,,ML-DSA-65,100,1775905139,1775905139,0.801560402,0.008015604,,,,,
olinux,key generation,,ML-DSA-87,100,1775905150,1775905151,0.797742367,0.007977424,,,,,
olinux,key generation,,SLH-DSA-SHA2-128s,100,1775905162,1775905165,3.296450853,0.032964509,,,,,
olinux,key generation,,SLH-DSA-SHA2-128f,100,1775905174,1775905175,0.797871351,0.007978714,,,,,
olinux,key generation,,SLH-DSA-SHAKE-128s,100,1775905186,1775905194,8.115618706,0.081156187,,,,,
olinux,key generation,,SLH-DSA-SHA2-192s,100,1775905207,1775905212,4.440140963,0.04440141,,,,,
olinux,key generation,,SLH-DSA-SHA2-192f,100,1775905222,1775905222,0.813329697,0.008133297,,,,,
olinux,key generation,,SLH-DSA-SHAKE-192s,100,1775905233,1775905245,11.60704017,0.116070402,,,,,
olinux,key generation,,SLH-DSA-SHA2-256s,100,1775905257,1775905260,3.198982239,0.031989822,,,,,
olinux,key generation,,SLH-DSA-SHA2-256f,100,1775905279,1775905280,0.88699913,0.008869991,,,,,
olinux,key generation,,SLH-DSA-SHAKE-256s,100,1775905292,1775905300,7.946651459,0.079466515,,,,,
olinux,signatures,signing,RSA-2048,100,1775905312,1775905312,0.327788353,0.003277884,,,,,
olinux,signatures,signing,ECDSA P-256,100,1775905327,1775905327,0.361906052,0.003619061,,,,,
olinux,signatures,signing,ML-DSA-44,100,1775905346,1775905346,0.471121788,0.004711218,,,,,
olinux,signatures,signing,ML-DSA-65,100,1775905371,1775905372,0.500095606,0.005000956,,,,,
olinux,signatures,signing,ML-DSA-87,100,1775905388,1775905388,0.516644955,0.00516645,,,,,
olinux,signatures,signing,SLH-DSA-SHA2-128s,100,1775905401,1775905421,19.44771791,0.194477179,,,,,
olinux,signatures,signing,SLH-DSA-SHA2-128f,100,1775905493,1775905494,1.290518999,0.01290519,,,,,
olinux,signatures,signing,SLH-DSA-SHAKE-128s,100,1775905510,1775905566,56.08386397,0.56083864,,,,,
olinux,signatures,signing,SLH-DSA-SHA2-192s,100,1775905581,1775905620,38.73218107,0.387321811,,,,,
olinux,signatures,signing,SLH-DSA-SHA2-192f,100,1775905634,1775905637,2.05681777,0.020568178,,,,,
olinux,signatures,signing,SLH-DSA-SHAKE-192s,100,1775905651,1775905750,98.71340203,0.98713402,,,,,
olinux,signatures,signing,SLH-DSA-SHA2-256s,100,1775905764,1775905800,36.03174663,0.360317466,,,,,
olinux,signatures,signing,SLH-DSA-SHA2-256f,100,1775905838,1775905842,3.774361849,0.037743618,,,,,
olinux,signatures,signing,SLH-DSA-SHAKE-256s,100,1775905857,1775905944,86.86797166,0.868679717,,,,,
olinux,signatures,verification,RSA-2048,100,1775905956,1775905956,0.334745884,0.003347459,,,,,
olinux,signatures,verification,ECDSA P-256,100,1775905968,1775905969,0.327175856,0.003271759,,,,,
olinux,signatures,verification,ML-DSA-44,100,1775905981,1775905981,0.373291969,0.00373292,,,,,
olinux,signatures,verification,ML-DSA-65,100,1775905999,1775905999,0.358379364,0.003583794,,,,,
olinux,signatures,verification,ML-DSA-87,100,1775906012,1775906013,0.383271933,0.003832719,,,,,
olinux,signatures,verification,SLH-DSA-SHA2-128s,100,1775906027,1775906027,0.378068447,0.003780684,,,,,
olinux,signatures,verification,SLH-DSA-SHA2-128f,100,1775906040,1775906040,0.401829481,0.004018295,,,,,
olinux,signatures,verification,SLH-DSA-SHAKE-128s,100,1775906051,1775906052,0.399335384,0.003993354,,,,,
olinux,signatures,verification,SLH-DSA-SHA2-192s,100,1775906063,1775906063,0.382638454,0.003826385,,,,,
olinux,signatures,verification,SLH-DSA-SHA2-192f,100,1775906075,1775906075,0.426956415,0.004269564,,,,,
olinux,signatures,verification,SLH-DSA-SHAKE-192s,100,1775906088,1775906089,0.419894934,0.004198949,,,,,
olinux,signatures,verification,SLH-DSA-SHA2-256s,100,1775906105,1775906106,0.405181885,0.004051819,,,,,
olinux,signatures,verification,SLH-DSA-SHA2-256f,100,1775906117,1775906117,0.449126005,0.00449126,,,,,
olinux,signatures,verification,SLH-DSA-SHAKE-256s,100,1775906131,1775906131,0.486002445,0.004860024,,,,,
olinux,TLS handshake,,RSA-2048,100,1775906142,1775906143,0.544474363,0.005444744,,,,,
olinux,TLS handshake,,ECDSA P-256,100,1775906155,1775906156,0.51380372,0.005138037,,,,,
olinux,TLS handshake,,ML-DSA-44,100,1775906172,1775906173,0.564383984,0.00564384,,,,,
olinux,TLS handshake,,ML-DSA-65,100,1775906181,1775906182,0.637573957,0.00637574,,,,,
olinux,TLS handshake,,ML-DSA-87,100,1775906194,1775906195,0.608762503,0.006087625,,,,,
