machine,method,submethod,algorithm,iterations,start time,stop time,total time,time per iteration,baseline power,on-load power,total power used,joules per iteration,iterations per joule
OliWin,key generation,,RSA-2048,100,1774528544.268853,1774528550.1993852,5.930532217025757,0.059305322170257566,,,,,
OliWin,key generation,,ECDSA P-256,100,1774528550.202651,1774528552.0299919,1.827340841293335,0.01827340841293335,,,,,
OliWin,key generation,,X25519,100,1774528552.033391,1774528553.8925314,1.859140396118164,0.01859140396118164,,,,,
OliWin,key generation,,ECDH P-256,100,1774528553.8958898,1774528555.774916,1.879026174545288,0.018790261745452883,,,,,
OliWin,key generation,,ML-KEM-512,100,1774528555.7789989,1774528557.7028232,1.9238243103027344,0.019238243103027342,,,,,
OliWin,key generation,,ML-KEM-768,100,1774528557.7064548,1774528559.643171,1.9367163181304932,0.019367163181304933,,,,,
OliWin,key generation,,ML-KEM-1024,100,1774528559.6459618,1774528561.6917684,2.045806646347046,0.02045806646347046,,,,,
OliWin,key generation,,ML-DSA-44,100,1774528561.6950166,1774528563.678817,1.9838004112243652,0.01983800411224365,,,,,
OliWin,key generation,,ML-DSA-65,100,1774528563.6821206,1774528565.6935976,2.011476993560791,0.02011476993560791,,,,,
OliWin,key generation,,ML-DSA-87,100,1774528565.6969671,1774528567.700979,2.004011869430542,0.02004011869430542,,,,,
OliWin,key generation,,SLH-DSA-SHA2-128s,100,1774528567.7039485,1774528572.6961877,4.992239236831665,0.04992239236831665,,,,,
OliWin,key generation,,SLH-DSA-SHA2-128f,100,1774528572.698977,1774528574.5558085,1.8568315505981445,0.018568315505981446,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-128s,100,1774528574.558591,1774528585.107261,10.548670053482056,0.10548670053482055,,,,,
OliWin,key generation,,SLH-DSA-SHA2-192s,100,1774528585.110523,1774528591.618098,6.507575035095215,0.06507575035095214,,,,,
OliWin,key generation,,SLH-DSA-SHA2-192f,100,1774528591.6209335,1774528593.5147521,1.8938186168670654,0.018938186168670653,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-192s,100,1774528593.517764,1774528609.776597,16.258832931518555,0.16258832931518555,,,,,
OliWin,key generation,,SLH-DSA-SHA2-256s,100,1774528609.779763,1774528614.7304215,4.950658559799194,0.049506585597991946,,,,,
OliWin,key generation,,SLH-DSA-SHA2-256f,100,1774528614.733427,1774528616.7234435,1.9900164604187012,0.01990016460418701,,,,,
OliWin,key generation,,SLH-DSA-SHAKE-256s,100,1774528616.7259278,1774528626.93015,10.204222202301025,0.10204222202301025,,,,,
OliWin,signatures,signing,RSA-2048,100,1774528627.0045083,1774528628.083811,1.0793027877807617,0.010793027877807617,,,,,
OliWin,signatures,verification,RSA-2048,100,1774528628.14642,1774528629.1860232,1.0396032333374023,0.010396032333374024,,,,,
OliWin,signatures,signing,ECDSA P-256,100,1774528629.2074106,1774528630.2989757,1.0915651321411133,0.010915651321411132,,,,,
OliWin,signatures,verification,ECDSA P-256,100,1774528630.3321161,1774528631.4189775,1.0868613719940186,0.010868613719940185,,,,,
OliWin,signatures,signing,ML-DSA-44,100,1774528631.439865,1774528632.7479851,1.3081200122833252,0.013081200122833252,,,,,
OliWin,signatures,verification,ML-DSA-44,100,1774528632.7821116,1774528633.8850353,1.1029236316680908,0.011029236316680908,,,,,
OliWin,signatures,signing,ML-DSA-65,100,1774528633.9066145,1774528635.23808,1.331465482711792,0.01331465482711792,,,,,
OliWin,signatures,verification,ML-DSA-65,100,1774528635.2734299,1774528636.3635075,1.0900776386260986,0.010900776386260986,,,,,
OliWin,signatures,signing,ML-DSA-87,100,1774528636.3875022,1774528637.739907,1.3524048328399658,0.013524048328399658,,,,,
OliWin,signatures,verification,ML-DSA-87,100,1774528637.7734594,1774528638.874824,1.1013646125793457,0.011013646125793457,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128s,100,1774528638.9268007,1774528663.623204,24.69640326499939,0.2469640326499939,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128s,100,1774528663.930509,1774528665.0540345,1.1235253810882568,0.011235253810882568,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-128f,100,1774528665.0762196,1774528667.4848952,2.4086756706237793,0.02408675670623779,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-128f,100,1774528667.5289867,1774528668.7291505,1.2001638412475586,0.012001638412475585,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-128s,100,1774528668.836031,1774528736.1771188,67.34108781814575,0.6734108781814575,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-128s,100,1774528736.979268,1774528738.1054585,1.126190423965454,0.01126190423965454,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-192s,100,1774528738.173514,1774528787.8727489,49.69923496246338,0.4969923496246338,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-192s,100,1774528788.4478204,1774528789.5239222,1.0761017799377441,0.010761017799377442,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-192f,100,1774528789.54573,1774528792.8636632,3.3179330825805664,0.03317933082580567,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-192f,100,1774528792.9198792,1774528794.2031322,1.2832529544830322,0.012832529544830322,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-192s,100,1774528794.3528755,1774528910.2282364,115.87536096572876,1.1587536096572877,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-192s,100,1774528911.5186486,1774528912.7401326,1.2214839458465576,0.012214839458465576,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-256s,100,1774528912.7915182,1774528958.260354,45.46883583068848,0.45468835830688475,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-256s,100,1774528958.7588441,1774528959.981971,1.2231268882751465,0.012231268882751466,,,,,
OliWin,signatures,signing,SLH-DSA-SHA2-256f,100,1774528960.0041602,1774528965.591219,5.587058782577515,0.05587058782577515,,,,,
OliWin,signatures,verification,SLH-DSA-SHA2-256f,100,1774528965.6720195,1774528967.0420327,1.3700132369995117,0.013700132369995116,,,,,
OliWin,signatures,signing,SLH-DSA-SHAKE-256s,100,1774528967.1472948,1774529068.829619,101.68232417106628,1.0168232417106629,,,,,
OliWin,signatures,verification,SLH-DSA-SHAKE-256s,100,1774529069.9369311,1774529071.166983,1.2300517559051514,0.012300517559051514,,,,,
OliWin,TLS handshake,,RSA-2048,100,1774529071.7763262,1774529072.441198,0.6648716926574707,0.006648716926574707,,,,,
OliWin,TLS handshake,,ECDSA P-256,100,1774529072.9642532,1774529073.553239,0.5889856815338135,0.005889856815338134,,,,,
OliWin,TLS handshake,,ML-DSA-44,100,1774529074.079761,1774529074.7259624,0.6462011337280273,0.006462011337280273,,,,,
OliWin,TLS handshake,,ML-DSA-65,100,1774529075.2528167,1774529075.943033,0.690216064453125,0.00690216064453125,,,,,
OliWin,TLS handshake,,ML-DSA-87,100,1774529076.4703677,1774529077.1783762,0.7080082893371582,0.007080082893371582,,,,,
